# %ECSV 1.0
# ---
# datatype:
# - {name: Alias, datatype: string}
# - {name: ledaName, datatype: string}
# - {name: al2000, datatype: float64}
# - {name: de2000, datatype: float64}
# - {name: type, datatype: string}
# - {name: bar, datatype: string}
# - {name: ring, datatype: string}
# - {name: multiple, datatype: string}
# - {name: t, datatype: float64}
# - {name: agnclass, datatype: string}
# - {name: logd25, datatype: float64}
# - {name: e_logd25, datatype: float64}
# - {name: logr25, datatype: float64}
# - {name: e_logr25, datatype: float64}
# - {name: pa, datatype: float64}
# - {name: bt, datatype: float64}
# - {name: it, datatype: float64}
# - {name: m21, datatype: float64}
# - {name: mfir, datatype: float64}
# - {name: vmaxg, datatype: float64}
# - {name: e_vmaxg, datatype: float64}
# - {name: v, datatype: float64}
# - {name: e_v, datatype: float64}
# - {name: ag, datatype: float64}
# - {name: incl, datatype: float64}
# - {name: vrot, datatype: float64}
# - {name: e_vrot, datatype: float64}
# - {name: vvir, datatype: float64}
# - {name: modz, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
Alias,ledaName,al2000,de2000,type,bar,ring,multiple,t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,bt,it,m21,mfir,vmaxg,e_vmaxg,v,e_v,ag,incl,vrot,e_vrot,vvir,modz
IC5376,IC5376,0.0221556,34.5257222,Sab,,,,2.0,,1.215,0.027,0.57,0.028,4.0,14.61,,15.574,,202.17,5.93,5029.2,3.1,0.31,90.0,202.17,,5162.4,34.37
NGC7803,NGC7803,0.0222111,13.1112778,S0-a,,,,0.1,,0.936,0.048,0.23,0.028,80.21,14.073,,16.048,12.28,194.97,9.19,5328.8,16.0,0.349,60.36,224.33,10.7,5364.8,34.455
UGC00005,UGC00005,0.0515714,-1.9138398,Sbc,B,,,3.9,,1.144,0.039,0.338,0.026,47.0,14.222,12.17,15.578,13.029,211.11,6.56,7296.9,3.9,0.173,65.92,231.23,7.25,7259.6,35.118
NGC7814,NGC7814,0.0541706,16.1456194,Sab,,,,2.0,,1.64,0.026,0.366,0.025,134.53,11.593,9.72,14.056,,217.93,4.77,1053.0,3.4,0.193,70.66,230.97,5.11,1102.1,31.03
NGC7819,NGC7819,0.0734694,31.4720278,Sb,B,,,3.1,,1.158,0.026,0.26,0.028,96.79,14.264,,14.868,12.967,110.69,2.39,4955.7,2.0,0.245,59.79,128.09,2.82,5074.1,34.335
UGC00029,UGC00029,0.0760361,28.3016389,E,,,,-4.8,,1.091,0.039,0.14,0.022,174.25,15.08,,,,,,8785.1,9.8,0.231,68.37,,,8889.5,35.572
IC1528,PGC000312,0.0848205,-7.0933911,SBb,B,R,,3.1,,1.333,0.033,0.406,0.03,72.67,13.585,11.945,14.338,,141.62,5.03,3767.1,6.8,0.149,71.98,148.92,5.32,3704.0,33.662
NGC7824,NGC7824,0.0850667,6.9200556,Sab,,,,2.0,,1.201,0.036,0.183,0.027,150.88,14.372,11.62,16.653,,225.66,7.48,6138.6,2.9,0.219,52.12,285.89,9.71,6142.4,34.752
UGC00036,UGC00036,0.087181,6.7719444,Sa,,R,,1.0,,1.17,0.036,0.359,0.027,17.2,14.618,12.33,16.746,,235.69,6.52,6289.9,3.9,0.226,72.21,247.53,6.91,6292.9,34.81
UGC40,UGC00040,0.0967799,27.449222,SBb,B,,,3.3,,1.029,0.087,0.207,0.048,97.55,15.058,13.186,16.459,,177.06,4.65,7515.9,4.6,0.305,54.06,218.69,6.01,7615.7,35.228
NGC0001,NGC0001,0.1210722,27.7079306,Sb,,,,3.1,,1.195,0.039,0.164,0.035,112.39,13.694,12.802,14.85,12.035,146.05,3.28,4550.0,1.9,0.275,48.84,194.0,4.6,4650.2,34.151
NGC0014,NGC0014,0.1461844,15.8165794,IB,B,R,,9.9,,1.184,0.036,0.18,0.028,23.12,13.022,12.639,14.54,,35.18,1.01,864.7,5.7,0.336,55.65,42.61,1.27,908.8,30.694
NGC0023,NGC0023,0.1648111,25.9235991,Sa,B,,,1.2,,1.19,0.041,0.103,0.02,174.16,12.839,10.805,15.428,10.749,183.95,4.19,4561.4,4.7,0.165,40.47,283.39,6.84,4651.9,34.151
NGC0036,NGC0036,0.1895306,6.3892222,SABb,B,,,3.0,,1.33,0.064,0.21,0.055,14.85,14.389,11.63,15.157,13.276,206.91,5.52,6028.5,3.9,0.288,54.59,253.88,7.12,6025.7,34.708
UGC00139,UGC00139,0.2421842,-0.7376102,SABc,B,,M,5.2,,1.195,0.033,0.372,0.033,82.28,14.543,13.142,14.576,,140.53,2.29,3952.6,5.0,0.194,67.43,152.19,2.53,3913.5,33.778
UGC00148,UGC00148,0.2641898,16.0895244,Sbc,,,,4.3,,1.194,0.038,0.511,0.029,99.97,15.977,15.09,15.349,12.159,143.96,3.78,4164.3,13.8,0.271,77.14,147.66,3.89,4205.2,33.931
SDSSJ001644.50+152030.7,SDSSJ001644.50+152030.7,0.2790275,15.3418618,E?,,,,-5.0,,0.371,0.408,0.04,0.1,,18.222,16.683,,,,,20973.6,5.5,0.225,34.34,,,21010.4,37.478
2MASXJ00195257+2228404,PGC1670659,0.3312761,22.4776812,,,,,,,0.6,0.083,0.15,0.028,40.0,16.59,,16.195,,137.8,7.16,10105.0,5.1,0.355,45.87,191.98,10.19,10173.7,35.863
IC10,IC0010,0.33975,59.293098,IB,B,,M,9.9,,1.825,0.027,0.054,0.039,129.0,11.776,,11.369,9.295,27.31,0.62,-344.6,1.6,6.737,31.13,52.83,1.5,-129.0,
2MASXJ00234829-0351209,PGC1066013,0.3967532,-3.8557556,Sab,,,,2.0,,0.781,0.062,0.25,0.028,88.0,16.06,14.297,,,,,16107.3,27.9,0.137,59.81,,,16047.3,36.875
MCG-02-02-030,PGC001841,0.5020299,-11.1136152,Sa,B,R,,1.2,,1.271,0.031,0.364,0.022,170.72,13.526,12.186,15.646,13.231,146.11,5.82,3524.2,5.0,0.143,72.08,153.56,6.15,3426.5,33.49
Mrk552,PGC001914,0.5219,8.4750833,S0-a,,,M,-1.1,,0.946,0.087,0.052,0.054,2.5,14.509,,13.958,11.783,123.56,7.61,4350.6,4.8,0.159,30.71,241.97,16.84,4345.0,34.013
UGC00312,UGC00312,0.5233028,8.46675,SBd,B,R,M,8.0,,1.173,0.034,0.345,0.024,7.8,13.923,,14.666,,120.89,6.1,4361.0,4.8,0.163,78.92,123.18,6.25,4355.3,34.013
ESO539-14,ESO539-014,0.5244956,-19.76127,Scd,,,,6.7,,1.25,0.024,0.959,0.021,0.29,15.68,13.967,15.7,,153.76,2.52,7092.7,7.4,0.091,90.0,153.76,,6956.1,35.029
MCG-02-02-040,PGC001932,0.5265936,-10.5063247,SBbc,B,R,M,3.8,,1.166,0.028,0.389,0.024,49.5,14.393,12.834,14.824,12.291,136.18,2.07,3580.0,4.3,0.139,69.79,145.11,2.23,3484.1,33.515
PGC002030,PGC002030,0.5653889,7.2790278,E,,,M,-4.8,,0.96,0.05,0.32,0.028,143.5,14.847,,,,,,5474.0,28.3,0.156,90.0,,,5461.0,34.504
PGC002029,PGC002029,0.5659306,7.2681944,S0,,,M,-2.0,,1.174,0.045,0.34,0.028,147.5,14.733,,,,,,5491.0,29.0,0.154,90.0,,,5478.0,34.505
NGC0155,NGC0155,0.5778053,-10.7665159,S0,,,,-2.2,,1.174,0.042,0.062,0.026,169.77,14.151,11.995,,,,,6189.8,2.5,0.118,34.84,,,6090.8,34.738
ESO540-3,ESO540-003,0.5942992,-20.1253039,SABb,B,R,,2.9,,1.165,0.044,0.336,0.025,154.4,13.863,12.09,14.125,,150.14,4.22,3293.7,8.9,0.118,66.87,163.27,4.63,3153.1,33.303
NGC0160,NGC0160,0.6011178,23.9576216,S0-a,,R,,-0.4,,1.297,0.034,0.348,0.028,45.67,13.612,11.311,15.977,,254.76,6.1,5252.7,4.0,0.147,76.05,262.51,6.36,5318.8,34.438
NGC0165,NGC0165,0.6080334,-10.1061221,Sbc,B,,,4.1,,1.212,0.028,0.186,0.027,72.49,13.993,12.693,16.298,13.182,146.62,7.42,5889.6,0.9,0.149,51.17,188.22,9.68,5792.6,34.632
NGC0169,NGC0169,0.6143361,23.9909167,Sab,,,M,2.5,,1.185,0.039,0.365,0.032,92.51,13.42,11.45,15.491,12.84,277.77,9.71,4602.6,16.8,0.129,69.78,296.01,10.43,4668.4,34.151
NGC0171,NGC0171,0.6226475,-19.9342711,Sab,B,R,M,2.2,,1.313,0.027,0.203,0.038,101.91,12.978,11.08,15.503,13.265,56.33,2.29,3883.8,17.2,0.092,54.36,69.31,2.89,3743.0,33.686
NGC0177,NGC0177,0.6262072,-22.5492583,Sab,,R,,1.7,,1.324,0.026,0.622,0.024,9.9,14.148,11.99,15.32,,187.55,8.63,3839.1,10.7,0.098,90.0,187.55,,3687.4,33.639
NGC0180,NGC0180,0.6326917,8.6352222,Sc,B,,,4.6,,1.342,0.031,0.171,0.037,163.25,14.187,,15.096,12.739,163.98,3.15,5279.3,3.2,0.238,49.06,217.1,4.44,5270.4,34.421
UGC00386,UGC00386,0.6399234,15.03959,S0-a,B,,,-1.4,,1.116,0.038,0.259,0.024,170.18,14.965,13.523,17.411,13.4,97.37,4.8,5365.8,9.0,0.382,68.56,104.6,5.2,5387.7,34.472
NGC0192,NGC0192,0.6537244,0.8641204,Sa,B,R,M,1.1,,1.314,0.028,0.401,0.024,165.31,13.431,11.719,16.522,11.834,70.74,3.19,4165.2,18.2,0.088,76.16,72.86,3.3,4117.9,33.888
NGC0197,NGC0197,0.6552213,0.8919573,S0-a,B,,M,-1.4,,0.972,0.047,0.112,0.022,34.57,14.187,14.281,,,44.6,2.18,4110.5,5.2,0.087,45.01,63.06,3.17,4063.2,33.866
NGC0216,NGC0216,0.6908012,-21.0480584,S0,B,,,-1.7,,1.129,0.053,0.332,0.029,26.95,13.704,12.03,14.227,,69.62,2.66,1536.5,6.6,0.085,84.18,69.98,2.7,1388.6,31.579
NGC0214,NGC0214,0.6911166,25.4993442,SABc,B,R,,5.0,,1.274,0.024,0.164,0.028,42.98,12.937,11.112,15.424,12.062,163.42,3.44,4535.9,3.0,0.156,48.03,219.81,4.85,4606.3,34.132
NGC0217,NGC0217,0.6927451,-10.0214821,SBa,B,,,0.7,,1.505,0.026,0.665,0.024,112.85,13.281,11.389,15.8,,268.01,8.28,3934.1,2.7,0.154,90.0,268.01,,3834.3,33.732
MCG-02-02-086,PGC002501,0.6973515,-9.3031528,S0,B,R,,-2.5,,1.166,0.039,0.193,0.03,148.95,14.604,12.605,,,,,16596.3,4.9,0.163,62.55,,,16499.6,36.935
M31,NGC0224,0.7123123,41.2689778,Sb,,,,3.0,Q,3.25,0.012,0.407,0.047,35.0,4.295,,6.026,5.661,244.38,5.68,-290.0,15.5,0.46,72.17,256.7,6.05,-149.4,
2MASXJ00425466-0913493,PGC093282,0.7151856,-9.2304037,E,,,,-5.0,,0.976,0.043,0.33,0.028,84.86,16.29,13.774,,,,,22839.5,4.7,0.153,90.0,,,22742.5,37.657
NGC0237,NGC0237,0.7244008,-0.1249684,SABc,B,,,4.5,S?,1.115,0.034,0.211,0.018,174.34,13.728,12.411,14.703,12.352,129.37,1.83,4169.7,1.1,0.076,53.78,160.37,2.34,4115.0,33.888
NGC0234,NGC0234,0.7256602,14.3425582,SABc,B,,,5.2,,1.199,0.031,0.11,0.031,74.06,13.428,12.198,15.426,11.655,100.88,3.12,4448.6,3.4,0.396,40.04,156.82,5.15,4464.0,34.054
MCG-02-03-015,PGC002800,0.7962256,-9.8350831,Sb,B,R,,3.1,,1.246,0.031,0.668,0.025,21.89,14.435,12.655,15.77,13.607,205.14,7.37,5733.0,8.1,0.166,90.0,205.14,,5630.2,34.569
NGC0257,NGC0257,0.8004167,8.2970556,Sc,,,,5.8,,1.263,0.043,0.142,0.038,98.59,13.308,11.492,15.029,12.115,183.1,3.49,5277.2,2.4,0.244,44.82,259.76,5.37,5260.4,34.421
LEDA1709570,PGC1709570,0.8382269,24.532404,,,,,,,0.69,0.074,0.29,0.028,33.0,17.65,,,,,,9941.1,60.0,0.27,60.75,,,10001.9,35.826
IC1602,IC1602,0.9310761,-9.9856584,E,,,,-4.0,,1.032,0.041,0.128,0.024,149.03,15.437,12.801,,,,,16409.2,5.0,0.161,56.97,,,16300.8,36.911
NGC0309,NGC0309,0.9451801,-9.9138734,SABc,B,R,M,5.0,,1.348,0.03,0.059,0.029,,12.728,11.814,14.302,12.115,92.74,1.63,5653.4,5.1,0.174,29.76,186.82,3.99,5544.8,34.537
NGC338,NGC0338,1.0101305,30.6687088,Sab,,,,2.0,,1.244,0.035,0.425,0.023,107.33,13.558,11.508,14.93,12.018,252.75,5.71,4778.7,2.0,0.24,75.56,261.0,5.94,4862.9,34.245
NGC0364,NGC0364,1.0780154,-0.8027232,S0,B,R,,-1.8,,1.147,0.035,0.39,0.028,33.1,14.242,12.308,,,,,5117.3,2.8,0.137,90.0,,,5046.3,34.335
NGC0384,NGC0384,1.1236068,32.2924746,E,,,,-4.2,,1.041,0.053,0.149,0.047,135.0,14.0,11.775,,,,,4248.5,9.6,0.269,64.5,,,4336.9,33.993
NGC0426,NGC0426,1.2135002,-0.2901797,E,,R,,-4.3,S2,1.08,0.039,0.133,0.023,146.27,13.838,12.627,,,,,5259.4,3.3,0.143,60.31,,,5186.1,34.387
NGC0429,NGC0429,1.2159472,-0.3450079,S0,B,,M,-1.8,,1.178,0.037,0.69,0.03,18.78,14.453,13.258,,,,,5628.0,2.2,0.137,90.0,,,5554.2,34.537
2MASXJ01144386+0017100,PGC073837,1.2455147,0.2860168,SBc,B,,,5.0,S2,0.752,0.055,0.22,0.023,121.92,16.318,14.777,,,158.48,7.47,13539.6,4.4,0.138,54.54,194.56,9.27,13467.9,36.486
IC1652,IC1652,1.2489554,31.9485189,S0-a,,,,-0.1,,1.121,0.075,0.881,0.059,169.6,14.227,12.439,,,,,5067.0,9.0,0.237,90.0,,,5150.0,34.37
