!! request processed by HyperLeda Fri Jan 28 04:24:18 2022
!! Number of lines in uploaded file: 153
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |     logd25      |     logr25      |    e_logr25     |       pa        |       bt        |       it        |      vmaxg      |       m21       |      mfir       |        v        |       ag        |      incl       |      vrot       |      vvir       |      modz       |
PGC069310                               |  PGC069310      | 22.6138512      | 14.386919       | E-S0            |                 |                 |                 | -3              |  0.917          |  0.321          |     0.07        | 4.73            | 15.752          | 14.089          | 115.14          | 17.299          |                 | 5275            | 0.286           |   90            | 115.14          | 5371.4          | 34.471          |
IC1079                                  |  IC1079         | 14.9433762      | 9.369763        | E               |                 |                 | M               | -4.9            |  1.164          |  0.234          |    0.027        | 81.43           | 14.65           | 12.605          |                 |                 |                 | 8717.1          | 0.175           |   90            |                 | 8884            | 35.562          |
PGC000312                               |  PGC000312      | 0.0848205       | -7.0933911      | SBb             | B               | R               |                 | 3.1             |  1.333          |  0.406          |     0.03        | 72.67           | 13.585          | 11.945          | 141.62          | 14.338          |                 | 3767.1          | 0.149           | 71.98           | 148.92          | 3704            | 33.662          |
IC1755                                  |  IC1755         | 1.9527195       | 14.549887       | SABa            | B               |                 |                 | 1               |  1.163          |  0.596          |    0.054        | 154.97          | 14.714          | 13.126          | 247.56          | 16.641          |                 | 7911.2          | 0.211           |   90            | 247.56          | 7886.6          | 35.299          |
IC2101                                  |  IC2101         | 4.8617334       | -6.2314848      | SBc             | B               |                 |                 | 5               |  1.246          |  0.667          |    0.025        | 159.48          | 14.42           | 13.025          | 168.58          | 15.549          | 12.069          | 4525.2          | 0.209           | 85.66           | 169.06          | 4344.4          | 33.993          |
IC2341                                  |  IC2341         | 8.394841        | 21.4348704      | E-S0            |                 |                 |                 | -3.1            |  1.073          |  0.315          |    0.026        | 2.58            | 14.639          | 12.432          |                 |                 |                 | 5132.6          | 0.212           |   90            |                 | 5133.3          | 34.37           |
IC3598                                  |  IC3598         | 12.6225243      | 28.2081839      | Sab             |                 | R               |                 | 1.9             |   1.15          |  0.544          |    0.023        | 139.1           | 15.008          | 12.731          | 225.78          | 17.677          |                 | 7667.2          | 0.076           |   90            | 225.78          | 7841.1          | 35.287          |
IC5309                                  |  IC5309         | 23.3198972      | 8.1093056       | Sb              |                 |                 |                 | 3.1             |  1.109          |  0.322          |    0.025        | 25              | 14.369          | 12.564          | 127.07          | 16.456          | 13.604          | 4184.7          | 0.337           | 65.46           | 139.68          | 4224.4          | 33.951          |
MCG-01-01-012                           |  PGC073143      | 23.9863374      | -4.1919115      | Sb              |                 |                 |                 | 3.2             |  1.197          |  0.663          |    0.033        | 70              | 15.05           | 12.62           | 171.6           | 16.96           |                 | 5764.6          | 0.159           |   90            | 171.6           | 5719.1          | 34.601          |
MCG-01-09-006                           |  PGC011767      | 3.1467602       | -7.0405944      | S?              | B               |                 |                 | 1.4             |   1.22          |   0.52          |    0.028        | 9.59            | 14.852          | 13.295          | 204.78          | 15.934          | 13.653          | 8674.8          | 0.322           |   90            | 204.78          | 8513.6          | 35.477          |
