!! request processed by HyperLeda Mon Jun  1 18:39:08 2020
!! Number of lines in uploaded file: 126
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |     logd25      |     logr25      |    e_logr25     |       pa        |       bt        |       it        |      vmaxg      |       m21       |      mfir       |        v        |       ag        |      incl       |      vrot       |      vvir       |      modz       |
ARP220                                  |  IC1127         | 15.5825825      | 23.5028574      | Sm              |                 |                 |                 | 9.3             |  1.044          |  0.189          |    0.026        | 96.46           | 13.955          |                 | 147.44          | 14.244          | 8.283           | 5427            | 0.22            | 56.98           | 175.83          | 5662.2          | 34.585          |
IC0480                                  |  IC0480         | 7.923108        | 26.7426992      | Sbc             |                 |                 |                 | 4               |  1.243          |  0.726          |    0.025        | 167.29          | 15.035          | 13.199          | 152.52          | 15.517          | 12.117          | 4618.5          | 0.183           |   90            | 152.52          | 4635.1          | 34.151          |
IC0540                                  |  IC0540         | 9.5028622       | 7.9027107       | Sab             |                 |                 |                 | 2.1             |   1.03          |  0.596          |    0.048        | 170.79          | 14.692          | 13.118          |   117           | 17.077          |                 | 2041.3          | 0.262           |   90            |  117            | 2008.6          | 32.341          |
IC0944                                  |  IC0944         | 13.8585742      | 14.0921046      | Sa              |                 |                 |                 | 1.1             |  1.184          |  0.313          |     0.06        | 106.54          | 14.456          | 12.395          | 299.13          | 16.013          | 13.224          | 6995.9          | 0.106           | 67.58           | 323.6           | 7153.6          | 35.093          |
IC1151                                  |  IC1151         | 15.9756507      | 17.4414742      | SBc             | B               |                 |                 | 5.1             |  1.349          |  0.403          |    0.027        | 31.81           | 13.452          | 12.608          | 104.87          | 14.834          | 12.946          | 2173            | 0.164           | 69.61           | 111.89          | 2392            | 32.698          |
IC1199                                  |  IC1199         | 16.1762056      | 10.0404167      | Sbc             |                 |                 |                 | 3.7             |  1.076          |  0.457          |     0.05        | 158             | 14.535          |                 | 197.31          | 15.999          | 13.549          | 4724.4          | 0.228           | 74.75           | 204.51          | 4916            | 34.263          |
IC1683                                  |  IC1683         | 1.3774611       | 34.437          | Sb              |                 |                 |                 | 2.7             |  1.119          |   0.36          |    0.057        | 173.03          | 14.127          |                 | 182.16          | 17.174          | 12.336          | 4881.8          | 0.217           | 69.03           | 195.07          | 4972.8          | 34.299          |
UGC04299                                |  UGC04299       | 8.2664118       | 23.199604       | Sbc             |                 |                 |                 | 4               |  1.261          |   0.83          |    0.037        | 149.14          | 14.038          | 12.735          | 182.96          | 16.074          | 12.671          | 4292.7          | 0.228           |   90            | 182.96          | 4299.1          | 33.972          |
IC2487                                  |  IC2487         | 9.502554        | 20.0909112      | Sb              |                 | R               |                 | 3.1             |  1.264          |  0.599          |    0.022        | 164.34          | 14.131          | 12.855          | 171.14          | 14.895          | 13.488          | 4339.1          | 0.211           |   90            | 171.14          | 4366.5          | 34.013          |
IC4566                                  |  IC4566         | 15.6117113      | 43.5393358      | Sb              | B               |                 |                 | 2.5             |  1.131          |  0.182          |    0.025        | 162.87          | 14.113          | 12.656          | 133.29          | 16.96           |                 | 5582            | 0.117           | 51.56           | 170.18          | 5870.7          | 34.662          |
