!! request processed by HyperLeda Sun Mar 29 19:02:11 2015
!! Number of lines in uploaded file: 458
                  name                  |     objname     |     al2000      |     de2000      |   celposj(pgc)   |       l2        |       b2        |      type       |       bar       |      ring       |    multiple     |   compactness   |        t        |       e_t       |       lc        |      e_lc       |     logd25      |    e_logd25     |     logr25      |    e_logr25     |       pa        |      brief      |     e_brief     |       bt        |      e_bt       |       it        |      e_it       |       ubt       |       bvt       |       ube       |       bve       |      vmaxg      |     e_vmaxg     |      vmaxs      |     e_vmaxs     |      vdis       |     e_vdis      |       mg2       |      e_mg2      |       m21       |      e_m21      |      mfir       |      vrad       |     e_vrad      |      vopt       |     e_vopt      |        v        |       e_v       |       ag        |       ai        |      incl       |       a21       |     lambda      |      logdc      |       btc       |      ubtc       |      bvtc       |      bri25      |      vrot       |     e_vrot      |      m21c       |       hic       |       vlg       |      vgsr       |      vvir       |       v3k       |      modz       |      mod0       |      mabs       |
IC5376                                  |  IC5376         | 0.0221556       | 34.5257222      | J000119.8+343133 | 111.3396327     | -27.2155116     | Sab             |                 |                 |                 |                 | 2               | 0.3             |                 |                 |  1.215          |    0.027        |   0.57          |    0.028        |  4              |                 |                 | 14.762          | 0.341           |                 |                 |                 |                 |                 |                 | 201.46          |    7.05         |                 |                 |                 |                 |                 |                 | 15.589          | 0.083           |                 | 5030.6          |    4.7          | 5032.4          |    3.8          | 5031.7          |   2             | 0.31            | 0.629           |   90            | 0.83            |                 | 1.222           | 13.773          |                 |                 | 23.836          | 201.46          |                 | 14.763          | 0.99            | 5319.2          | 5217.7          | 5176.2          | 4721.1          | 34.387          |                 | -20.614         |
UGC00005                                |  UGC00005       | 0.0515844       | -1.913874       | J000305.7-015450 | 96.2231437      | -62.2521423     | Sbc             | B               |                 |                 |                 | 3.9             | 0.6             |                 |                 |  1.144          |    0.039        |  0.338          |    0.026        | 47.4            |                 |                 | 14.167          | 0.271           | 12.17           | 0.088           |                 |                 |                 |                 | 210.83          |    6.82         |                 |                 |                 |                 |                 |                 | 15.59           | 0.092           | 13.029          | 7286.5          |    7.1          | 7299.2          |    3.3          | 7296.9          |   4             | 0.173           | 0.531           | 65.92           | 0.04            |                 | 1.147           | 13.416          |                 |                 | 23.029          | 230.92          |   7.53          | 15.549          | 2.133           | 7470.9          | 7397.7          | 7267.6          | 6947.3          | 35.13           |                 | -21.714         |
NGC7819                                 |  NGC7819        | 0.0734708       | 31.4719861      | J000424.5+312819 | 111.3150707     | -30.3366313     | Sb              | B               |                 |                 |                 | 3.1             | 0.4             |  3              |  0.5            |  1.158          |    0.026        |   0.26          |    0.028        | 96.79           | 23.107          |   0.541         | 14.27           | 0.116           |                 |                 | -0.03           | 0.66            | 0.04            | 0.69            | 110.86          |    2.65         |                 |                 |                 |                 |                 |                 | 14.896          | 0.166           | 12.967          | 4956            |    4.3          | 4956            |      5          | 4956            | 2.4             | 0.245           | 0.38            | 59.79           | 0.03            |  0.595          |  1.17           | 13.608          | -0.128          | 0.523           | 23.366          | 128.28          |   3.13          | 14.863          | 1.255           | 5237.3          | 5136.2          | 5086.3          | 4637.7          | 34.352          |                 | -20.744         |
UGC00029                                |  UGC00029       | 0.0760361       | 28.3016389      | J000433.7+281806 | 110.5568262     | -33.4411407     | E               |                 |                 |                 | C               | -4.8            | 0.5             |                 |                 |  1.091          |    0.039        |   0.14          |    0.022        | 174.25          |                 |                 | 15.006          | 0.317           |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 8785.1          |    9.8          | 8785.1          | 9.8             | 0.231           |  0              | 68.37           | 0.05            |                 | 1.122           | 14.644          |                 |                 | 24.313          |                 |                 |                 |                 | 9059.8          | 8959.9          | 8901.3          | 8459            | 35.572          |                 | -20.928         |
! IC1528   <No cross identification found>
NGC7824                                 |  NGC7824        | 0.0850667       | 6.9200556       | J000506.2+065512 | 103.0326167     | -54.1518113     | Sab             |                 |                 |                 |                 | 2               | 0.5             |                 |                 |  1.201          |    0.036        |  0.183          |    0.027        | 152.49          |                 |                 | 14.343          | 0.272           | 11.62           |  0.1            |                 |                 |                 | 0.91            | 228.42          |   10.35         |                 |                 | 274.27          |  27.62          |                 |                 |                 |                 |                 | 6154            |    8.1          | 6134            |   55.7          | 6153.6          |   6             | 0.219           | 0.229           | 52.12           | 0.03            |                 | 1.215           | 13.833          |                 |                 | 23.825          | 289.39          |  13.35          |                 |                 | 6363.1          | 6279.1          | 6167.2          | 5801.3          | 34.767          |                 | -20.934         |
UGC00036                                |  UGC00036       | 0.087187        | 6.7719453       | J000513.9+064619 | 103.0067066     | -54.3024914     | Sa              |                 | R               |                 |                 | 1               | 0.4             |                 |                 |   1.17          |    0.036        |  0.359          |    0.027        | 17              |                 |                 | 14.699          | 0.357           | 12.33           |  0.1            |                 |                 |                 |                 | 237.11          |       8         |                 |                 | 140.1           |  39.46          |                 |                 | 16.818          | 0.168           |                 | 6305.9          |    8.4          | 6250            |   55.7          | 6304.6          | 8.1             | 0.226           | 0.301           | 72.21           | 0.05            |                 | 1.176           | 14.092          |                 |                 | 23.913          | 249.01          |   8.47          | 16.764          | 2.672           | 6513.5          | 6429.7          | 6317.4          | 5952.4          | 34.825          |                 | -20.732         |
NGC0001                                 |  NGC0001        | 0.1210759       | 27.7078796      | J000715.9+274228 | 111.1074052     | -34.1475389     | Sb              |                 |                 |                 |                 | 3.1             | 0.4             |  4              |  0.5            |  1.195          |    0.039        |  0.164          |    0.035        | 110.47          | 21.744          |   0.307         | 13.694          | 0.041           | 12.802          | 0.064           | 0.12            | 0.76            | 0.23            | 0.87            | 146.57          |    3.61         |                 |                 |                 |                 |                 |                 | 14.882          | 0.114           | 12.035          | 4551.2          |      3          | 4545.2          |    6.1          | 4550            | 2.5             | 0.275           | 0.243           | 48.84           | 0.02            |  0.713          | 1.214           | 13.142          | 0.023           | 0.637           | 23.133          | 194.69          |   5.04          | 14.861          | 1.719           | 4822.8          | 4722.5          | 4662.6          | 4223.3          | 34.151          |                 | -21.009         |
NGC0023                                 |  NGC0023        | 0.1648208       | 25.9238056      | J000953.4+255526 | 111.3674618     | -36.0131592     | Sa              | B               |                 |                 |                 | 1.2             | 0.5             |  2              |  1.3            |   1.19          |    0.041        |  0.103          |     0.02        | 172.93          |                 |                 | 12.841          | 0.048           | 10.805          | 0.052           |                 | 0.82            |                 | 0.875           | 185.2           |    4.65         |                 |                 |                 |                 |                 |                 | 15.428          | 0.117           | 10.749          | 4565.1          |    2.9          | 4553            |      3          | 4559.4          | 4.5             | 0.165           | 0.105           | 40.47           | 0.02            |  0.338          | 1.201           | 12.514          |                 | 0.725           | 22.406          | 285.31          |   7.54          | 15.406          | 2.892           | 4827.3          | 4727.3          | 4662.9          | 4229.5          | 34.151          |                 | -21.637         |
NGC0036                                 |  NGC0036        | 0.1895306       | 6.3892222       | J001122.3+062321 | 105.3435879     | -55.1084387     | SABb            | B               |                 |                 |                 | 3               | 0.5             |                 |                 |   1.33          |    0.064        |   0.21          |    0.055        | 12.62           |                 |                 | 14.315          | 0.41            | 11.63           |  0.1            |                 |                 |                 |                 | 206.66          |    6.69         |                 |                 |                 |                 |                 |                 | 15.181          | 0.098           | 13.276          | 6029.7          |    5.3          | 6106            |     64          | 6030.3          | 5.7             | 0.288           | 0.309           | 54.59           | 0.03            |                 | 1.348           | 13.673          |                 |                 | 24.352          | 253.57          |   8.56          | 15.153          | 1.48            | 6236            | 6151.1          | 6038.9          | 5680            | 34.723          |                 | -21.05          |
