InputName       	         NEDName          	     RA_J2000     	    Dec_J2000     	ObjectType	  cz  	 Redshift 	maj_diam_am	min_diam_am
ARP220                        	ARP 220                       	15h34m57.25s	+23d30m11.3s	G     	  5434	  0.018126	       1.5	       1.2
IC0480                        	IC 0480                       	07h55m23.19s	+26d44m36.0s	G     	  4559	  0.015208	      1.93	      0.38
IC0540                        	IC 0540                       	09h30m10.33s	+07d54m09.9s	G     	  2035	  0.006788	      1.56	      0.38
IC0944                        	IC 0944                       	13h51m30.87s	+14d05m32.0s	G     	  6997	  0.023339	       1.6	       0.5
IC1151                        	IC 1151                       	15h58m32.34s	+17d26m29.3s	G     	  2169	  0.007235	       2.5	       0.8
IC1199                        	IC 1199                       	16h10m34.35s	+10d02m25.3s	G     	  4731	  0.015781	       1.3	       0.5
IC1683                        	IC 1683                       	01h22m39.00s	+34d26m13.0s	G     	  4869	  0.016241	       1.3	       0.6
IC2247                        	IC 2247                       	08h15m59.10s	+23d11m58.6s	G     	  4282	  0.014283	      1.92	      0.34
IC2487                        	IC 2487                       	09h30m09.17s	+20d05m27.1s	G     	  4339	  0.014473	      1.27	      0.49
IC4566                        	IC 4566                       	15h36m42.16s	+43d32m21.6s	G     	  5774	  0.019260	      1.30	      0.91
IC5376                        	IC 5376                       	00h01m19.77s	+34d31m32.6s	G     	  5032	  0.016785	       2.0	       0.3
NGC0444                       	NGC 0444                      	01h15m49.60s	+31d04m48.9s	G     	  4839	  0.016141	       1.9	       0.4
NGC0447                       	NGC 0447                      	01h15m37.63s	+33d04m03.8s	G     	  5597	  0.018670	       2.2	       2.2
NGC0477                       	NGC 0477                      	01h21m20.37s	+40d29m17.5s	G     	  5876	  0.019600	       2.2	       1.2
NGC0496                       	NGC 0496                      	01h23m11.60s	+33d31m45.0s	G     	  6006	  0.020034	       1.6	       0.9
NGC0523                       	NGC 0523                      	01h25m20.73s	+34d01m29.8s	G     	  4758	  0.015871	       2.5	       0.7
NGC0528                       	NGC 0528                      	01h25m33.60s	+33d40m18.0s	G     	  4807	  0.016034	       1.7	       1.1
NGC0551                       	NGC 0551                      	01h27m40.66s	+37d10m58.5s	G     	  5196	  0.017332	       1.8	       0.8
NGC1167                       	NGC 1167                      	03h01m42.37s	+35d12m20.7s	G     	  4945	  0.016495	       2.8	       2.3
NGC2253                       	NGC 2253                      	06h43m41.84s	+65d12m22.6s	G     	  3563	  0.011885	       1.5	       1.1
NGC2347                       	NGC 2347                      	07h16m03.69s	+64d42m32.1s	G     	  4421	  0.014747	       1.8	       1.3
NGC2410                       	NGC 2410                      	07h35m02.26s	+32d49m19.6s	G     	  4681	  0.015614	      2.37	      0.69
NGC2480                       	NGC 2480                      	07h57m10.44s	+23d46m47.3s	G     	  2345	  0.007822	      1.45	      0.48
NGC2486                       	NGC 2486                      	07h57m56.49s	+25d09m39.1s	G     	  4649	  0.015507	      1.78	      0.88
NGC2487                       	NGC 2487                      	07h58m20.46s	+25d08m57.2s	G     	  4841	  0.016148	      1.63	      1.37
NGC2623                       	NGC 2623                      	08h38m24.08s	+25d45m16.7s	G     	  5549	  0.018509	       2.4	       0.7
NGC2639                       	NGC 2639                      	08h43m38.08s	+50d12m20.0s	G     	  3336	  0.011128	      1.59	      1.02
NGC2730                       	NGC 2730                      	09h02m15.83s	+16d50m17.9s	G     	  3832	  0.012782	       1.7	       1.3
NGC2880                       	NGC 2880                      	09h29m34.56s	+62d29m26.0s	G     	  1554	  0.005184	      2.16	      1.13
NGC2906                       	NGC 2906                      	09h32m06.22s	+08d26m30.4s	G     	  2140	  0.007138	       1.4	       0.9
NGC2916                       	NGC 2916                      	09h34m57.60s	+21d42m19.0s	G     	  3730	  0.012442	      1.89	      1.07
NGC2918                       	NGC 2918                      	09h35m44.04s	+31d42m19.7s	G     	  6839	  0.022812	      1.47	      0.96
NGC3303                  	NGC 3303 NED01                	10h36m59.44s	+18d08m15.7s	G     	  6026	  0.020099	       0.6	       0.4
NGC3381                       	NGC 3381                      	10h48m24.82s	+34d42m41.1s	G     	  1629	  0.005434	      1.46	      1.40
NGC3687                       	NGC 3687                      	11h28m00.61s	+29d30m39.8s	G     	  2507	  0.008362	      1.61	      1.30
NGC3811                       	NGC 3811                      	11h41m16.63s	+47d41m26.9s	G     	  3105	  0.010357	       2.2	       1.7
NGC3815                       	NGC 3815                      	11h41m39.29s	+24d48m01.8s	G     	  3711	  0.012379	      1.76	      0.72
NGC3994                       	NGC 3994                      	11h57m36.87s	+32d16m39.4s	G     	  3086	  0.010294	      1.30	      0.64
NGC4047                       	NGC 4047                      	12h02m50.68s	+48d38m10.3s	G     	  3410	  0.011375	      1.65	      1.21
NGC4149                       	NGC 4149                      	12h10m32.84s	+58d18m14.9s	G     	  3056	  0.010194	      1.57	      0.54
NGC4185                       	NGC 4185                      	12h13m22.20s	+28d30m39.5s	G     	  3904	  0.013022	       2.6	       1.9
NGC4210                       	NGC 4210                      	12h15m15.83s	+65d59m07.2s	G     	  2732	  0.009113	      1.71	      1.14
NGC4211NED02                  	NGC 4211 NED02                	12h15m37.32s	+28d10m10.7s	G     	  6686	  0.022302	      1.15	      0.33
NGC4470                       	NGC 4470                      	12h29m37.78s	+07d49m27.1s	G     	  2341	  0.007809	      1.61	      0.98
NGC4644                       	NGC 4644                      	12h42m42.66s	+55d08m43.8s	G     	  4947	  0.016501	      1.74	      0.42
NGC4676A                      	NGC 4676A                     	12h46m10.11s	+30d43m54.9s	G     	  6613	  0.022059	      1.79	      0.48
NGC4711                       	NGC 4711                      	12h48m45.87s	+35d19m57.7s	G     	  4062	  0.013549	       1.5	       0.9
NGC4961                       	NGC 4961                      	13h05m47.57s	+27d44m02.9s	G     	  2535	  0.008456	       1.6	       1.1
NGC5000                       	NGC 5000                      	13h09m47.49s	+28d54m25.0s	G     	  5608	  0.018706	      1.52	      1.06
NGC5016                       	NGC 5016                      	13h12m06.68s	+24d05m42.0s	G     	  2612	  0.008713	       1.7	       1.3
NGC5056                       	NGC 5056                      	13h16m12.32s	+30d57m01.2s	G     	  5592	  0.018653	       1.7	       1.0
NGC5205                       	NGC 5205                      	13h30m03.58s	+62d30m41.7s	G     	  1766	  0.005891	      1.79	      0.95
NGC5218                       	NGC 5218                      	13h32m10.38s	+62d46m03.9s	G     	  2933	  0.009783	      1.85	      0.99
NGC5394                       	NGC 5394                      	13h58m33.65s	+37d27m12.5s	G     	  3448	  0.011501	       1.7	       1.0
NGC5406                       	NGC 5406                      	14h00m20.12s	+38d54m55.5s	G     	  5202	  0.017352	      2.04	      1.10
NGC5480                       	NGC 5480                      	14h06m21.58s	+50d43m30.4s	G     	  1856	  0.006191	      1.63	      1.22
NGC5485                       	NGC 5485                      	14h07m11.35s	+55d00m06.1s	G     	  1927	  0.006428	      2.13	      1.51
NGC5520                       	NGC 5520                      	14h12m22.79s	+50d20m54.3s	G     	  1877	  0.006261	       2.0	       1.1
NGC5614                       	NGC 5614                      	14h24m07.59s	+34d51m31.9s	G     	  3892	  0.012982	      1.92	      1.41
NGC5633                       	NGC 5633                      	14h27m28.38s	+46d08m47.5s	G     	  2334	  0.007785	      1.56	      0.97
NGC5657                       	NGC 5657                      	14h30m43.60s	+29d10m51.0s	G     	  3906	  0.013029	       1.9	       0.8
NGC5682                       	NGC 5682                      	14h34m44.98s	+48d40m12.9s	G     	  2273	  0.007581	      2.13	      0.47
NGC5732                       	NGC 5732                      	14h40m38.95s	+38d38m16.1s	G     	  3748	  0.012502	      1.45	      0.71
NGC5784                       	NGC 5784                      	14h54m16.45s	+42d33m28.5s	G     	  5370	  0.017912	       1.9	       1.8
NGC5876                       	NGC 5876                      	15h09m31.56s	+54d30m23.4s	G     	  3276	  0.010928	      2.13	      0.85
NGC5908                       	NGC 5908                      	15h16m43.22s	+55d24m33.3s	G     	  3306	  0.011028	       3.2	       1.2
NGC5930                       	NGC 5930                      	15h26m07.94s	+41d40m33.8s	G     	  2616	  0.008726	      1.93	      0.84
NGC5934                       	NGC 5934                      	15h28m12.78s	+42d55m47.7s	G     	  5701	  0.019016	      1.41	      0.53
NGC5947                       	NGC 5947                      	15h30m36.60s	+42d43m01.7s	G     	  5891	  0.019650	      1.22	      1.01
NGC5953                       	NGC 5953                      	15h34m32.38s	+15d11m37.6s	G     	  1965	  0.006555	      1.35	      1.16
NGC5980                       	NGC 5980                      	15h41m30.40s	+15d47m15.6s	G     	  4092	  0.013649	       1.9	       0.7
NGC6004                       	NGC 6004                      	15h50m22.72s	+18d56m21.4s	G     	  3826	  0.012762	       1.9	       1.7
NGC6021                       	NGC 6021                      	15h57m30.69s	+15d57m21.8s	G     	  4742	  0.015818	       1.4	       0.8
NGC6027                       	NGC 6027                      	15h59m12.54s	+20d45m48.1s	G     	  4447	  0.014834	       0.4	       0.2
NGC6060                       	NGC 6060                      	16h05m51.98s	+21d29m05.9s	G     	  4439	  0.014807	       2.0	       1.1
NGC6063                       	NGC 6063                      	16h07m12.99s	+07d58m44.4s	G     	  2848	  0.009500	      1.72	      0.84
NGC6081                       	NGC 6081                      	16h12m56.86s	+09d52m01.6s	G     	  5176	  0.017265	       1.8	       0.6
NGC6125                       	NGC 6125                      	16h19m11.55s	+57d59m03.2s	G     	  4831	  0.016114	       1.4	       1.4
NGC6146                       	NGC 6146                      	16h25m10.36s	+40d53m34.3s	G     	  8820	  0.029420	       1.3	       1.0
NGC6155                       	NGC 6155                      	16h26m08.34s	+48d22m00.5s	G     	  2418	  0.008066	      1.68	      0.99
NGC6168                       	NGC 6168                      	16h31m21.30s	+20d11m05.8s	G     	  2519	  0.008402	      0.90	      0.45
NGC6186                       	NGC 6186                      	16h34m25.48s	+21d32m27.2s	G     	  2937	  0.009797	      1.71	      0.83
NGC6301                       	NGC 6301                      	17h08m32.74s	+42d20m20.8s	G     	  8344	  0.027833	      1.78	      0.87
