Name       	     RA     	    Dec     	  cz  	 Redshift 
ARP220                        	15h34m57.25s	+23d30m11.3s	  5434	  0.018126
IC0480                        	07h55m23.19s	+26d44m36.0s	  4559	  0.015208
IC0540                        	09h30m10.33s	+07d54m09.9s	  2035	  0.006788
IC0944                        	13h51m30.87s	+14d05m32.0s	  6997	  0.023339
IC1151                        	15h58m32.34s	+17d26m29.3s	  2169	  0.007235
IC1199                        	16h10m34.35s	+10d02m25.3s	  4731	  0.015781
IC1683                        	01h22m39.00s	+34d26m13.0s	  4869	  0.016241
IC2247                        	08h15m59.10s	+23d11m58.6s	  4282	  0.014283
IC2487                        	09h30m09.17s	+20d05m27.1s	  4339	  0.014473
IC4566                        	15h36m42.16s	+43d32m21.6s	  5774	  0.019260
IC5376                        	00h01m19.77s	+34d31m32.6s	  5032	  0.016785
NGC0444                       	01h15m49.60s	+31d04m48.9s	  4839	  0.016141
NGC0447                       	01h15m37.63s	+33d04m03.8s	  5597	  0.018670
NGC0477                       	01h21m20.37s	+40d29m17.5s	  5876	  0.019600
NGC0496                       	01h23m11.60s	+33d31m45.0s	  6006	  0.020034
NGC0523                       	01h25m20.73s	+34d01m29.8s	  4758	  0.015871
NGC0528                       	01h25m33.60s	+33d40m18.0s	  4807	  0.016034
NGC0551                       	01h27m40.66s	+37d10m58.5s	  5196	  0.017332
NGC1167                       	03h01m42.37s	+35d12m20.7s	  4945	  0.016495
NGC2253                       	06h43m41.84s	+65d12m22.6s	  3563	  0.011885
NGC2347                       	07h16m03.69s	+64d42m32.1s	  4421	  0.014747
NGC2410                       	07h35m02.26s	+32d49m19.6s	  4681	  0.015614
NGC2480                       	07h57m10.44s	+23d46m47.3s	  2345	  0.007822
NGC2486                       	07h57m56.49s	+25d09m39.1s	  4649	  0.015507
NGC2487                       	07h58m20.46s	+25d08m57.2s	  4841	  0.016148
NGC2623                       	08h38m24.08s	+25d45m16.7s	  5549	  0.018509
NGC2639                       	08h43m38.08s	+50d12m20.0s	  3336	  0.011128
