# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: Alias, datatype: string}
# - {name: NEDname, datatype: string}
# - {name: RAstr, datatype: string}
# - {name: DEstr, datatype: string}
# - {name: Type, datatype: string}
# - {name: Vel, datatype: string}
# - {name: z, datatype: float64}
# - {name: Dmaj, datatype: string}
# - {name: Dmin, datatype: string}
# - {name: Vrad, unit: km / s, datatype: float64, format: 7.0f}
# delimiter: ','
# schema: astropy-2.0
Name,Alias,NEDname,RAstr,DEstr,Type,Vel,z,Dmaj,Dmin,Vrad
ARP118,NGC1143,NGC 1143,02h55m09.72s,-00d10m40.4s,G,8446,0.028174,0.9,0.8,8220.437070827042
ARP180,MCG-01-13-034,ARP 180,04h53m24.48s,-04d47m37.3s,GPair,4351,0.014515,,,4292.156222588299
CGCG97120c,NGC3860,NGC 3860,11h44m49.18s,+19d47m42.2s,G,5612,0.01872,1.0,0.5,5512.73024707126
CGCG97120d,NGC3860,NGC 3860,11h44m49.18s,+19d47m42.2s,G,5612,0.01872,1.0,0.5,5512.73024707126
IC0208,IC0208,IC 0208,02h08m27.76s,+06d23m42.1s,G,3518,0.011735,1.8,1.8,3479.6381775057553
IC1078,IC1078,IC 1078,14h56m29.02s,+09d21m16.5s,G,8593,0.028663,1.0,0.9,8359.136208661848
IC2361,IC2361,IC 2361,08h25m44.48s,+27d52m28.3s,G,2075,0.006921,1.50,0.47,2062.0188875106915
IC4215,IC4215,IC 4215,13h16m16.88s,+25d24m18.0s,G,3881,0.012945,1.5,0.2,3833.8366274059813
KUG1349_143,MCG+02-35-020,KUG 1349+143,13h51m32.95s,+14d06m39.2s,G,7370,0.024583,0.77,0.48,7197.8331711412
MCG_02_03_015,MCG-02-03-015,MCG -02-03-015,00h47m46.42s,-09d50m05.8s,G,5729,0.01911,2.08,0.43,5625.423730529151
MCG_02_08_014,MCG-02-08-014,MCG -02-08-014,02h52m23.40s,-08d30m37.1s,G,5023,0.016755,1.96,0.32,4943.612431537167
NGC0036,NGC0036,NGC 0036,00h11m22.27s,+06d23m22.1s,G,6029,0.020111,2.2,1.3,5914.275660362821
NGC0177,NGC0177,NGC 0177,00h37m34.33s,-22d32m57.2s,G,3835,0.012792,2.2,0.5,3789.096324649099
NGC0192,NGC0192,NGC 0192,00h39m13.43s,+00d51m51.6s,G,4133,0.013787,1.9,0.9,4079.812682603522
NGC0217,NGC0217,NGC 0217,00h41m33.89s,-10d01m17.0s,G,3932,0.013116,2.05,0.68,3883.824492757243
NGC0309,NGC0309,NGC 0309,00h56m42.65s,-09d54m49.9s,G,5661,0.018883,1.94,1.34,5559.840844705376
NGC0426,NGC0426,ZTF18abtzjhn,01h12m48.61s,-00d17m24.7s,G,5259,0.017542,1.14,0.82,5171.813245171004
NGC0570,NGC0570,NGC 0570,01h28m58.63s,-00d56m56.3s,G,5526,0.018433,1.35,0.97,5429.744236071269
NGC0675,NGC0675,NGC 0675,01h49m08.60s,+13d03m35.2s,G,5103,0.017022,1.2,0.5,5021.072141268514
NGC0681,NGC0681,NGC 0681,01h49m10.84s,-10d25m34.5s,G,1757,0.005861,1.86,1.34,1748.0476003360218
NGC0787,NGC0787,NGC 0787,02h00m48.61s,-09d00m09.3s,G,4746,0.015832,1.59,1.17,4675.525830053993
NGC0833,NGC0833,NGC 0833,02h09m20.84s,-10d07m59.1s,G,3854,0.012857,1.76,0.67,3808.105295354329
NGC0835,NGC0835,NGC 0835,02h09m24.61s,-10d08m09.1s,G,3847,0.012832,1.3,1.0,3800.794441713356
NGC0932,NGC0932,NGC 0932,02h27m54.70s,+20d19m57.2s,G,4079,0.013606,1.9,1.6,4026.9711002121294
NGC0976,NGC0976,NGC 0976,02h34m00.01s,+20d58m36.4s,G,4296,0.01433,1.5,1.2,4238.22420208196
NGC0991,NGC0991,NGC 0991,02h35m32.71s,-07d09m15.6s,G,1532,0.00511,1.91,1.63,1525.2008282486222
NGC1070,NGC1070,NGC 1070,02h43m22.26s,+04d58m06.3s,G,4088,0.013636,2.3,1.9,4035.730679135989
NGC1094,NGC1094,NGC 1094,02h47m27.83s,-00d17m06.5s,G,6424,0.021427,1.53,0.85,6293.163045146662
NGC2565,NGC2565,NGC 2565,08h19m48.31s,+22d01m53.1s,G,3582,0.011948,1.9,0.9,3542.050285375436
NGC3227f2,NGC3227,NGC 3227,10h23m30.57s,+19d51m54.3s,G,1126,0.003756,5.4,3.6,1122.5806680488515
NGC4390,NGC4390,NGC 4390,12h25m50.71s,+10d27m32.2s,G,1101,0.003673,1.60,1.07,1097.8647511569302
NGC5338,NGC5338,NGC 5338,13h53m26.58s,+05d12m27.6s,G,810,0.002701,2.11,0.80,808.1157682438779
NGC5339,NGC5339,NGC 5339,13h54m00.28s,-07d55m50.2s,G,2741,0.009143,1.9,1.6,2718.031831004021
NGC5635,NGC5635,NGC 5635,14h28m31.76s,+27d24m32.2s,G,4316,0.014397,2.23,0.84,4257.75861286995
NGC5735,NGC5735,NGC 5735,14h42m33.25s,+28d43m35.4s,G,3720,0.012408,2.4,1.9,3676.7473362348373
NGC5957,NGC5957,NGC 5957,15h35m23.23s,+12d02m51.2s,G,1814,0.006051,2.8,2.6,1804.3741733175539
NGC6261,NGC6261,NGC 6261,16h56m30.52s,+27d58m39.1s,G,10548,0.035184,1.21,0.57,10196.208255844473
NGC6941,NGC6941,NGC 6941,20h36m23.47s,-04d37m07.3s,G,6217,0.020738,1.78,1.10,6094.9161269722745
