# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: ledaName, datatype: string, description: Galaxy name as known by LEDA}
# - {name: ledaRA, unit: hourangle, datatype: float64, description: RA J2000 from LEDA /al2000/}
# - {name: ledaDE, unit: deg, datatype: float64, description: DEC J2000 from LEDA /de2000/}
# - {name: ledaMorph, datatype: string, description: Hubble type from LEDA /type/}
# - {name: ledaBar, datatype: string, description: B = bar present from LEDA /bar/}
# - {name: ledaRing, datatype: string, description: R = ring present from LEDA /ring/}
# - {name: ledaMultiple, datatype: string, description: M = multiple system from LEDA /multiple/}
# - {name: ledaType, datatype: float64, description: Morphological type from LEDA /t/}
# - {name: ledaPA, unit: deg, datatype: float64, description: 'PA from LEDA /pa/, N to E'}
# - {name: ledaBt, unit: mag, datatype: float64, description: Apparent B total magnitude from LEDA /bt/}
# - {name: ledaIt, unit: mag, datatype: float64, description: Apparent I total magnitude from LEDA /it/}
# - {name: ledaVmaxg, unit: km / s, datatype: float64, description: HI max v_rot uncorrected for incl from LEDA /vmaxg/}
# - {name: ledaFIR, unit: mag, datatype: float64, description: FIR flux as magnitude from LEDA /mfir/}
# - {name: ledaVrad, unit: km / s, datatype: float64, description: cz from mean data from LEDA /v/}
# - {name: ledaA_Bgal, unit: mag, datatype: float64, description: Galactic A_B from LEDA /ag/}
# - {name: ledaIncl, unit: deg, datatype: float64, description: Morph inclination from LEDA /incl/}
# - {name: ledaVrot, unit: km / s, datatype: float64, description: HI max v_rot corrected for incl from LEDA /vrot/}
# - {name: ledaVvir, unit: km / s, datatype: float64, description: Virgo infall corrected cz from LEDA /vvir/}
# - {name: ledaModz, unit: mag, datatype: float64, description: Dist modulus from LEDA /modz/ based on /vvir/}
# - {name: ledaD25, unit: arcmin, datatype: float64, format: .2f, description: Apparent B diameter from LEDA /logd25/ linearized}
# - {name: ledaAxrat, datatype: float64, format: .4f, description: Minor to major axis ratio from LEDA /logr25/ linearized}
# - {name: ledaAxIncl, unit: deg, datatype: float64, format: .1f, description: Inclination estimated from LEDA axratio using Bottinelli+83}
# - {name: ledaDistMpc, unit: Mpc, datatype: float64, format: .2f, description: Luminosity distance in Mpc corresponding to ledaModz}
# - {name: ledaHIflux, unit: Jy km / s, datatype: float64, format: .2f, description: 21cm flux from LEDA /m21/ linearized}
# - {name: ID, datatype: int64, description: CALIFA ID}
# delimiter: ','
# meta: !!omap
# - {comments: Galaxy Parameters from HyperLEDA}
# - {date: '2022-02-08'}
# schema: astropy-2.0
Name,ledaName,ledaRA,ledaDE,ledaMorph,ledaBar,ledaRing,ledaMultiple,ledaType,ledaPA,ledaBt,ledaIt,ledaVmaxg,ledaFIR,ledaVrad,ledaA_Bgal,ledaIncl,ledaVrot,ledaVvir,ledaModz,ledaD25,ledaAxrat,ledaAxIncl,ledaDistMpc,ledaHIflux,ID
2MASXJ01331766+1319567,2MASXJ01331766+1319567,1.5549145,13.3322413,Sc,B,,,5.9,176.69,15.223,13.975,90.83,,2767.3,0.236,82.64,91.58,2749.1,33.005,1.6826740610704674,0.21978598727848248,79.97709383863813,39.90249023621427,3.8124135110429895,56
2MASXJ09065870,PGC3089961,9.1163077,20.7862729,E,,,,-5.0,100.99,16.047,13.965,,,24090.7,0.198,90.0,,24109.1,37.791,0.9120108393559097,0.660693448007596,55.88003861476378,361.5763363610966,,3020
ARP118,NGC1143,2.9193685,-0.1778504,E,,,,-4.3,110.65,14.268,13.485,,,8446.3,0.312,90.0,,8322.1,35.423,1.2189895989248667,0.5597576014951101,64.26713751242487,121.50663676334169,,2943
ARP180,ARP180,4.8901744,-4.7925158,,,,,,19.5,15.62,13.3,,,4229.0,0.14,67.59,,4054.5,33.845,1.1994993031493788,0.41591061049402206,,58.74893525297766,,145
ARP220,ARP220,15.5825825,23.5028574,Sm,,,,9.3,96.46,13.955,,147.44,8.283,5427.0,0.22,56.98,175.83,5662.2,34.585,1.1066237839776665,0.6471426157485831,49.986574064595274,82.60379495771792,18.29784734295412,802
BKD2008WR346,IC0225,2.4411888,1.1605165,E,,R,,-4.9,157.79,14.831,13.486,,,1537.6,0.135,38.53,,1432.2,31.639,1.0092528860766845,0.8871560120379609,30.518014105628772,21.271592273629828,,1003
CGCG163-062,CGCG163-062,14.4865789,30.0772529,SBc,B,R,,5.0,20.0,15.381,14.198,13.89,,4368.7,0.092,11.99,66.86,4603.3,34.132,0.6776415076106751,0.9794899854086989,11.758492873968477,67.0501880162841,0.5915616341754738,2752
CGCG242-073,CGCG242-073,11.6798224,46.5405076,E,,,,-5.0,160.16,15.082,13.275,,,16065.4,0.087,62.56,,16273.7,36.905,1.191242008027375,0.762079010025412,45.56796576328108,240.43628000069347,,3026
CGCG251-041,CGCG251-041,16.719298,45.8457457,S0,,,,-2.0,112.58,14.815,13.553,,,5274.7,0.072,90.0,,5576.7,34.553,1.1994993031493788,0.4355118736855686,71.1756938149335,81.39542590972674,,3037
CGCG429-012,CGCG429-012,22.6138512,14.386919,E-S0,,,,-3.0,4.73,15.752,14.089,115.14,,5275.0,0.286,90.0,115.14,5371.4,34.471,0.8260379495771789,0.4775292736576909,69.2725574791089,78.3790508535616,1.0974885550989468,3040
CGCG536-030,CGCG536-030,1.3525682,40.4702507,Sc,,,,4.9,30.5,14.752,,,13.085,5836.0,0.227,51.27,,5955.5,34.693,0.7481695005111544,0.6456542290346555,50.57974651326677,86.81604556119937,,2052
ESO539-G014,ESO539-G014,0.5244956,-19.76127,Scd,,,,6.7,0.29,15.68,13.967,153.76,,7092.7,0.091,90.0,153.76,6956.1,35.029,1.778279410038923,0.10990058394325211,90.0,101.34445697847934,4.7863009232263805,15
