# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: nedRA, unit: deg, datatype: float64, description: J2000 RA from NED}
# - {name: nedDE, unit: deg, datatype: float64, description: J2000 DEC from NED}
# - {name: nedVopt, unit: km / s, datatype: int64, description: cz from NED}
# - {name: nedz, datatype: float64, description: z from NED}
# - {name: nedMajDia, unit: arcmin, datatype: float64, description: NED Basic Data major axis diameter}
# - {name: nedMinDia, unit: arcmin, datatype: float64, description: NED Basic Data minor axis diameter}
# delimiter: ','
# meta: !!omap
# - {date: '2021-06-28'}
# - {comments: Galaxy coordinates and diameters from NED}
# schema: astropy-2.0
Name,nedRA,nedDE,nedVopt,nedz,nedMajDia,nedMinDia
ARP220,233.73854,23.50314,5434,0.018126,1.5,1.2
IC0480,118.84662,26.74333,4559,0.015208,1.93,0.38
IC0540,142.54304,7.90275,2035,0.006788,1.56,0.38
IC0944,207.87862,14.09222,6997,0.023339,1.6,0.5
IC1151,239.63475,17.44147,2169,0.007235,2.5,0.8
IC1199,242.64312,10.04036,4731,0.015781,1.3,0.5
IC1683,20.6625,34.43694,4869,0.016241,1.3,0.6
IC2247,123.99625,23.19961,4282,0.014283,1.92,0.34
IC2487,142.53821,20.09086,4339,0.014473,1.27,0.49
IC4566,234.17567,43.53933,5774,0.01926,1.3,0.91
IC5376,0.33237,34.52572,5032,0.016785,2.0,0.3
NGC0444,18.95667,31.08025,4839,0.016141,1.9,0.4
NGC0447,18.90679,33.06772,5597,0.01867,2.2,2.2
NGC0477,20.33488,40.48819,5876,0.0196,2.2,1.2
NGC0496,20.79833,33.52917,6006,0.020034,1.6,0.9
NGC0523,21.33637,34.02494,4758,0.015871,2.5,0.7
NGC0528,21.39,33.67167,4807,0.016034,1.7,1.1
NGC0551,21.91942,37.18292,5196,0.017332,1.8,0.8
NGC1167,45.42654,35.20575,4945,0.016495,2.8,2.3
NGC2253,100.92433,65.20628,3563,0.011885,1.5,1.1
NGC2347,109.01537,64.70892,4421,0.014747,1.8,1.3
NGC2410,113.75942,32.82211,4681,0.015614,2.37,0.69
NGC2480,119.2935,23.77981,2345,0.007822,1.45,0.48
NGC2486,119.48537,25.16086,4649,0.015507,1.78,0.88
NGC2487,119.58525,25.14922,4841,0.016148,1.63,1.37
NGC2623,129.60033,25.75464,5549,0.018509,2.4,0.7
NGC2639,130.90867,50.20556,3336,0.011128,1.59,1.02
NGC2730,135.56596,16.83831,3832,0.012782,1.7,1.3
NGC2880,142.394,62.49056,1554,0.005184,2.16,1.13
NGC2906,143.02592,8.44178,2140,0.007138,1.4,0.9
NGC2916,143.74,21.70528,3730,0.012442,1.89,1.07
NGC2918,143.9335,31.70547,6839,0.022812,1.47,0.96
NGC3303,159.24767,18.13769,6026,0.020099,0.6,0.4
NGC3381,162.10342,34.71142,1629,0.005434,1.46,1.4
NGC3687,172.00254,29.51106,2507,0.008362,1.61,1.3
NGC3811,175.31929,47.69081,3105,0.010357,2.2,1.7
NGC3815,175.41371,24.8005,3711,0.012379,1.76,0.72
NGC3994,179.40362,32.27761,3086,0.010294,1.3,0.64
NGC4047,180.71117,48.63619,3410,0.011375,1.65,1.21
NGC4149,182.63683,58.30414,3056,0.010194,1.57,0.54
NGC4185,183.3425,28.51097,3904,0.013022,2.6,1.9
NGC4210,183.81596,65.98533,2732,0.009113,1.71,1.14
NGC4211NED02,183.9055,28.16964,6686,0.022302,1.15,0.33
NGC4470,187.40742,7.82419,2341,0.007809,1.61,0.98
NGC4644,190.67775,55.1455,4947,0.016501,1.74,0.42
NGC4676A,191.54212,30.73192,6613,0.022059,1.79,0.48
NGC4711,192.19112,35.33269,4062,0.013549,1.5,0.9
NGC4961,196.44821,27.73414,2535,0.008456,1.6,1.1
NGC5000,197.44787,28.90694,5608,0.018706,1.52,1.06
NGC5016,198.02783,24.095,2612,0.008713,1.7,1.3
NGC5056,199.05133,30.95033,5592,0.018653,1.7,1.0
NGC5205,202.51492,62.51158,1766,0.005891,1.79,0.95
NGC5218,203.04325,62.76775,2933,0.009783,1.85,0.99
NGC5394,209.64021,37.45347,3448,0.011501,1.7,1.0
NGC5406,210.08383,38.91542,5202,0.017352,2.04,1.1
NGC5480,211.58992,50.72511,1856,0.006191,1.63,1.22
NGC5485,211.79729,55.00169,1927,0.006428,2.13,1.51
NGC5520,213.09496,50.34842,1877,0.006261,2.0,1.1
NGC5614,216.03162,34.85886,3892,0.012982,1.92,1.41
NGC5633,216.86825,46.14653,2334,0.007785,1.56,0.97
NGC5657,217.68167,29.18083,3906,0.013029,1.9,0.8
