# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: nsaZdist, datatype: float64, description: Redshift from NASA-Sloan Atlas
#     using pecular velocity model of Willick+ 97}
# - {name: nsaAu, unit: mag, datatype: float64, description: Galactic extinction in
#     u from Schlegel+ 97}
# - {name: nsaAg, unit: mag, datatype: float64, description: Galactic extinction in
#     g from Schlegel+ 97}
# - {name: nsaAr, unit: mag, datatype: float64, description: Galactic extinction in
#     r from Schlegel+ 97}
# - {name: nsaAi, unit: mag, datatype: float64, description: Galactic extinction in
#     i from Schlegel+ 97}
# - {name: nsaAz, unit: mag, datatype: float64, description: Galactic extinction in
#     z from Schlegel+ 97}
# delimiter: ','
Name,nsaZdist,nsaAu,nsaAg,nsaAr,nsaAi,nsaAz
ARP220,0.0188555,0.420428,0.414849,0.261436,0.192362,0.139517
IC0480,0.0170385,0.349359,0.344723,0.217243,0.159845,0.115933
IC0540,0.00748762,0.504044,0.497356,0.313431,0.23062,0.167265
IC0944,0.0230914,0.201128,0.198459,0.125068,0.0920239,0.0667434
IC1151,0.00718563,0.315123,0.310942,0.195954,0.144181,0.104572
IC1199,0.0155374,0.435991,0.430206,0.271114,0.199483,0.144682
IC1683,0.015982,0.40799,0.402576,0.253702,0.186671,0.13539
IC2247,0.0154429,0.436057,0.430271,0.271155,0.199513,0.144703
IC2487,0.0155351,0.407297,0.401892,0.253271,0.186354,0.13516
IC4566,0.0191433,0.222696,0.219741,0.13848,0.101892,0.0739006
IC5376,0.0168594,0.597476,0.589548,0.371531,0.273369,0.19827
NGC0444,0.0158235,0.532891,0.52582,0.33137,0.243819,0.176838
NGC0447,0.0194855,0.51461,0.507782,0.320002,0.235454,0.170771
NGC0477,0.0204347,0.444099,0.438206,0.276156,0.203193,0.147372
NGC0496,0.0208876,0.602278,0.594286,0.374517,0.275566,0.199863
NGC0523,0.0156029,0.447082,0.44115,0.278011,0.204558,0.148362
NGC0528,0.0157702,0.540972,0.533794,0.336394,0.247516,0.179519
NGC0551,0.0178769,0.475471,0.469162,0.295664,0.217547,0.157783
NGC1167,0.0174952,1.50906,1.48904,0.938387,0.690456,0.500776
NGC2253,0.0124605,0.563819,0.556338,0.350602,0.257969,0.187101
NGC2347,0.0151047,0.669221,0.660341,0.416144,0.306195,0.222078
NGC2410,0.0168196,0.363784,0.358957,0.226213,0.166446,0.12072
NGC2480,0.00837781,0.537805,0.530669,0.334425,0.246067,0.178468
NGC2486,0.0167835,0.43589,0.430106,0.271051,0.199437,0.144648
NGC2487,0.0172676,0.407898,0.402486,0.253645,0.18663,0.135359
NGC2623,0.018669,0.340135,0.335622,0.211507,0.155625,0.112872
NGC2639,0.0113739,0.195994,0.193393,0.121875,0.0896748,0.0650396
NGC2730,0.0132494,0.225923,0.222925,0.140487,0.103369,0.0749716
NGC2880,0.00624611,0.276005,0.272343,0.171629,0.126283,0.0915911
NGC2906,0.00778406,0.391673,0.386476,0.243555,0.179206,0.129975
NGC2916,0.0131862,0.219455,0.216543,0.136465,0.100409,0.0728253
NGC2918,0.0224493,0.156465,0.154389,0.0972952,0.0715889,0.0519222
NGC3303,0.0203678,0.229009,0.22597,0.142405,0.10478,0.0759955
NGC3381,0.00633144,0.169767,0.167515,0.105567,0.0776752,0.0563365
NGC3687,0.00852306,0.184494,0.182046,0.114725,0.0844133,0.0612236
NGC3811,0.0105404,0.158419,0.156317,0.0985101,0.0724828,0.0525706
NGC3815,0.0133315,0.250854,0.247525,0.155989,0.114775,0.0832446
NGC3994,0.0101056,0.180722,0.178324,0.112379,0.0826873,0.0599717
NGC4047,0.0113082,0.192013,0.189465,0.1194,0.0878535,0.0637187
NGC4149,0.010376,0.165644,0.163446,0.103003,0.0757887,0.0549683
NGC4185,0.0144683,0.176488,0.174146,0.109746,0.0807502,0.0585668
NGC4210,0.00944596,0.152483,0.15046,0.0948192,0.0697671,0.0506009
NGC4211NED02,0.0221404,0.192048,0.1895,0.119422,0.0878695,0.0637303
NGC4470,0.00799586,0.199784,0.197133,0.124233,0.0914091,0.0662975
NGC4644,0.0171129,0.174291,0.171979,0.10838,0.0797451,0.0578378
NGC4676A,0.0217937,0.136981,0.135164,0.0851794,0.0626742,0.0454566
NGC4711,0.0146089,0.184126,0.181683,0.114496,0.0842449,0.0611014
NGC4961,0.00848967,0.0939211,0.0926749,0.0584033,0.0429726,0.0311673
NGC5000,0.0192006,0.0738574,0.0728774,0.045927,0.0337927,0.0245093
NGC5016,0.00868447,0.109322,0.107871,0.0679799,0.050019,0.0362779
NGC5056,0.0192063,0.0957052,0.0944353,0.0595127,0.0437889,0.0317594
NGC5205,0.0070028,0.182318,0.179899,0.113371,0.0834176,0.0605014
NGC5218,0.00969337,0.172041,0.169758,0.106981,0.0787153,0.0570909
NGC5394,0.0109177,0.0856118,0.0844758,0.0532363,0.0391707,0.0284099
NGC5406,0.0188347,0.0972341,0.0959439,0.0604634,0.0444884,0.0322667
NGC5480,0.00710326,0.15287,0.150841,0.0950596,0.069944,0.0507292
NGC5485,0.00718092,0.126264,0.124589,0.0785153,0.0577708,0.0419002
NGC5520,0.0069935,0.149579,0.147595,0.0930136,0.0684385,0.0496373
NGC5614,0.0125035,0.129406,0.127689,0.0804688,0.0592082,0.0429427
NGC5633,0.00802095,0.136316,0.134507,0.0847658,0.0623699,0.0452358
NGC5657,0.0127868,0.152945,0.150915,0.0951061,0.0699782,0.050754
NGC5682,0.00794298,0.271415,0.267814,0.168775,0.124183,0.0900678
NGC5732,0.0119549,0.131176,0.129435,0.0815695,0.0600181,0.0435301
NGC5784,nan,nan,nan,nan,nan,nan
NGC5876,0.0106314,0.108261,0.106824,0.0673202,0.0495336,0.0359259
NGC5908,0.0108039,0.123981,0.122336,0.0770953,0.056726,0.0411424
NGC5930,0.0087459,0.19969,0.19704,0.124174,0.0913659,0.0662662
NGC5934,0.0191058,0.242602,0.239383,0.150858,0.111,0.0805063
NGC5947,0.0202513,0.26687,0.263329,0.165949,0.122104,0.0885598
NGC5953,0.00646575,0.404641,0.399271,0.251619,0.185139,0.134278
NGC5980,0.0131062,0.28654,0.282738,0.17818,0.131104,0.0950872
NGC6004,0.0123189,0.335411,0.330961,0.20857,0.153464,0.111305
NGC6021,0.0155563,0.32304,0.318754,0.200877,0.147804,0.107199
NGC6027,0.0139876,0.456394,0.450338,0.283801,0.208818,0.151452
NGC6060,0.0139559,0.651542,0.642897,0.405151,0.298106,0.216211
NGC6063,0.00902486,0.382112,0.377042,0.23761,0.174831,0.126802
NGC6081,0.0169772,0.362723,0.35791,0.225554,0.16596,0.120368
NGC6125,0.0167251,0.102216,0.100859,0.0635612,0.0467677,0.0339199
NGC6146,0.0298895,0.0693105,0.0683909,0.0430996,0.0317123,0.0230004
NGC6155,0.00810835,0.114658,0.113137,0.0712982,0.0524605,0.0380487
NGC6168,0.00855379,0.523608,0.51666,0.325597,0.239571,0.173757
NGC6186,0.0095673,0.387931,0.382784,0.241228,0.177494,0.128733
NGC6301,0.0284071,0.240113,0.236927,0.14931,0.109861,0.0796805
NGC6310,0.0111291,0.230427,0.227369,0.143287,0.105429,0.0764661
NGC6314,0.0224407,0.545414,0.538177,0.339156,0.249548,0.180993
NGC6361,0.0135793,0.222274,0.219325,0.138218,0.101699,0.0737607
NGC6394,0.0291064,0.262042,0.258565,0.162947,0.119895,0.0869576
NGC6478,0.023326,0.365279,0.360432,0.227143,0.167129,0.121216
NGC7738,0.0236161,0.22255,0.219597,0.138389,0.101826,0.0738524
NGC7819,0.0166276,0.469463,0.463234,0.291928,0.214798,0.155789
UGC00809,0.0138806,0.488272,0.481793,0.303624,0.223404,0.162031
UGC03253,0.0143559,0.555093,0.547728,0.345176,0.253977,0.184205
UGC03539,0.0117635,0.640745,0.632243,0.398437,0.293166,0.212628
UGC03969,0.0271151,0.426197,0.420542,0.265023,0.195002,0.141432
UGC03973,0.0225281,0.586969,0.579181,0.364997,0.268562,0.194783
UGC04029,0.0161658,0.450262,0.444288,0.279988,0.206013,0.149418
UGC04132,0.0179757,0.563986,0.556502,0.350705,0.258045,0.187156
UGC04280,0.0121991,0.350962,0.346305,0.21824,0.160579,0.116465
UGC04461,0.0171522,0.307234,0.303157,0.191048,0.140572,0.101954
UGC05108,0.0270158,0.142456,0.140566,0.088584,0.0651793,0.0472734
UGC05111,0.0229542,0.763992,0.753854,0.475076,0.349556,0.253527
UGC05244,0.0104686,0.467734,0.461527,0.290853,0.214007,0.155215
UGC05359,0.0279401,0.201172,0.198502,0.125095,0.0920439,0.0667579
UGC05498NED01,0.0208109,0.216955,0.214076,0.13491,0.0992655,0.0719956
UGC05598,0.0189595,0.221979,0.219033,0.138034,0.101564,0.0736627
UGC06312,0.0207311,0.347885,0.343269,0.216326,0.159171,0.115444
UGC07012,0.0100142,0.17902,0.176644,0.11132,0.0819086,0.0594069
UGC08107,0.0279878,0.176123,0.173786,0.109519,0.0805833,0.0584457
UGC08250,0.01818,0.124926,0.123268,0.0776829,0.0571583,0.041456
UGC08267,0.0244157,0.170191,0.167933,0.10583,0.077869,0.0564771
UGC09067,0.0259622,0.140354,0.138491,0.0872765,0.0642172,0.0465757
UGC09476,0.010502,0.149418,0.147436,0.0929132,0.0683647,0.0495838
UGC09537,0.0296126,0.174589,0.172272,0.108565,0.0798813,0.0579366
UGC09542,0.0189354,0.15094,0.148937,0.0938593,0.0690608,0.0500886
UGC09665,0.00864791,0.188891,0.186384,0.117459,0.0864249,0.0626825
UGC09759,0.0111335,0.0998149,0.0984905,0.0620682,0.0456692,0.0331231
UGC09873,0.019269,0.24219,0.238977,0.150602,0.110812,0.0803698
UGC09892,0.0193844,0.216073,0.213206,0.134361,0.0988619,0.0717029
