# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: W1, unit: mag, datatype: float64, description: 3.4 um Vega magnitude from
#     image photometry from table by Bitsakis. NGC0598 and NGC4676A are from w1mpro
#     in allWISE catalog}
# - {name: eW1, unit: mag, datatype: float64, description: Error in W1 in Vega magnitudes
#     from table by Bitsakis. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in
#     allWISE catalog}
# - {name: W2, unit: mag, datatype: float64, description: 4.6 um Vega magnitude from
#     Bitsakis}
# - {name: eW2, unit: mag, datatype: float64, description: Error in W2 in Vega magnitudes
#     from Bitsakis}
# - {name: W3, unit: mag, datatype: float64, description: 12 um Vega magnitude from
#     Bitsakis}
# - {name: eW3, unit: mag, datatype: float64, description: Error in W3 in Vega magnitudes
#     from Bitsakis}
# - {name: W4, unit: mag, datatype: float64, description: 22 um Vega magnitude from
#     Bitsakis}
# - {name: eW4, unit: mag, datatype: float64, description: Error in W4 in Vega magnitudes
#     from Bitsakis}
# - {name: W1lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W1 from caDistMpc and W1 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W2lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W2 from caDistMpc and W2 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W3lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W3 from caDistMpc and W3 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W4lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W4 from caDistMpc and W4 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W4SFR, unit: solMass / yr, datatype: float64, description: SFR from W4lum
#     using Catalan-Torrecilla+14 calibration}
# delimiter: ','
Name,W1,eW1,W2,eW2,W3,eW3,W4,eW4,W1lum,W2lum,W3lum,W4lum,W4SFR
ARP220,9.496,15.01,9.02,14.278,4.559,11.261,0.576,6.802,43.5025,43.2996,43.9673,44.6841,101.455
IC0480,10.32,15.423,10.048,14.789,6.228,12.088,4.462,8.744,43.0318,42.7474,43.1587,42.9886,2.04567
IC0540,10.335,15.43,10.375,14.946,7.827,12.801,6.503,9.736,42.3345,41.9253,41.8278,41.4809,0.0635549
IC0944,9.553,15.041,9.507,14.522,6.805,12.371,5.237,9.13,43.7028,43.3279,43.292,43.0428,2.31726
IC1151,10.189,15.357,10.155,14.839,6.792,12.352,5.002,9.01,42.4186,42.039,42.2675,42.107,0.26868
IC1199,10.177,15.343,10.097,14.805,7.04,12.487,5.225,9.125,43.1144,42.7532,42.8593,42.7088,1.0741
IC1683,10.18,15.354,10.038,14.787,6.509,12.235,4.027,8.528,43.1318,42.7954,43.0902,43.2066,3.37901
IC2247,9.724,15.125,9.592,14.559,6.437,12.175,4.648,8.833,43.2126,42.8722,43.0174,42.8566,1.50931
IC2487,10.123,15.324,10.045,14.785,6.854,12.363,5.227,9.119,43.0574,42.6954,42.8551,42.6294,0.894612
IC4566,10.016,15.273,10.01,14.774,7.367,12.661,5.697,9.362,43.3249,42.934,42.8745,42.6661,0.973355
IC5376,10.158,15.338,10.126,14.823,7.452,12.663,6.533,9.761,43.1794,42.799,42.7519,42.243,0.367447
NGC0444,11.444,15.983,11.521,15.521,8.4,13.158,6.668,9.842,42.6306,42.2066,42.3382,42.1546,0.299765
NGC0447,9.576,15.05,9.591,14.563,7.598,12.766,5.757,9.392,43.4899,43.0906,42.7711,42.6311,0.898003
NGC0477,10.262,15.395,10.218,14.875,6.88,12.418,5.233,9.13,43.2753,42.8997,43.1182,42.9005,1.6701
NGC0496,10.532,15.529,10.397,14.963,6.797,12.369,5.129,9.076,43.1879,42.8486,43.1719,42.9626,1.92692
NGC0523,9.44,14.98,9.338,14.431,6.094,12.02,3.976,8.501,43.4046,43.0522,43.2331,43.2038,3.35748
