# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: W1, unit: mag, datatype: float64, description: 3.4 um Vega magnitude from image photometry from table by Bitsakis. NGC0598
#     and NGC4676A are from w1mpro in allWISE catalog}
# - {name: eW1, unit: mag, datatype: float64, description: Error in W1 in Vega magnitudes from table by Bitsakis corrected by Rebecca
#     Levy for improper error propagation. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in allWISE catalog}
# - {name: W2, unit: mag, datatype: float64, description: 4.6 um Vega magnitude from Bitsakis}
# - {name: eW2, unit: mag, datatype: float64, description: Error in W2 in Vega magnitudes from table by Bitsakis corrected by Rebecca
#     Levy for improper error propagation. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in allWISE catalog}
# - {name: W3, unit: mag, datatype: float64, description: 12 um Vega magnitude from Bitsakis}
# - {name: eW3, unit: mag, datatype: float64, description: Error in W3 in Vega magnitudes from table by Bitsakis corrected by Rebecca
#     Levy for improper error propagation. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in allWISE catalog}
# - {name: W4, unit: mag, datatype: float64, description: 22 um Vega magnitude from Bitsakis}
# - {name: eW4, unit: mag, datatype: float64, description: Error in W4 in Vega magnitudes from table by Bitsakis corrected by Rebecca
#     Levy for improper error propagation. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in allWISE catalog}
# - {name: W1lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in W1 from caDistMpc and W1 magnitude using the zero
#     point, frequency, and bandwidth from Jarrett+11'}
# - {name: W2lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in W2 from caDistMpc and W2 magnitude using the zero
#     point, frequency, and bandwidth from Jarrett+11'}
# - {name: W3lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in W3 from caDistMpc and W3 magnitude using the zero
#     point, frequency, and bandwidth from Jarrett+11'}
# - {name: W4lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in W4 from caDistMpc and W4 magnitude using the zero
#     point, frequency, and bandwidth from Jarrett+11'}
# - {name: W4SFR, unit: solMass / yr, datatype: float64, description: SFR from W4lum using Catalan-Torrecilla+14 calibration}
# meta: !!omap
# - {date: '2021-06-28'}
# - {comments: WISE photometry from Bitsakis}
# schema: astropy-2.0
Name W1 eW1 W2 eW2 W3 eW3 W4 eW4 W1lum W2lum W3lum W4lum W4SFR
ARP220 9.496 0.006762765367925104 9.02 0.008560996509363487 4.559 0.002264249705731249 0.576 0.0035101390427629484 43.5025 43.2996 43.9673 44.6841 101.45519809
IC0480 10.32 0.009874709313920321 10.048 0.013782383176892687 6.228 0.004917272995486996 4.462 0.021034118679006904 43.0318 42.7474 43.1587 42.9886 2.04567356
IC0540 10.335 0.009947737576666948 10.375 0.016118488732178568 7.827 0.011120500141753278 6.503 0.05527443601021454 42.3345 41.9253 41.8278 41.4809 0.06355491
IC0944 9.553 0.006926667168606456 9.507 0.010708393455600311 6.805 0.006446504942518224 5.237 0.030097077041930514 43.7028 43.3279 43.292 43.0428 2.31726367
IC1151 10.189 0.009300885971468739 10.155 0.014525273546624093 6.792 0.006482228261622168 5.002 0.02707224801033963 42.4186 42.039 42.2675 42.107 0.26867969
IC1199 10.177 0.009318034626226022 10.097 0.014207717721558322 7.04 0.00719323617961397 5.225 0.029903658193982847 43.1144 42.7532 42.8593 42.7088 1.07409771
IC1683 10.18 0.009249629134452467 10.038 0.013681204040213677 6.509 0.00556319547346696 4.027 0.017191917561835267 43.1318 42.7954 43.0902 43.2066 3.37900943
IC2247 9.724 0.007504544202308847 9.592 0.011192428275497504 6.437 0.005502047304561795 4.648 0.022999813792918315 43.2126 42.8722 43.0174 42.8566 1.50931275
IC2487 10.123 0.0090224465924502 10.045 0.013795083068530787 6.854 0.0067939808745654355 5.227 0.03012481024395732 43.0574 42.6954 42.8551 42.6294 0.89461225
IC4566 10.016 0.00856888511081852 10.01 0.013493490883597574 7.367 0.008281792021389739 5.697 0.03712994620201349 43.3249 42.934 42.8745 42.6661 0.97335475
IC5376 10.158 0.009198654771960567 10.126 0.014352393071854465 7.452 0.008939728304888586 6.533 0.05552957121459431 43.1794 42.799 42.7519 42.243 0.36744708
NGC0444 11.444 0.016600620443331725 11.521 0.027272460409306542 8.4 0.013568265088373579 6.668 0.05836121436100753 42.6306 42.2066 42.3382 42.1546 0.29976475
NGC0447 9.576 0.007016561238732236 9.591 0.011141003738748654 7.598 0.009300885971468775 5.757 0.038170189844229034 43.4899 43.0906 42.7711 42.6311 0.8980027
NGC0477 10.262 0.00960559607072054 10.218 0.014891015647038588 6.88 0.006614915791857242 5.233 0.029986399313521844 43.2753 42.8997 43.1182 42.9005 1.67009907
