# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: MaNGA Name}
# - {name: mangaid, datatype: string}
# - {name: objra, unit: deg, datatype: float64}
# - {name: objdec, unit: deg, datatype: float64}
# - {name: seemed, unit: arcsec, datatype: float32}
# - {name: gfwhm, unit: arcsec, datatype: float32}
# - {name: rfwhm, unit: arcsec, datatype: float32}
# - {name: ifwhm, unit: arcsec, datatype: float32}
# - {name: zfwhm, unit: arcsec, datatype: float32}
# - {name: nsa_z, datatype: float32}
# - {name: nsa_sersic_ba, datatype: float32}
# - {name: nsa_sersic_phi, unit: deg, datatype: float32}
# - {name: nsa_sersic_n, datatype: float32}
# - {name: nsa_elpetro_ba, datatype: float32}
# - {name: nsa_elpetro_phi, unit: deg, datatype: float32}
# - {name: nsa_elpetro_th50_r, unit: arcsec, datatype: float32}
# - {name: nsa_inclination, unit: deg, datatype: float32, description: Inclination from nsa_elpetro_ba with q_min of 0.13}
# - {name: nsa_z_dMpc, unit: Mpc, datatype: float32}
# - {name: dl, unit: Mpc, datatype: float32}
# - {name: re_arc, unit: arcsec, datatype: float32}
# - {name: re_kpc, unit: kpc, datatype: float32}
# - {name: pa, unit: deg, datatype: float32}
# - {name: ellip, datatype: float32}
# - {name: log_mass, unit: dex(solMass), datatype: float32}
# - {name: e_log_mass, unit: dex(solMass), datatype: float32}
# - {name: log_sfr_ha, unit: dex(solMass / yr), datatype: float32}
# - {name: e_log_sfr_ha, unit: dex(solMass / yr), datatype: float32}
# - {name: log_sfr_ssp, unit: dex(solMass / yr), datatype: float32}
# - {name: e_log_sfr_ssp, unit: dex(solMass / yr), datatype: float32}
# - {name: log_nii_ha_cen, datatype: float32}
# - {name: e_log_nii_ha_cen, datatype: float32}
# - {name: log_oiii_hb_cen, datatype: float32}
# - {name: e_log_oiii_hb_cen, datatype: float32}
# - {name: log_sii_ha_cen, datatype: float32}
# - {name: e_log_sii_ha_cen, datatype: float32}
# - {name: log_oii_hb_cen, datatype: float32}
# - {name: e_log_oii_hb_cen, datatype: float32}
# - {name: ew_ha_cen, unit: Angstrom, datatype: float32}
# - {name: e_ew_ha_cen, unit: Angstrom, datatype: float32}
# - {name: age_lw_re_fit, unit: dex(yr), datatype: float32}
# - {name: e_age_lw_re_fit, unit: dex(yr), datatype: float32}
# - {name: age_mw_re_fit, unit: dex(yr), datatype: float32}
# - {name: e_age_mw_re_fit, unit: dex(yr), datatype: float32}
# - {name: vel_sigma_re, datatype: float32}
# - {name: e_vel_sigma_re, datatype: float32}
# - {name: sigma_cen, unit: km / s, datatype: float32}
# - {name: e_sigma_cen, unit: km / s, datatype: float32}
# - {name: sigma_cen_ha, unit: km / s, datatype: float32}
# - {name: e_sigma_cen_ha, unit: km / s, datatype: float32}
# - {name: av_gas_re, unit: mag, datatype: float32}
# - {name: e_av_gas_re, unit: mag, datatype: float32}
# - {name: av_ssp_re, unit: mag, datatype: float32}
# - {name: e_av_ssp_re, unit: mag, datatype: float32}
# - {name: oh_re_fit_n2, unit: dex, datatype: float32}
# - {name: e_oh_re_fit_n2, unit: dex, datatype: float32}
# - {name: alpha_oh_re_fit_n2, datatype: float32}
# - {name: e_alpha_oh_re_fit_n2, datatype: float32}
# - {name: oh_re_fit_o3n2, unit: dex, datatype: float32}
# - {name: e_oh_re_fit_o3n2, unit: dex, datatype: float32}
# - {name: alpha_oh_re_fit_o3n2, datatype: float32}
# - {name: e_alpha_oh_re_fit_o3n2, datatype: float32}
# delimiter: ','
# meta: !!omap
# - {date: '2026-01-10'}
# - {comments: Galaxy properties determined from DRP and Pipe3D for MaNGA DR15}
# schema: astropy-2.0
Name,mangaid,objra,objdec,seemed,gfwhm,rfwhm,ifwhm,zfwhm,nsa_z,nsa_sersic_ba,nsa_sersic_phi,nsa_sersic_n,nsa_elpetro_ba,nsa_elpetro_phi,nsa_elpetro_th50_r,nsa_inclination,nsa_z_dMpc,dl,re_arc,re_kpc,pa,ellip,log_mass,e_log_mass,log_sfr_ha,e_log_sfr_ha,log_sfr_ssp,e_log_sfr_ssp,log_nii_ha_cen,e_log_nii_ha_cen,log_oiii_hb_cen,e_log_oiii_hb_cen,log_sii_ha_cen,e_log_sii_ha_cen,log_oii_hb_cen,e_log_oii_hb_cen,ew_ha_cen,e_ew_ha_cen,age_lw_re_fit,e_age_lw_re_fit,age_mw_re_fit,e_age_mw_re_fit,vel_sigma_re,e_vel_sigma_re,sigma_cen,e_sigma_cen,sigma_cen_ha,e_sigma_cen_ha,av_gas_re,e_av_gas_re,av_ssp_re,e_av_ssp_re,oh_re_fit_n2,e_oh_re_fit_n2,alpha_oh_re_fit_n2,e_alpha_oh_re_fit_n2,oh_re_fit_o3n2,e_oh_re_fit_o3n2,alpha_oh_re_fit_o3n2,e_alpha_oh_re_fit_o3n2
10001-12701,1-48157,133.371090612,57.5984251446,1.85945,2.75028,2.68284,2.62355,2.56822,0.0392074,0.335333,68.2584,0.741845,0.417013,69.2463,5.16633,66.445366,169.56519,169.82077,5.16633,3.9365368,158.2584,0.9089005,9.993362,0.09378911,-0.11360164,0.06162829,0.321006,0.0030126863,-0.5920273,0.024525521,-0.06546027,0.027029455,-0.37301385,0.016863849,0.4405697,0.018996716,-22.32854,1.9747354,8.627869,0.030078521,9.638159,0.07926918,0.5406162,0.26550058,69.21875,8.31978,10.500083,7.8046036,0.67660224,0.06749492,0.44457963,0.05640487,8.388852,0.0055929385,-0.040406123,0.0047007366,8.389801,0.009199213,-0.015966777,0.0077317283
10001-12702,1-48188,133.685669869,57.4802503218,1.85945,2.77501,2.72296,2.70266,2.6757,0.0408108,0.508217,12.3759,1.44272,0.598115,12.5169,7.01311,53.92717,176.42015,178.72545,7.01311,5.606923,102.3759,0.80141026,10.108313,0.10324214,-0.6064556,0.06187228,0.1583787,0.0016176149,-0.37424225,0.07843737,-0.20949101,0.08137153,-0.23462422,0.05345769,0.24776301,0.09067717,-5.0860214,0.7978686,9.034336,0.032536954,9.87485,0.040210534,0.5377564,0.26743588,18.62006,4.315097,17.012447,7.894143,0.4127637,0.21548133,0.45788527,0.032583896,8.380596,0.022753915,-0.10320888,0.019124145,8.434221,0.013942637,-0.12731175,0.011718467
10001-12703,1-55648,136.017159969,57.0923291779,1.85945,2.77895,2.65364,2.60993,2.56878,0.0462094,0.205749,51.2808,2.18084,0.378034,51.5052,6.523,69.02156,199.48619,201.368,6.523,5.814337,141.2808,0.92579174,10.434694,0.08880935,0.12810893,0.05736009,0.31170297,0.0026528938,-0.45123264,0.031903833,-0.3878326,0.07879303,-0.5449597,0.04246682,0.1614594,0.049698576,-10.523584,2.3451831,9.147101,0.031193841,9.909937,0.05304722,0.44612184,0.14633887,72.497986,8.514575,34.553856,8.320949,0.90256387,0.115988836,0.58517617,0.06364762,8.475201,0.0053905267,-0.0747619,0.0045306147,8.4735985,0.0071946923,-0.14285433,0.006046974
10001-12704,1-55616,133.989966869,57.6779676669,1.85945,2.68491,2.65147,2.59265,2.55513,0.0141215,0.15,81.2193,0.869326,0.212315,81.0961,16.0734,80.25295,62.464756,59.79561,16.0734,4.5285263,171.2193,0.9772013,9.903014,0.09158334,-0.43461528,0.0590295,-0.20653714,0.001910061,-0.39191785,0.019423638,-0.52664495,0.1051946,-0.35726067,0.037767824,0.21209802,0.08136776,-13.094475,1.4497837,9.159187,0.034666553,9.807214,0.024421673,0.56189084,0.11442516,13.244317,3.6392744,24.660917,7.3957896,1.2290087,0.7665386,0.78240573,0.08438877,8.485187,0.005720054,0.018204724,0.004807574,8.507164,0.009773075,-0.0018959375,0.008214045
10001-12705,1-55784,136.75137451,57.4514369241,1.85945,2.80125,2.74501,2.72113,2.71424,0.0462349,0.471451,133.75,1.25046,0.541128,132.903,5.743,58.009666,199.61166,201.34271,5.743,5.1197195,223.75,0.84094024,10.4445305,0.10565246,0.4245807,0.06130856,0.6102845,0.00617338,-0.46572042,0.018636318,-0.69716996,0.10683888,-0.58425033,0.034637664,0.03471349,0.04500481,-20.325012,1.1558466,8.840877,0.03515284,9.717061,0.064616285,0.5459091,0.21414346,54.403347,7.3758626,38.65234,8.447976,0.7712135,0.09987777,0.43100688,0.044673506,8.468983,0.0066960216,-0.07807915,0.005627853,8.502985,0.0037914629,-0.14708573,0.0031866378
10001-1901,1-55567,133.330028009,57.0411553708,1.85945,2.7746,2.77277,2.74608,2.71559,0.0257497,0.333464,91.9556,0.715437,0.532468,92.5268,2.66277,58.615814,111.892395,107.75164,2.66277,1.3215904,181.9556,0.84645015,9.606731,0.11931646,-0.879493,0.060060296,-1.0012023,0.012435022,-0.30959764,0.030852554,-0.33952177,0.08575811,-0.31071725,0.026426071,0.20812245,0.04864348,-13.576018,1.7028984,9.515664,0.0416351,9.936324,0.035896517,0.4490766,0.20956577,106.11282,10.29896,0.0,0.0,1.5851473,0.14925893,0.77153766,0.06496897,8.578792,0.0039935624,0.029050032,0.0033564977,8.552795,0.014370632,0.006220268,0.012078187
10001-1902,1-48201,134.193923352,56.7867469988,1.85945,2.76681,2.73438,2.69003,2.65454,0.0253909,0.733502,149.901,4.9523,0.839959,153.782,3.54894,33.181572,110.32748,107.73195,3.54894,1.7617376,239.901,0.54264987,10.215464,0.081510596,-2.5663784,0.055638354,-1.7453079,0.0139260525,nan,nan,nan,nan,nan,nan,nan,nan,-0.06224139,0.09074363,9.876207,0.017137656,9.957528,0.014068471,0.16592386,0.05156863,124.98804,11.179805,0.0,0.0,nan,nan,0.056401525,0.028539272,nan,nan,nan,nan,nan,nan,nan,nan
10001-3701,1-48111,132.465646765,57.1437279024,1.85945,2.82968,2.70226,2.64291,2.6159,0.0394191,0.671381,149.576,5.9563,0.907966,177.501,1.64323,25.000753,170.453,169.86075,1.64323,1.2517809,239.576,0.41904384,10.020259,0.09224042,-2.6803498,0.061348602,-1.7944951,0.016519034,nan,nan,nan,nan,nan,nan,nan,nan,-0.10120196,0.08930751,9.823703,0.043338753,9.932281,0.03987273,0.15116791,0.17910892,78.87022,8.880891,0.0,0.0,nan,nan,0.07503347,0.045110203,nan,nan,nan,nan,nan,nan,nan,nan
10001-3702,1-48136,132.912768243,57.1074235568,1.85945,2.84264,2.75292,2.7189,2.69864,0.0256063,0.896258,129.743,6.0,0.948903,138.512,4.25309,18.558252,111.2881,107.74422,4.25309,2.111046,219.743,0.31556788,10.110972,0.0795737,-0.11335205,0.059342235,-0.2288504,0.0018010605,-0.35398918,0.015327674,-0.60689044,0.011508808,-0.48009676,0.014079902,0.03608159,0.026754564,-43.809727,3.7535336,9.335608,0.060558286,9.8729925,0.023256559,0.2053234,0.16807781,38.22994,6.1830215,10.655424,7.806328,0.4782954,0.121048376,0.305365,0.034077585,8.5717945,0.008003083,0.041177023,0.010413612,8.562259,0.012651038,-0.09908008,0.016461533
10001-3703,1-55612,134.591498946,57.6849653262,1.85945,2.78692,2.76562,2.71466,2.67421,0.0405528,0.378285,169.537,1.86687,0.610528,169.053,2.63385,53.013092,175.31778,174.3599,2.63385,2.0553117,259.537,0.7919947,9.989705,0.08623526,-0.21582314,0.058467265,0.11349199,0.0009797097,-0.34803545,0.029582601,0.105042234,0.046615776,-0.36194614,0.026065359,0.30869249,0.037321284,-22.855015,1.1882956,9.058441,0.036951907,9.897748,0.028987968,0.57773775,0.31363413,57.776737,7.6009564,46.743896,8.721189,0.9045205,0.05568355,0.6705407,0.05620511,8.494835,0.007835835,-0.078685336,0.0065858397,8.42756,0.0032643073,-0.04454191,0.0027435755
