# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coRactr_natv, unit: deg, datatype: float64, format: .4f, description: Reference R.A. of natv CARMA cube}
# - {name: coDectr_natv, unit: deg, datatype: float64, format: .4f, description: Reference Dec. of natv CARMA cube}
# - {name: coCtrint_natv, unit: K km / s, datatype: float64, format: .3f, description: Unmasked CO intensity at reference pixel}
# - {name: coDvhel, unit: km / s, datatype: float64, format: .3f, description: Add this to go from LSR to Barycentric frame}
# - {name: coBmaj_natv, unit: arcsec, datatype: float64, format: .3f, description: Beam major axis of natv co cube}
# - {name: coBmin_natv, unit: arcsec, datatype: float64, format: .3f, description: Beam minor axis of natv co cube}
# - {name: coBpa_natv, unit: deg, datatype: float64, format: .3f, description: Beam pos ang (deg E of N) of natv co cube}
# - {name: coNomask_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from unmasked natv cube}
# - {name: coeNomask_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from unmasked natv cube}
# - {name: coNomaskDv_natv, unit: km / s, datatype: float64, format: .3f, description: co velocity width for unmasked natv cube}
# - {name: coDilated_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from dilated-masked natv cube}
# - {name: coeDilated_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from dilated-masked natv
#     cube}
# - {name: coSmooth_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from smoothed-masked natv cube}
# - {name: coeSmooth_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from smoothed-masked natv
#     cube}
# - {name: coSmoothDv_natv, unit: km / s, datatype: float64, format: .3f, description: co velocity width for smooth-masked natv cube}
# - {name: coMask2d_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from 2D masked natv cube}
# - {name: coeMask2d_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from 2D masked natv cube}
# - {name: coSNRmax_natv, datatype: float64, format: .3f, description: Maximum SNR of co in natv cube}
# - {name: coSNR4pix_natv, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 4 sigma}
# - {name: coSNR5pix_natv, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 5 sigma}
# - {name: cottBmaj_natv, unit: arcsec, datatype: float64, format: .3f, description: Beam major axis of natv 13co cube}
# - {name: cottBmin_natv, unit: arcsec, datatype: float64, format: .3f, description: Beam minor axis of natv 13co cube}
# - {name: cottBpa_natv, unit: deg, datatype: float64, format: .3f, description: Beam pos ang (deg E of N) of natv 13co cube}
# - {name: cottNomask_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from unmasked natv cube}
# - {name: cotteNomask_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from unmasked natv cube}
# - {name: cottNomaskDv_natv, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for unmasked natv cube}
# - {name: cottDilated_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from dilated-masked natv cube}
# - {name: cotteDilated_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from dilated-masked
#     natv cube}
# - {name: cottSmooth_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from smoothed-masked natv cube}
# - {name: cotteSmooth_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from smoothed-masked
#     natv cube}
# - {name: cottSmoothDv_natv, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for smooth-masked natv cube}
# - {name: cottMask2d_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from 2D masked natv cube}
# - {name: cotteMask2d_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from 2D masked natv cube}
# - {name: cottSNRmax_natv, datatype: float64, format: .3f, description: Maximum SNR of 13co in natv cube}
# - {name: cottSNR4pix_natv, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 4 sigma}
# - {name: cottSNR5pix_natv, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 5 sigma}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-09'}
# schema: astropy-2.0
Name,coRactr_natv,coDectr_natv,coCtrint_natv,coDvhel,coBmaj_natv,coBmin_natv,coBpa_natv,coNomask_natv,coeNomask_natv,coNomaskDv_natv,coDilated_natv,coeDilated_natv,coSmooth_natv,coeSmooth_natv,coSmoothDv_natv,coMask2d_natv,coeMask2d_natv,coSNRmax_natv,coSNR4pix_natv,coSNR5pix_natv,cottBmaj_natv,cottBmin_natv,cottBpa_natv,cottNomask_natv,cotteNomask_natv,cottNomaskDv_natv,cottDilated_natv,cotteDilated_natv,cottSmooth_natv,cotteSmooth_natv,cottSmoothDv_natv,cottMask2d_natv,cotteMask2d_natv,cottSNRmax_natv,cottSNR4pix_natv,cottSNR5pix_natv
ARP220,233.7383,23.5037,818.519,-16.613,4.480,3.870,71.800,350.730,32.760,1600.000,458.050,2.780,465.400,4.650,900.000,459.270,10.160,104.751,254.000,157.000,4.580,3.920,82.000,-9.000,19.250,1600.000,16.740,0.780,23.340,1.520,780.000,16.040,3.860,6.298,43.000,8.000
IC0480,118.8467,26.7411,46.882,9.209,4.880,3.930,42.800,37.160,32.560,860.000,79.490,2.070,82.230,3.760,420.000,75.490,8.780,18.732,235.000,184.000,4.940,4.060,46.000,-9.040,16.160,860.000,3.490,0.420,4.730,0.760,220.000,5.510,2.160,5.470,48.000,3.000
IC0540,142.5429,7.9028,40.340,9.316,6.220,3.630,31.000,-19.500,42.370,860.000,19.930,1.600,27.900,3.260,280.000,40.290,9.010,6.571,51.000,14.000,6.360,3.790,30.900,11.390,18.470,860.000,nan,nan,nan,nan,nan,nan,nan,4.877,21.000,0.000
IC0944,207.8787,14.0922,81.170,-10.014,5.390,4.170,32.600,-22.990,27.400,860.000,85.590,2.640,103.960,4.850,680.000,68.510,10.840,8.541,290.000,115.000,5.500,4.410,33.800,-7.570,15.960,860.000,nan,nan,nan,nan,nan,nan,nan,4.250,13.000,0.000
IC1151,239.6346,17.4414,1.033,-17.096,5.320,3.780,50.300,-33.280,46.850,860.000,nan,nan,nan,nan,nan,nan,nan,5.015,22.000,1.000,5.350,3.920,52.300,0.670,20.670,860.000,nan,nan,nan,nan,nan,nan,nan,4.559,21.000,0.000
IC1199,242.6429,10.0404,38.403,-16.748,4.920,4.300,43.700,-6.890,30.010,860.000,44.910,2.080,50.510,3.660,480.000,25.590,9.240,7.150,185.000,78.000,4.890,4.440,54.200,-1.900,14.330,860.000,nan,nan,nan,nan,nan,nan,nan,4.407,20.000,0.000
IC1683,20.6621,34.4371,171.507,-0.830,4.960,3.790,72.400,74.800,28.630,860.000,90.840,2.060,100.500,3.500,520.000,85.410,6.980,21.244,215.000,135.000,4.980,3.910,78.500,6.310,15.370,860.000,2.440,0.360,nan,nan,nan,nan,nan,5.430,51.000,3.000
IC2247,123.9963,23.1996,57.742,9.443,4.790,3.850,39.400,17.560,25.640,860.000,68.320,1.950,80.900,3.650,500.000,72.580,8.700,12.254,253.000,191.000,4.840,3.940,47.000,3.980,11.990,860.000,nan,nan,nan,nan,nan,nan,nan,5.007,16.000,1.000
IC2487,142.5383,20.0908,23.822,6.711,6.170,3.900,33.000,27.240,31.260,860.000,47.150,2.110,59.050,3.830,480.000,34.010,9.830,8.509,189.000,76.000,6.360,4.070,32.200,3.310,15.780,860.000,nan,nan,nan,nan,nan,nan,nan,4.784,13.000,0.000
IC4566,234.1758,43.5393,5.465,-16.910,6.010,3.890,69.200,-5.660,27.930,860.000,48.490,2.180,59.580,3.950,460.000,39.490,9.690,7.543,218.000,70.000,6.200,4.000,69.000,6.900,17.360,860.000,nan,nan,nan,nan,nan,nan,nan,4.586,17.000,0.000
IC5376,0.3325,34.5257,8.641,-5.819,4.610,4.070,35.700,-21.100,30.720,860.000,nan,nan,35.780,3.270,560.000,25.170,8.690,4.540,19.000,0.000,4.630,4.220,44.900,-0.710,16.900,860.000,nan,nan,nan,nan,nan,nan,nan,4.933,25.000,0.000
NGC0444,18.9567,31.0806,7.160,-0.573,5.030,4.100,29.500,8.240,36.450,860.000,nan,nan,nan,nan,nan,nan,nan,4.551,19.000,0.000,5.080,4.240,31.100,-1.240,18.610,860.000,nan,nan,nan,nan,nan,nan,nan,4.430,18.000,0.000
NGC0447,18.9067,33.0678,53.983,-0.976,4.520,3.670,54.900,25.120,24.920,860.000,30.380,1.170,37.580,2.970,320.000,32.550,8.180,14.110,136.000,78.000,4.560,3.840,58.000,-0.090,15.390,860.000,nan,nan,nan,nan,nan,nan,nan,4.618,24.000,0.000
NGC0477,20.3354,40.4881,12.976,-2.109,5.110,3.930,59.000,15.060,31.100,860.000,19.550,1.450,52.410,4.400,400.000,20.150,12.250,6.903,93.000,14.000,5.160,4.050,61.900,-11.650,19.990,860.000,nan,nan,nan,nan,nan,nan,nan,4.478,14.000,0.000
NGC0496,20.7983,33.5293,29.551,-0.615,4.900,3.760,51.400,26.770,27.520,860.000,43.490,1.750,42.430,3.000,320.000,34.000,8.240,9.358,276.000,142.000,4.940,3.900,53.800,4.450,18.760,860.000,nan,nan,nan,nan,nan,nan,nan,5.000,28.000,0.000
NGC0523,21.3362,34.0249,44.135,-0.588,4.640,3.770,54.200,41.940,32.270,860.000,101.920,2.720,105.640,4.780,560.000,61.490,11.290,13.082,311.000,195.000,4.660,3.920,60.000,-5.720,16.620,860.000,nan,nan,nan,nan,nan,nan,nan,5.756,24.000,4.000
