Name,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
ARP220,5340.9,4,7,4.48,3.87,7.9,41.8,3472,83.03,4.68E+04,02/14/16 05:15:10 CST
IC0480,4492.9,3.98,7,4.88,3.93,11.2,53.6,810,15.11,8.87E+03,02/15/16 16:09:31 CST
IC0540,2056.6,3.33,7,6.22,3.64,16.2,65.9,375,5.69,3.94E+03,02/12/16 17:08:14 CST
IC0944,6843,4.09,7,5.39,4.17,10.1,41.6,317,7.64,7.99E+03,02/12/16 17:25:13 CST
IC1151,2159.9,2.65,7,5.32,3.78,16.9,77.2,382,4.94,1.28E+03,02/12/16 17:40:21 CST
IC1199,4663,3.97,7,4.92,4.3,10.9,47.3,351,7.43,3.50E+03,02/12/16 17:55:31 CST
IC1683,4774.9,4.34,7,4.96,3.79,9.8,48,785,16.35,9.35E+03,02/12/16 18:13:26 CST
IC2247,4261.7,4.01,7,4.79,3.85,8.7,43.3,438,10.12,7.24E+03,02/12/16 18:31:08 CST
IC2487,4292.1,3.99,7,6.17,3.9,11.9,45.6,311,6.84,7.35E+03,02/12/16 18:47:00 CST
IC4566,5479.5,4.01,7,6.01,3.89,10.5,41.3,256,6.19,3.58E+03,02/12/16 19:02:27 CST
IC5376,4951,4.08,7,4.61,4.07,10.4,51.1,232,4.54,1.10E+03,02/12/16 19:16:54 CST
NGC0444,4762.1,3.14,7,5.03,4.1,12.9,57.5,265,4.61,6.02E+02,02/12/16 19:32:20 CST
NGC0447,5489.6,5.09,13,4.52,3.67,8.2,45.4,556,12.24,3.65E+03,02/12/16 19:55:04 CST
NGC0477,5751.4,4.33,7,5.11,3.93,11,50.5,325,6.44,1.83E+03,02/12/16 20:17:28 CST
NGC0496,5893.8,3.99,7,4.9,3.76,9.3,46.5,362,7.78,4.92E+03,02/12/16 20:33:39 CST
NGC0523,4683,4.3,7,4.63,3.77,11.1,58.5,640,10.93,9.20E+03,02/12/16 20:50:59 CST
NGC0528,4745.5,3.99,7,4.92,3.98,10.4,49.1,247,5.02,1.02E+03,02/12/16 21:07:33 CST
NGC0551,5113.3,3.94,7,4.8,3.79,9.1,46.1,329,7.12,2.51E+03,02/12/16 21:23:38 CST
NGC1167,4851.2,4.29,7,4.8,3.64,10,52.8,281,5.32,2.34E+03,02/12/16 21:39:20 CST
NGC2253,3542,3.99,7,5.65,4.15,11.7,45.8,671,14.65,1.96E+04,02/12/16 21:57:48 CST
NGC2347,4388.8,4.6,7,4.85,4.79,10.2,40.3,457,11.35,7.47E+03,02/12/16 22:14:45 CST
NGC2410,4602.2,7.35,13,4.92,4.06,11.8,54.5,344,6.3,9.01E+03,02/12/16 22:37:42 CST
NGC2480,2320.8,4.66,7,5.16,4.03,12.8,56.8,388,6.83,1.57E+03,02/12/16 23:02:51 CST
NGC2486,4569.7,1.3,7,4.6,3.89,17.2,88.6,451,5.09,1.36E+03,02/12/16 23:19:01 CST
NGC2487,4758.9,4.62,7,4.92,3.92,12.7,60.8,481,7.91,3.30E+03,02/12/16 23:34:50 CST
NGC2623,5437.6,6.23,14,5.18,3.84,6.6,30.6,1148,37.58,1.34E+04,02/13/16 00:08:46 CST
NGC2639,3150,4.01,7,5.37,4.03,12.3,52.3,647,12.37,8.32E+03,02/13/16 00:31:37 CST
NGC2730,3795.1,4.31,7,5.55,4.06,11.8,48.4,271,5.61,1.52E+03,02/13/16 00:46:25 CST
NGC2880,1530.1,5.6,7,4.6,4.43,14.1,63.5,261,4.11,6.37E+02,02/13/16 01:01:15 CST
NGC2906,2124.8,3.98,7,6.37,4.13,14.3,50.1,437,8.71,9.37E+03,02/13/16 01:19:33 CST
NGC2916,3683.6,4.35,7,4.76,3.69,11.2,58.7,355,6.05,3.79E+03,02/13/16 01:35:08 CST
NGC2918,6615.2,3.33,7,5.21,4.3,12.4,51.2,257,5.02,1.26E+03,02/13/16 01:49:32 CST
NGC3303,6150,3.33,7,5.33,3.94,11,48.2,251,5.21,1.88E+03,02/13/16 02:06:23 CST
NGC3381,1614.9,4,7,4.99,3.83,14.6,70.1,465,6.63,2.26E+03,02/13/16 02:22:34 CST
NGC3687,2480.2,4.18,7,5.04,4.19,15.5,67.6,327,4.83,1.14E+03,02/13/16 02:38:34 CST
NGC3811,3040.8,4.65,7,5.11,3.93,11.6,53.3,849,15.94,1.03E+04,02/13/16 02:56:48 CST
NGC3815,3667.7,4.07,7,4.7,4.1,11.4,54.4,433,7.96,5.28E+03,02/13/16 03:13:47 CST
NGC3994,3057.6,4.32,7,5.45,4.02,12.5,52.4,698,13.32,6.95E+03,02/13/16 03:30:42 CST
NGC4047,3402.4,4,7,5.2,3.81,12.7,58.9,1089,18.49,2.16E+04,02/13/16 03:47:54 CST
NGC4149,3048.1,3.97,7,5.18,3.73,11.3,54,723,13.39,8.94E+03,02/13/16 04:05:20 CST
NGC4185,3834.2,4.64,7,4.69,3.79,12.8,66.3,408,6.16,1.27E+03,02/13/16 04:21:14 CST
NGC4210,2693.2,18.77,11,3.33,2.94,7.3,68.9,465,6.75,3.50E+03,02/13/16 04:40:01 CST
NGC4211NED02,6542.7,3.94,7,5.07,4.18,12.4,54.1,390,7.22,2.22E+03,02/13/16 04:59:29 CST
NGC4470,2339.6,5.44,7,4.95,4.65,14.5,58,515,8.88,3.86E+03,02/13/16 05:14:17 CST
NGC4644,4852.9,4.62,7,5.02,4.21,9.1,39.4,280,7.1,2.42E+03,02/13/16 05:30:53 CST
NGC4676A,6504.1,3.96,7,5.33,4.4,12.2,48.1,684,14.23,9.00E+03,02/13/16 05:47:44 CST
NGC4711,4020.1,3.98,7,5.03,4.25,12.5,54,387,7.17,4.55E+03,02/13/16 06:02:31 CST
NGC4961,2541.1,4.07,7,4.77,4.06,12.8,60.9,372,6.11,2.08E+03,02/13/16 06:17:57 CST
NGC5000,5493,4,7,4.64,3.7,9.1,48.7,827,16.98,4.91E+03,02/13/16 06:35:50 CST
NGC5016,2591.7,4.62,7,5.33,4.08,12.8,54.1,428,7.91,6.45E+03,02/13/16 06:51:53 CST
