Name,Dname,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
NGC5394,NGC5394,3370.3,0.66,7,8.75,7.08,22.1,32.9,1407,42.72,1.76E+04,07/22/15 01:38:36 CDT
ARP220,ARP220,5340.9,0.66,7,12.39,6.06,18.6,22.8,971,42.65,4.65E+04,07/22/15 13:25:16 CDT
NGC5218,NGC5218,2868.8,0.56,7,8.05,6.14,24.2,45.1,1624,35.97,3.69E+04,07/22/15 01:31:02 CDT
NGC5953,NGC5953,1965.7,0.62,7,9.24,6.12,21.9,35.7,1087,30.45,2.93E+04,07/23/15 16:54:54 CDT
NGC6361,NGC6361,3777.3,0.66,7,8.46,7.11,20.5,31.4,572,18.22,3.85E+04,07/22/15 05:57:31 CDT
NGC5930,NGC5930,2600.5,0.83,7,7.38,6.66,18.8,35.1,609,17.34,1.34E+04,07/22/15 03:17:18 CDT
NGC2623,NGC2623,5437.6,0.67,7,13.49,6.48,18.8,19.8,343,17.28,1.19E+04,07/21/15 21:36:04 CDT
NGC4047,NGC4047,3402.4,0.66,7,9.46,6.65,21.8,31.9,548,17.14,2.04E+04,07/21/15 23:45:38 CDT
NGC5614,NGC5614,3838.5,0.67,7,11.07,6.63,22.7,28.5,469,16.45,2.32E+04,07/22/15 02:01:48 CDT
NGC5908,NGC5908,3283,0.65,7,7.13,6.48,16.9,33.8,530,15.69,3.82E+04,07/22/15 03:08:55 CDT
NGC2347,NGC2347,4388.8,1.28,7,8.88,6.48,12.9,20.7,270,13.04,6.61E+03,07/21/15 20:44:55 CDT
UGC10384,UGC10384,4869,0.69,7,7.22,6.51,16.8,32.9,387,11.77,7.51E+03,07/22/15 12:33:18 CDT
NGC6186,NGC6186,2917.4,0.67,7,11.98,6.97,27.9,30.8,362,11.75,1.65E+04,07/22/15 05:24:11 CDT
NGC5980,NGC5980,4030.9,0.66,7,9.13,6.37,18.3,28.9,335,11.58,1.08E+04,07/22/15 03:46:41 CDT
UGC04132,UGC04132,5119.4,0.66,7,9.65,6.61,21.1,30.5,350,11.47,1.88E+04,07/22/15 07:55:58 CDT
NGC3994,NGC3994,3057.6,0.67,7,7.88,6.81,18,30.9,350,11.33,8.16E+03,07/21/15 23:32:38 CDT
NGC5633,NGC5633,2307.6,0.66,7,6.66,6.43,19.8,42.5,460,10.83,1.34E+04,07/22/15 02:21:26 CDT
UGC05111,UGC05111,6595.5,1.29,7,8.81,6.4,12.7,20.8,218,10.5,8.01E+03,07/22/15 08:22:22 CDT
NGC5480,NGC5480,1880.6,0.66,7,7.56,6.87,24.3,43.1,443,10.3,1.56E+04,07/22/15 01:52:20 CDT
IC1683,IC1683,4774.9,1.01,7,11.35,6.74,22.8,27.5,277,10.1,9.43E+03,07/21/15 19:04:31 CDT
NGC6478,NGC6478,6645.4,0.67,7,9.19,7.45,19.3,26,261,10.06,1.28E+04,07/22/15 06:10:56 CDT
NGC5000,NGC5000,5493,0.68,7,7.97,6.33,19.3,35.3,346,9.81,3.75E+03,07/22/15 01:02:52 CDT
UGC10123,UGC10123,3720,0.66,7,8.27,6.89,22.7,36.6,340,9.28,8.05E+03,07/22/15 11:48:26 CDT
NGC4149,NGC4149,3048.1,0.67,7,7.81,6.18,20.7,39.4,363,9.21,4.61E+03,07/21/15 23:52:53 CDT
NGC2639,NGC2639,3150,0.66,7,9.98,7.23,21,26.8,239,8.93,6.99E+03,07/21/15 21:42:41 CDT
UGC04029,UGC04029,4383,0.67,7,8.37,6.02,19.3,35.4,312,8.82,5.41E+03,07/22/15 07:41:42 CDT
NGC5934,NGC5934,5520,0.67,7,7.06,6.92,17.3,32.6,287,8.81,7.96E+03,07/22/15 03:25:04 CDT
NGC2253,NGC2253,3542,0.66,7,11.14,6.64,25.1,31.3,273,8.73,1.57E+04,07/21/15 20:37:46 CDT
UGC03539,UGC03539,3270.9,0.7,7,8.82,7.85,21.6,28.7,247,8.62,5.58E+03,07/22/15 07:02:54 CDT
IC0480,IC0480,4492.9,0.66,7,7.87,6.44,25.2,45.8,382,8.35,6.20E+03,07/21/15 18:25:14 CDT
NGC0523,NGC0523,4683,0.66,7,7.59,6.45,22.5,42.2,345,8.18,8.12E+03,07/21/15 20:04:52 CDT
NGC3811,NGC3811,3040.8,0.66,7,9.11,6.5,21,32.7,265,8.11,6.87E+03,07/21/15 23:18:30 CDT
UGC10043,UGC10043,2153.2,0.34,7,7.89,6.37,31.7,58,459,7.91,4.90E+03,07/22/15 11:35:14 CDT
NGC2906,NGC2906,2124.8,0.66,7,7.53,7.08,23.7,41,319,7.77,8.76E+03,07/21/15 22:08:17 CDT
NGC5784,NGC5784,5400,0.66,7,8.72,6.33,19.7,32.8,254,7.73,1.15E+03,07/22/15 02:46:51 CDT
NGC5016,NGC5016,2591.7,0.66,7,8.57,6.53,21.2,35,266,7.61,4.95E+03,07/22/15 01:09:27 CDT
NGC6155,NGC6155,2400.2,0.7,7,7.42,6.61,22.1,41.6,310,7.45,8.37E+03,07/22/15 05:10:22 CDT
UGC09759,UGC09759,3408.4,0.66,7,8.02,6.06,20.2,38.4,283,7.37,9.95E+02,07/22/15 11:08:16 CDT
NGC0447,NGC0447,5489.6,0.67,7,7.08,6.33,19.1,39.2,289,7.36,1.17E+03,07/21/15 19:44:33 CDT
NGC5520,NGC5520,1865.3,0.61,1,6.46,5.72,20.6,51.2,372,7.27,4.21E+03,07/22/15 01:56:56 CDT
UGC09665,UGC09665,2535.6,0.66,7,6.98,6.74,21.7,42.6,307,7.21,3.74E+03,07/22/15 11:01:33 CDT
NGC6301,NGC6301,8148.2,0.66,7,7.32,6.89,15.6,28.5,204,7.17,2.75E+03,07/22/15 05:36:37 CDT
IC0944,IC0944,6843,0.76,7,13.5,6.45,19.1,20.3,141,6.98,5.85E+03,07/21/15 18:38:30 CDT
IC2247,IC2247,4261.7,0.67,7,10.08,6.69,23.2,31.7,220,6.95,7.61E+03,07/21/15 19:11:25 CDT
NGC4676A,NGC4676A,6504.1,0.78,7,11.2,6.92,29.5,35.1,241,6.89,3.00E+03,07/22/15 00:30:51 CDT
UGC03969,UGC03969,7910,0.68,7,9.08,6.28,14.1,22.7,156,6.87,3.69E+03,07/22/15 07:21:56 CDT
NGC0496,NGC0496,5893.8,0.66,7,8.72,7.03,21.2,31.8,218,6.86,5.15E+03,07/21/15 19:58:02 CDT
UGC09067,UGC09067,7645.8,0.68,7,11.2,6.74,18.8,23,156,6.77,2.28E+03,07/22/15 10:24:12 CDT
UGC08107,UGC08107,8076.9,0.66,7,8.36,7.32,16.7,25.2,170,6.76,5.62E+03,07/22/15 09:38:36 CDT
NGC2410,NGC2410,4602.2,0.67,7,8.8,6.7,21.8,34,226,6.65,6.44E+03,07/21/15 20:50:59 CDT
NGC2916,NGC2916,3683.6,0.34,7,7.16,6.63,24.3,47.1,308,6.53,2.58E+03,07/21/15 22:14:50 CDT
NGC4470,NGC4470,2339.6,0.91,7,11.46,5.83,27.1,37.3,238,6.38,3.59E+03,07/22/15 00:18:17 CDT
NGC5657,NGC5657,3870.7,0.66,7,10.44,6.5,25.8,35,220,6.3,2.79E+03,07/22/15 02:27:39 CDT
NGC6168,NGC6168,2555.2,0.7,7,10.8,6.4,24.2,32.2,201,6.25,3.57E+03,07/22/15 05:16:47 CDT
UGC03253,UGC03253,4070.9,1.31,7,11.53,5.89,16.9,23,141,6.14,1.29E+03,07/22/15 06:55:51 CDT
NGC6004,NGC6004,3785,0.52,7,9.27,6.42,22.4,34.7,208,5.99,5.80E+03,07/22/15 03:59:42 CDT
NGC0551,NGC0551,5113.3,0.66,7,6.92,6.44,17.7,36.5,216,5.92,1.20E+03,07/21/15 20:17:52 CDT
IC4566,IC4566,5479.5,0.66,7,8.37,6.22,19,33.6,197,5.85,2.25E+03,07/21/15 19:24:33 CDT
UGC08267,UGC08267,7078.6,0.76,7,8.77,6.8,19.9,30.7,179,5.82,2.05E+03,07/22/15 10:03:53 CDT
NGC4676B,,6389.2,0.66,7,8.72,6.19,19.7,33.7,195,5.8,3.07E+03,07/22/15 00:36:53 CDT
NGC2730,NGC2730,3795.1,0.78,7,9.4,7.34,20.3,27.1,155,5.71,1.66E+03,07/21/15 21:49:12 CDT
NGC4210,NGC4210,2693.2,0.65,7,8.85,7.24,23.1,33.2,188,5.66,3.52E+03,07/22/15 00:05:43 CDT
NGC3815,NGC3815,3667.7,0.76,7,10.32,6.23,20.7,29.7,168,5.66,3.95E+03,07/21/15 23:25:16 CDT
NGC4711,NGC4711,4020.1,0.66,7,7.85,6.43,20.3,37,209,5.64,2.37E+03,07/22/15 00:42:53 CDT
NGC2487,NGC2487,4758.9,0.66,7,7.54,6.71,25.5,46.4,257,5.55,1.07E+03,07/21/15 21:22:03 CDT
NGC4961,NGC4961,2541.1,0.64,7,9.3,7.12,25.1,34.9,191,5.49,7.16E+02,07/22/15 00:55:49 CDT
NGC7819,NGC7819,4917.6,0.69,7,8.42,6.29,21.4,37.2,203,5.46,3.17E+03,07/22/15 06:29:51 CDT
UGC09873,UGC09873,5528.4,0.67,7,11.96,6.26,21.8,26.9,145,5.4,2.68E+03,07/22/15 11:15:05 CDT
NGC5732,NGC5732,3722.2,0.67,7,11.34,6.49,23.2,29,155,5.32,1.54E+03,07/22/15 02:40:24 CDT
NGC6060,NGC6060,4449.1,0.33,7,8.82,6.35,32.9,54,281,5.21,7.77E+03,07/22/15 04:25:23 CDT
NGC2480,NGC2480,2320.8,0.66,7,7.13,6.54,19,37.4,194,5.18,1.08E+03,07/21/15 21:03:27 CDT
NGC4644,NGC4644,4852.9,1.29,7,7.33,6.26,11.5,23,119,5.15,6.49E+02,07/22/15 00:24:29 CDT
UGC09476,UGC09476,3236.1,0.66,7,11.12,6.97,23.3,27.7,141,5.08,3.70E+03,07/22/15 10:30:34 CDT
NGC4211NED02,NGC4211NED02,6542.7,0.65,7,8.99,6.31,21.2,34.4,174,5.06,2.00E+02,07/22/15 00:11:50 CDT
IC2487,IC2487,4292.1,0.66,7,11.36,7.84,26.7,27.6,139,5.05,6.99E+03,07/21/15 19:18:10 CDT
UGC05359,UGC05359,8249.5,0.67,7,8.53,6.54,13.1,21.6,109,5.05,3.66E+02,07/22/15 08:34:48 CDT
