# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coRactr_e20, unit: deg, datatype: float64, format: .4f, description: Reference R.A. of e20 CARMA cube}
# - {name: coDectr_e20, unit: deg, datatype: float64, format: .4f, description: Reference Dec. of e20 CARMA cube}
# - {name: coCtrint_e20, unit: K km / s, datatype: float64, format: .3f, description: Unmasked CO intensity at reference pixel}
# - {name: coDvhel, unit: km / s, datatype: float64, format: .3f, description: Add this to go from LSR to Barycentric frame}
# - {name: coBmaj_e20, unit: arcsec, datatype: float64, format: .3f, description: Beam major axis of e20 co cube}
# - {name: coBmin_e20, unit: arcsec, datatype: float64, format: .3f, description: Beam minor axis of e20 co cube}
# - {name: coBpa_e20, unit: deg, datatype: float64, format: .3f, description: Beam pos ang (deg E of N) of e20 co cube}
# - {name: coNomask_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from unmasked e20 cube}
# - {name: coeNomask_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from unmasked e20 cube}
# - {name: coNomaskDv_e20, unit: km / s, datatype: float64, format: .3f, description: co velocity width for unmasked e20 cube}
# - {name: coDilated_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from dilated-masked e20 cube}
# - {name: coeDilated_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from dilated-masked e20 cube}
# - {name: coSmooth_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from smoothed-masked e20 cube}
# - {name: coeSmooth_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from smoothed-masked e20 cube}
# - {name: coSmoothDv_e20, unit: km / s, datatype: float64, format: .3f, description: co velocity width for smooth-masked e20 cube}
# - {name: coMask2d_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from 2D masked e20 cube}
# - {name: coeMask2d_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from 2D masked e20 cube}
# - {name: coSNRmax_e20, datatype: float64, format: .3f, description: Maximum SNR of co in e20 cube}
# - {name: coSNR4pix_e20, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 4 sigma}
# - {name: coSNR5pix_e20, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 5 sigma}
# - {name: cottBmaj_e20, unit: arcsec, datatype: float64, format: .3f, description: Beam major axis of e20 13co cube}
# - {name: cottBmin_e20, unit: arcsec, datatype: float64, format: .3f, description: Beam minor axis of e20 13co cube}
# - {name: cottBpa_e20, unit: deg, datatype: float64, format: .3f, description: Beam pos ang (deg E of N) of e20 13co cube}
# - {name: cottNomask_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from unmasked e20 cube}
# - {name: cotteNomask_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from unmasked e20 cube}
# - {name: cottNomaskDv_e20, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for unmasked e20 cube}
# - {name: cottDilated_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from dilated-masked e20 cube}
# - {name: cotteDilated_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from dilated-masked e20
#     cube}
# - {name: cottSmooth_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from smoothed-masked e20 cube}
# - {name: cotteSmooth_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from smoothed-masked e20
#     cube}
# - {name: cottSmoothDv_e20, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for smooth-masked e20 cube}
# - {name: cottMask2d_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from 2D masked e20 cube}
# - {name: cotteMask2d_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from 2D masked e20 cube}
# - {name: cottSNRmax_e20, datatype: float64, format: .3f, description: Maximum SNR of 13co in e20 cube}
# - {name: cottSNR4pix_e20, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 4 sigma}
# - {name: cottSNR5pix_e20, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 5 sigma}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-09'}
# schema: astropy-2.0
Name,coRactr_e20,coDectr_e20,coCtrint_e20,coDvhel,coBmaj_e20,coBmin_e20,coBpa_e20,coNomask_e20,coeNomask_e20,coNomaskDv_e20,coDilated_e20,coeDilated_e20,coSmooth_e20,coeSmooth_e20,coSmoothDv_e20,coMask2d_e20,coeMask2d_e20,coSNRmax_e20,coSNR4pix_e20,coSNR5pix_e20,cottBmaj_e20,cottBmin_e20,cottBpa_e20,cottNomask_e20,cotteNomask_e20,cottNomaskDv_e20,cottDilated_e20,cotteDilated_e20,cottSmooth_e20,cotteSmooth_e20,cottSmoothDv_e20,cottMask2d_e20,cotteMask2d_e20,cottSNRmax_e20,cottSNR4pix_e20,cottSNR5pix_e20
ARP220,233.7383,23.5037,374.232,-16.613,12.390,6.060,-66.500,300.050,47.410,1600.000,452.590,5.360,476.660,8.680,780.000,433.870,18.660,42.650,433.000,312.000,12.850,6.240,-65.800,-60.450,29.310,1600.000,nan,nan,nan,nan,nan,nan,nan,4.277,15.000,0.000
IC0480,118.8467,26.7411,27.309,9.209,7.870,6.440,-87.300,16.190,57.340,860.000,76.820,4.170,106.340,10.030,420.000,91.130,25.630,8.354,179.000,114.000,8.060,6.630,87.700,6.290,29.350,860.000,nan,nan,nan,nan,nan,nan,nan,4.106,7.000,0.000
IC0540,142.5429,7.9028,30.111,9.316,7.400,6.590,-22.600,-65.520,74.760,860.000,nan,nan,nan,nan,nan,nan,nan,4.453,16.000,0.000,7.740,6.700,-26.300,24.910,32.450,860.000,nan,nan,nan,nan,nan,nan,nan,4.346,14.000,0.000
IC0944,207.8787,14.0922,41.464,-10.014,13.500,6.450,-73.200,-55.610,34.460,860.000,82.270,4.170,89.980,6.650,640.000,64.170,14.440,6.982,350.000,104.000,14.040,6.650,-72.800,-6.140,20.540,860.000,nan,nan,nan,nan,nan,nan,nan,4.658,18.000,0.000
IC1151,239.6346,17.4414,1.063,-17.096,8.270,6.570,-41.600,-121.900,75.220,860.000,nan,nan,nan,nan,nan,nan,nan,4.390,9.000,0.000,8.660,6.780,-41.600,-11.700,32.990,860.000,nan,nan,nan,nan,nan,nan,nan,4.403,26.000,0.000
IC1199,242.6429,10.0404,23.082,-16.748,8.630,6.220,-50.800,-21.370,52.470,860.000,nan,nan,38.690,7.570,340.000,11.490,20.960,4.370,13.000,0.000,9.010,6.410,-51.000,11.570,26.060,860.000,nan,nan,nan,nan,nan,nan,nan,4.323,8.000,0.000
IC1256,260.9471,26.4865,-1.950,-19.712,8.570,6.010,-59.200,35.120,117.520,860.000,nan,nan,nan,nan,nan,nan,nan,4.746,18.000,0.000,9.020,6.250,-58.100,-5.590,66.810,860.000,nan,nan,nan,nan,nan,nan,nan,4.220,9.000,0.000
IC1683,20.6621,34.4371,64.616,-0.830,11.350,6.740,64.100,21.900,43.080,860.000,86.380,4.020,92.500,6.760,420.000,66.890,13.440,10.100,256.000,157.000,11.870,6.850,64.400,-11.270,23.900,860.000,nan,nan,nan,nan,nan,nan,nan,4.014,1.000,0.000
IC2247,123.9963,23.1996,40.349,9.443,10.080,6.690,-52.700,-31.530,46.970,860.000,80.280,4.240,106.970,7.990,480.000,108.600,17.570,6.955,282.000,160.000,10.230,6.850,-54.300,7.770,25.540,860.000,nan,nan,nan,nan,nan,nan,nan,4.544,28.000,0.000
IC2487,142.5383,20.0908,14.173,6.711,11.360,7.840,-85.300,-6.540,47.730,860.000,36.570,3.400,56.940,6.830,420.000,26.170,17.290,5.052,133.000,2.000,11.740,7.970,-86.700,3.520,25.170,860.000,nan,nan,nan,nan,nan,nan,nan,3.876,0.000,0.000
IC4566,234.1758,43.5393,3.995,-16.910,8.370,6.220,84.200,-33.860,43.340,860.000,17.900,2.140,52.440,6.370,460.000,30.980,17.560,5.854,56.000,11.000,8.540,6.370,84.500,-4.770,27.050,860.000,nan,nan,nan,nan,nan,nan,nan,4.446,10.000,0.000
IC5376,0.3325,34.5257,4.321,-5.819,8.540,6.530,-65.000,-37.740,40.900,860.000,nan,nan,nan,nan,nan,nan,nan,4.505,30.000,0.000,8.800,6.700,-65.600,11.690,22.860,860.000,nan,nan,nan,nan,nan,nan,nan,5.370,49.000,5.000
NGC0444,18.9567,31.0806,0.662,-0.573,7.370,6.370,-43.000,2.370,43.840,860.000,nan,nan,nan,nan,nan,nan,nan,4.341,19.000,0.000,7.420,6.540,-46.700,1.710,23.660,860.000,nan,nan,nan,nan,nan,nan,nan,5.154,67.000,1.000
NGC0447,18.9067,33.0678,42.492,-0.976,7.080,6.330,-60.900,-8.380,46.160,860.000,29.210,2.160,45.970,5.710,280.000,29.230,16.190,7.362,93.000,55.000,7.310,6.430,-60.300,-6.080,29.680,860.000,nan,nan,nan,nan,nan,nan,nan,4.993,36.000,0.000
NGC0477,20.3354,40.4881,12.044,-2.109,7.030,6.640,-60.100,3.300,39.300,860.000,nan,nan,nan,nan,nan,nan,nan,4.606,23.000,0.000,7.300,6.740,-61.100,0.030,25.690,860.000,nan,nan,nan,nan,nan,nan,nan,4.711,19.000,0.000
NGC0496,20.7983,33.5293,18.561,-0.615,8.720,7.030,-80.300,-16.020,45.400,860.000,51.700,3.170,72.210,6.860,340.000,56.590,16.530,6.862,294.000,138.000,8.980,7.110,-80.200,13.400,31.720,860.000,nan,nan,nan,nan,nan,nan,nan,4.123,2.000,0.000
NGC0523,21.3362,34.0249,22.139,-0.588,7.590,6.450,-85.500,-19.370,52.530,860.000,108.110,4.870,135.590,10.840,520.000,40.440,26.810,8.178,297.000,152.000,7.830,6.520,-86.300,1.720,29.220,860.000,nan,nan,nan,nan,nan,nan,nan,4.569,13.000,0.000
