# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coRactr_natv, unit: deg, datatype: float64, format: .4f, description: Reference R.A. of natv CARMA cube}
# - {name: coDectr_natv, unit: deg, datatype: float64, format: .4f, description: Reference Dec. of natv CARMA cube}
# - {name: coCtrint_natv, unit: K km / s, datatype: float64, format: .3f, description: Unmasked CO intensity at reference pixel}
# - {name: coDvhel, unit: km / s, datatype: float64, format: .3f, description: Add this to go from LSR to Barycentric frame}
# - {name: coBmaj_natv, unit: arcsec, datatype: float64, format: .3f, description: Beam major axis of natv co cube}
# - {name: coBmin_natv, unit: arcsec, datatype: float64, format: .3f, description: Beam minor axis of natv co cube}
# - {name: coBpa_natv, unit: deg, datatype: float64, format: .3f, description: Beam pos ang (deg E of N) of natv co cube}
# - {name: coNomask_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from unmasked natv cube}
# - {name: coeNomask_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from unmasked natv cube}
# - {name: coNomaskDv_natv, unit: km / s, datatype: float64, format: .3f, description: co velocity width for unmasked natv cube}
# - {name: coDilated_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from dilated-masked natv cube}
# - {name: coeDilated_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from dilated-masked natv
#     cube}
# - {name: coSmooth_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from smoothed-masked natv cube}
# - {name: coeSmooth_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from smoothed-masked natv
#     cube}
# - {name: coSmoothDv_natv, unit: km / s, datatype: float64, format: .3f, description: co velocity width for smooth-masked natv cube}
# - {name: coMask2d_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from 2D masked natv cube}
# - {name: coeMask2d_natv, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from 2D masked natv cube}
# - {name: coSNRmax_natv, datatype: float64, format: .3f, description: Maximum SNR of co in natv cube}
# - {name: coSNR4pix_natv, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 4 sigma}
# - {name: coSNR5pix_natv, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 5 sigma}
# - {name: cottBmaj_natv, unit: arcsec, datatype: float64, format: .3f, description: Beam major axis of natv 13co cube}
# - {name: cottBmin_natv, unit: arcsec, datatype: float64, format: .3f, description: Beam minor axis of natv 13co cube}
# - {name: cottBpa_natv, unit: deg, datatype: float64, format: .3f, description: Beam pos ang (deg E of N) of natv 13co cube}
# - {name: cottNomask_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from unmasked natv cube}
# - {name: cotteNomask_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from unmasked natv cube}
# - {name: cottNomaskDv_natv, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for unmasked natv cube}
# - {name: cottDilated_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from dilated-masked natv cube}
# - {name: cotteDilated_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from dilated-masked
#     natv cube}
# - {name: cottSmooth_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from smoothed-masked natv cube}
# - {name: cotteSmooth_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from smoothed-masked
#     natv cube}
# - {name: cottSmoothDv_natv, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for smooth-masked natv cube}
# - {name: cottMask2d_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from 2D masked natv cube}
# - {name: cotteMask2d_natv, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from 2D masked natv cube}
# - {name: cottSNRmax_natv, datatype: float64, format: .3f, description: Maximum SNR of 13co in natv cube}
# - {name: cottSNR4pix_natv, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 4 sigma}
# - {name: cottSNR5pix_natv, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 5 sigma}
# delimiter: ','
# schema: astropy-2.0
Name,coRactr_natv,coDectr_natv,coCtrint_natv,coDvhel,coBmaj_natv,coBmin_natv,coBpa_natv,coNomask_natv,coeNomask_natv,coNomaskDv_natv,coDilated_natv,coeDilated_natv,coSmooth_natv,coeSmooth_natv,coSmoothDv_natv,coMask2d_natv,coeMask2d_natv,coSNRmax_natv,coSNR4pix_natv,coSNR5pix_natv,cottBmaj_natv,cottBmin_natv,cottBpa_natv,cottNomask_natv,cotteNomask_natv,cottNomaskDv_natv,cottDilated_natv,cotteDilated_natv,cottSmooth_natv,cotteSmooth_natv,cottSmoothDv_natv,cottMask2d_natv,cotteMask2d_natv,cottSNRmax_natv,cottSNR4pix_natv,cottSNR5pix_natv
ARP220,233.7383,23.5037,789.489,-16.613,4.480,3.870,71.800,374.803,14.955,1600.000,466.559,3.359,455.962,5.146,900.000,457.043,10.338,104.751,254.000,157.000,4.580,3.920,82.000,-3.137,8.708,1600.000,19.458,1.006,22.128,1.894,780.000,15.432,4.193,6.298,43.000,8.000
IC0480,118.8467,26.7411,45.497,9.209,4.880,3.930,42.800,49.938,14.821,860.000,81.053,2.444,78.057,4.383,420.000,73.803,9.157,18.732,235.000,184.000,4.940,4.060,46.000,-3.923,7.306,860.000,3.845,0.537,4.489,1.001,220.000,5.376,2.438,5.470,48.000,3.000
IC0540,142.5429,7.9028,39.810,9.316,6.220,3.630,31.000,-18.590,19.314,860.000,21.748,1.968,26.156,4.032,280.000,37.024,9.652,6.571,51.000,14.000,6.360,3.790,30.900,-3.064,8.322,860.000,nan,nan,nan,nan,nan,nan,nan,4.877,21.000,0.000
IC0944,207.8787,14.0922,77.499,-10.014,5.390,4.170,32.600,40.756,12.472,860.000,89.065,3.110,96.502,5.578,680.000,66.271,11.017,8.541,290.000,115.000,5.500,4.410,33.800,8.709,7.204,860.000,nan,nan,nan,nan,nan,nan,nan,4.250,13.000,0.000
IC1151,239.6346,17.4414,1.005,-17.096,5.320,3.780,50.300,-3.964,21.377,860.000,nan,nan,8.642,3.231,140.000,7.851,8.875,5.015,22.000,1.000,5.350,3.920,52.300,3.437,9.336,860.000,nan,nan,nan,nan,nan,nan,nan,4.559,21.000,0.000
IC1199,242.6429,10.0404,37.219,-16.748,4.920,4.300,43.700,24.510,13.667,860.000,47.762,2.500,46.989,4.396,480.000,22.751,9.796,7.150,185.000,78.000,4.890,4.440,54.200,-5.164,6.488,860.000,nan,nan,nan,nan,nan,nan,nan,4.407,20.000,0.000
IC1683,20.6621,34.4371,166.096,-0.830,4.960,3.790,72.400,39.854,13.026,860.000,93.134,2.391,96.064,4.111,520.000,83.495,7.270,21.244,215.000,135.000,4.980,3.910,78.500,-7.295,6.941,860.000,4.099,0.549,nan,nan,nan,nan,nan,5.430,51.000,3.000
IC2247,123.9963,23.1996,56.116,9.443,4.790,3.850,39.400,36.176,11.682,860.000,71.820,2.313,74.241,4.345,500.000,72.447,9.279,12.254,253.000,191.000,4.840,3.940,47.000,-3.637,5.425,860.000,0.822,0.346,nan,nan,nan,nan,nan,5.007,16.000,1.000
IC2487,142.5383,20.0908,23.141,6.711,6.170,3.900,33.000,22.722,14.135,860.000,50.119,2.485,54.370,4.674,480.000,32.919,10.589,8.509,189.000,76.000,6.360,4.070,32.200,3.388,7.070,860.000,nan,nan,nan,nan,nan,nan,nan,4.784,13.000,0.000
IC4566,234.1758,43.5393,5.266,-16.910,6.010,3.890,69.200,18.043,12.663,860.000,51.819,2.623,55.869,4.591,460.000,39.570,10.001,7.543,218.000,70.000,6.200,4.000,69.000,3.985,7.820,860.000,0.972,0.366,nan,nan,nan,nan,nan,4.586,17.000,0.000
IC5376,0.3325,34.5257,8.350,-5.819,4.610,4.070,35.700,7.002,13.984,860.000,nan,nan,30.859,3.686,520.000,20.682,8.337,4.540,19.000,0.000,4.630,4.220,44.900,-2.471,7.622,860.000,nan,nan,nan,nan,nan,nan,nan,4.933,25.000,0.000
NGC0444,18.9567,31.0806,6.929,-0.573,5.030,4.100,29.500,-17.325,16.601,860.000,nan,nan,nan,nan,nan,nan,nan,4.551,19.000,0.000,5.080,4.240,31.100,-6.371,8.421,860.000,nan,nan,nan,nan,nan,nan,nan,4.430,18.000,0.000
NGC0447,18.9067,33.0678,52.027,-0.976,4.520,3.670,54.900,11.396,11.363,860.000,31.394,1.380,32.470,3.569,320.000,29.324,8.707,14.110,136.000,78.000,4.560,3.840,58.000,-0.518,6.957,860.000,nan,nan,nan,nan,nan,nan,nan,4.618,24.000,0.000
NGC0477,20.3354,40.4881,12.484,-2.109,5.110,3.930,59.000,5.806,14.167,860.000,21.389,1.822,46.275,5.224,400.000,16.145,12.676,6.903,93.000,14.000,5.160,4.050,61.900,-2.202,9.019,860.000,nan,nan,nan,nan,nan,nan,nan,4.478,14.000,0.000
NGC0496,20.7983,33.5293,28.405,-0.615,4.900,3.760,51.400,25.510,12.573,860.000,44.044,2.075,38.677,3.566,320.000,32.746,8.657,9.358,276.000,142.000,4.940,3.900,53.800,-7.471,8.476,860.000,nan,nan,nan,nan,nan,nan,nan,5.000,28.000,0.000
NGC0523,21.3362,34.0249,42.733,-0.588,4.640,3.770,54.200,48.202,14.701,860.000,103.891,3.215,94.354,5.509,560.000,60.295,11.466,13.082,311.000,195.000,4.660,3.920,60.000,1.003,7.513,860.000,nan,nan,nan,nan,nan,nan,nan,5.756,24.000,4.000
