# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coRactr_smo7, unit: deg, datatype: float64, format: .4f, description: Reference R.A. of smo7 CARMA cube}
# - {name: coDectr_smo7, unit: deg, datatype: float64, format: .4f, description: Reference Dec. of smo7 CARMA cube}
# - {name: coCtrint_smo7, unit: K km / s, datatype: float64, format: .3f, description: Unmasked CO intensity at reference pixel}
# - {name: coNomask_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from unmasked smo7 cube}
# - {name: coeNomask_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from unmasked smo7 cube}
# - {name: coNomaskDv_smo7, unit: km / s, datatype: float64, format: .3f, description: co velocity width for unmasked smo7 cube}
# - {name: coDilated_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from dilated-masked smo7 cube}
# - {name: coeDilated_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from dilated-masked smo7
#     cube}
# - {name: coDilatedDv_smo7, unit: km / s, datatype: float64, format: .3f, description: co velocity width for dilated-masked smo7 cube}
# - {name: coSmooth_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from smoothed-masked smo7 cube}
# - {name: coeSmooth_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from smoothed-masked smo7
#     cube}
# - {name: coSmoothDv_smo7, unit: km / s, datatype: float64, format: .3f, description: co velocity width for smooth-masked smo7 cube}
# - {name: coMask2d_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from 2D masked smo7 cube}
# - {name: coeMask2d_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from 2D masked smo7 cube}
# - {name: coSNRmax_smo7, datatype: float64, format: .3f, description: Maximum SNR of co in smo7 cube}
# - {name: coSNR4pix_smo7, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 4 sigma}
# - {name: coSNR5pix_smo7, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 5 sigma}
# - {name: cottNomask_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from unmasked smo7 cube}
# - {name: cotteNomask_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from unmasked smo7 cube}
# - {name: cottNomaskDv_smo7, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for unmasked smo7 cube}
# - {name: cottDilated_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from dilated-masked smo7 cube}
# - {name: cotteDilated_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from dilated-masked
#     smo7 cube}
# - {name: cottDilatedDv_smo7, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for dilated-masked smo7
#     cube}
# - {name: cottSmooth_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from smoothed-masked smo7 cube}
# - {name: cotteSmooth_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from smoothed-masked
#     smo7 cube}
# - {name: cottSmoothDv_smo7, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for smooth-masked smo7 cube}
# - {name: cottMask2d_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from 2D masked smo7 cube}
# - {name: cotteMask2d_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from 2D masked smo7 cube}
# - {name: cottMk12_di_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux in 12co dilated mask smo7 cube}
# - {name: cotteMk12_di_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty in 12co dilated mask
#     smo7 cube}
# - {name: cottMk12_sm_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux in 12co smoothed mask smo7 cube}
# - {name: cotteMk12_sm_smo7, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty in 12co smoothed mask
#     smo7 cube}
# - {name: cottSNRmax_smo7, datatype: float64, format: .3f, description: Maximum SNR of 13co in smo7 cube}
# - {name: cottSNR4pix_smo7, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 4 sigma}
# - {name: cottSNR5pix_smo7, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 5 sigma}
# delimiter: ','
# meta: !!omap
# - {date: '2023-03-16'}
# - {comments: Integrated CO fluxes from smo7 cubes}
# schema: astropy-2.0
Name,coRactr_smo7,coDectr_smo7,coCtrint_smo7,coNomask_smo7,coeNomask_smo7,coNomaskDv_smo7,coDilated_smo7,coeDilated_smo7,coDilatedDv_smo7,coSmooth_smo7,coeSmooth_smo7,coSmoothDv_smo7,coMask2d_smo7,coeMask2d_smo7,coSNRmax_smo7,coSNR4pix_smo7,coSNR5pix_smo7,cottNomask_smo7,cotteNomask_smo7,cottNomaskDv_smo7,cottDilated_smo7,cotteDilated_smo7,cottDilatedDv_smo7,cottSmooth_smo7,cotteSmooth_smo7,cottSmoothDv_smo7,cottMask2d_smo7,cotteMask2d_smo7,cottMk12_di_smo7,cotteMk12_di_smo7,cottMk12_sm_smo7,cotteMk12_sm_smo7,cottSNRmax_smo7,cottSNR4pix_smo7,cottSNR5pix_smo7
ARP220,233.738333333,23.5036666667,516.2120361328125,457.37,33.78,1600.0,448.81,2.84,880.0,488.72,5.87,840.0,520.93,13.64,95.70772552490234,457.0,292.0,-29.43,20.3,1600.0,15.63,0.84,740.0,17.83,1.38,620.0,15.88,3.57,14.02,1.67,15.31,3.44,5.850044250488281,64.0,14.0
IC0480,118.846666667,26.7411111111,33.43143081665039,68.65,32.73,860.0,77.69,2.13,380.0,77.32,3.72,400.0,66.4,8.4,18.944639205932617,407.0,332.0,13.84,17.18,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.54,1.1,2.41,1.91,5.097535133361816,51.0,2.0
IC0540,142.542916667,7.90275,28.97010040283203,37.44,45.23,860.0,20.03,1.74,240.0,23.15,2.9,260.0,36.47,7.84,6.499837875366211,81.0,31.0,9.72,20.22,860.0,nan,nan,nan,nan,nan,nan,nan,nan,1.8,0.76,2.47,1.26,4.185805320739746,17.0,0.0
IC0944,207.87875,14.0922222222,51.41030502319336,-32.15,29.68,860.0,89.64,2.87,660.0,95.42,4.63,680.0,59.11,9.72,8.430190086364746,513.0,294.0,-3.9,16.68,860.0,nan,nan,nan,nan,nan,nan,nan,nan,8.65,1.57,6.86,2.53,4.5319061279296875,27.0,0.0
IC1151,239.634583333,17.4414444444,6.623892784118652,-23.25,48.52,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.699942588806152,35.0,0.0,3.97,21.94,860.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.55564022064209,25.0,0.0
IC1199,242.642916667,10.0403611111,22.314878463745117,-24.44,31.17,860.0,44.51,2.16,440.0,47.35,3.35,500.0,23.63,8.33,9.489327430725098,379.0,202.0,8.89,15.39,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,1.04,2.67,1.62,4.143141746520996,3.0,0.0
IC1683,20.6620833333,34.4371111111,93.13352966308594,96.54,30.72,860.0,89.21,2.14,480.0,93.19,3.63,540.0,75.71,6.96,19.184354782104492,330.0,266.0,22.92,16.68,860.0,nan,nan,nan,nan,nan,nan,nan,nan,6.43,1.14,4.14,1.93,4.480617523193359,13.0,0.0
IC2247,123.99625,23.1996111111,34.231719970703125,35.86,25.63,860.0,69.79,2.06,460.0,72.19,3.25,500.0,62.1,7.21,12.721165657043457,428.0,332.0,0.65,12.24,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.67,0.96,2.14,1.52,4.472327709197998,17.0,0.0
IC2487,142.538333333,20.0908333333,17.331405639648438,45.88,34.49,860.0,51.67,2.36,460.0,53.56,3.71,440.0,29.43,9.3,8.60473346710205,365.0,194.0,2.69,17.07,860.0,nan,nan,nan,nan,nan,nan,nan,nan,3.84,1.14,2.72,1.79,5.159538269042969,26.0,3.0
IC4566,234.175833333,43.5393055556,3.9094340801239014,15.11,30.27,860.0,50.72,2.31,440.0,54.94,3.68,460.0,34.45,8.48,8.099281311035156,474.0,233.0,2.94,19.48,860.0,nan,nan,nan,nan,nan,nan,nan,nan,6.81,1.45,9.71,2.31,4.660714149475098,14.0,0.0
IC5376,0.3325,34.5256666667,7.540372371673584,-11.23,30.99,860.0,13.98,1.31,320.0,33.23,3.21,580.0,21.71,8.09,4.644647598266602,42.0,0.0,-16.99,17.2,860.0,nan,nan,nan,nan,nan,nan,nan,nan,0.47,0.71,-1.24,1.74,4.487113952636719,24.0,0.0
NGC0444,18.9566666667,31.0806111111,5.031947135925293,0.49,35.96,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.510300636291504,28.0,0.0,-5.08,19.41,860.0,2.58,0.61,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.288366794586182,10.0,0.0
NGC0447,18.9066666667,33.0677777778,35.058284759521484,12.9,25.42,860.0,34.5,1.57,260.0,40.85,3.34,340.0,32.77,8.94,13.945660591125488,309.0,190.0,4.6,15.39,860.0,nan,nan,nan,nan,nan,nan,nan,nan,2.5,0.92,3.4,1.96,4.525355815887451,32.0,0.0
NGC0477,20.3354166667,40.4881388889,7.931397438049316,12.65,32.33,860.0,42.7,2.44,380.0,46.72,3.9,380.0,16.44,10.24,7.444036483764648,187.0,46.0,8.29,20.3,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.39,1.5,3.56,2.39,4.002655506134033,1.0,0.0
NGC0496,20.7983333333,33.5292777778,19.386661529541016,44.05,28.47,860.0,41.8,1.71,280.0,43.83,3.2,340.0,29.89,8.33,11.970998764038086,490.0,354.0,14.52,19.38,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.79,1.14,3.33,2.13,4.5766706466674805,35.0,0.0
NGC0523,21.33625,34.0249444444,25.43645668029785,37.97,31.52,860.0,96.53,2.67,520.0,100.76,5.07,560.0,61.59,12.49,15.623775482177734,607.0,456.0,11.41,16.72,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.6,1.38,1.44,2.62,4.942728042602539,28.0,0.0
NGC0528,21.39,33.6714444444,12.146086692810059,31.9,30.32,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.635830879211426,16.0,0.0,17.47,17.21,860.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.455529689788818,11.0,0.0
NGC0551,21.9191666667,37.1829722222,1.57106351852417,-0.45,27.1,860.0,38.59,1.99,400.0,40.59,3.17,440.0,34.91,8.21,9.224080085754395,364.0,167.0,-29.41,15.51,860.0,nan,nan,nan,nan,nan,nan,nan,nan,1.9,1.11,1.17,1.77,4.410248756408691,15.0,0.0
NGC1167,45.42625,35.2056111111,3.9241111278533936,34.97,30.53,860.0,15.48,1.64,200.0,38.53,4.73,580.0,-0.71,14.16,5.989215850830078,162.0,38.0,15.95,17.1,860.0,nan,nan,nan,nan,nan,nan,nan,nan,1.62,0.89,8.66,2.57,4.541445255279541,32.0,0.0
NGC2253,100.924166667,65.2063611111,61.52436447143555,70.71,32.67,860.0,167.17,3.39,320.0,154.26,5.62,360.0,128.14,14.43,20.314271926879883,1595.0,1357.0,-2.9,16.91,860.0,nan,nan,nan,10.0,1.64,600.0,1.24,5.0,11.05,1.71,6.47,2.83,5.715909481048584,77.0,13.0
NGC2347,109.017083333,64.7113333333,30.866474151611328,32.42,26.12,860.0,81.58,2.34,500.0,87.67,4.25,520.0,42.01,10.1,17.652780532836914,631.0,453.0,-12.52,13.63,860.0,2.88,0.41,140.0,4.51,0.93,200.0,8.42,2.84,9.29,1.19,11.84,2.16,6.044829368591309,39.0,13.0
NGC2410,113.759583333,32.8221111111,21.44072914123535,43.57,36.32,860.0,83.4,2.86,540.0,92.05,4.74,580.0,62.05,11.04,8.34310531616211,599.0,361.0,2.43,18.13,860.0,5.58,0.92,280.0,nan,nan,nan,nan,nan,7.35,1.41,7.81,2.35,5.526348114013672,82.0,9.0
NGC2480,119.293333333,23.7798055556,9.578923225402832,21.64,36.43,860.0,12.55,1.21,100.0,14.63,2.31,140.0,12.1,6.81,8.143783569335938,157.0,90.0,-0.4,16.23,860.0,nan,nan,nan,nan,nan,nan,nan,nan,0.67,0.53,0.09,1.01,4.203597068786621,22.0,0.0
NGC2486,119.485416667,25.1608611111,2.3214614391326904,9.87,55.97,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.777371883392334,34.0,0.0,-2.6,28.11,860.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.2477827072143555,7.0,0.0
NGC2487,119.585416667,25.1492222222,36.563819885253906,29.34,37.35,860.0,53.29,2.86,260.0,61.45,5.37,300.0,12.04,14.86,9.326105117797852,263.0,96.0,-36.41,22.07,860.0,nan,nan,nan,nan,nan,nan,nan,nan,2.88,1.65,-0.41,3.09,4.563754558563232,19.0,0.0
NGC2623,129.600416667,25.7547222222,189.5704803466797,136.2,19.19,860.0,123.97,1.52,600.0,128.96,2.81,620.0,114.26,5.05,45.94678497314453,299.0,239.0,10.77,12.02,820.0,nan,nan,nan,nan,nan,nan,nan,nan,5.69,0.96,3.67,1.76,5.142213344573975,28.0,2.0
NGC2639,130.90875,50.2055277778,12.090164184570312,55.44,34.79,860.0,103.49,3.42,760.0,103.25,5.05,700.0,69.65,11.07,14.874202728271484,698.0,395.0,-14.95,17.76,860.0,5.23,0.59,640.0,3.7,0.74,120.0,-0.56,2.25,9.58,1.69,7.55,2.51,5.117595195770264,35.0,1.0
NGC2730,135.565833333,16.8382777778,4.609797477722168,-32.64,32.48,860.0,31.37,2.26,200.0,35.68,4.22,260.0,24.36,12.44,6.348438739776611,242.0,52.0,-15.42,18.86,860.0,nan,nan,nan,nan,nan,nan,nan,nan,0.22,1.28,-1.39,2.39,5.185201644897461,50.0,3.0
NGC2880,142.394166667,62.4905555556,8.489378929138184,29.3,33.71,720.0,nan,nan,nan,nan,nan,nan,nan,nan,5.111546993255615,43.0,3.0,7.7,15.01,720.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.9960741996765137,0.0,0.0
NGC2906,143.025833333,8.44177777778,22.732383728027344,-10.21,37.85,860.0,91.2,3.27,400.0,88.04,5.06,440.0,46.51,12.6,12.028772354125977,789.0,551.0,-9.55,17.16,860.0,nan,nan,nan,nan,nan,nan,nan,nan,9.56,1.45,6.56,2.24,4.380038261413574,17.0,0.0
NGC2916,143.74,21.70525,-0.49685829877853394,26.92,34.4,860.0,28.57,2.09,420.0,43.74,4.9,460.0,30.01,14.86,8.064006805419922,237.0,84.0,-9.71,20.75,860.0,nan,nan,nan,nan,nan,nan,nan,nan,3.07,1.23,6.25,2.87,4.817732334136963,19.0,0.0
NGC2918,143.933333333,31.7054722222,-0.08216339349746704,0.18,34.77,820.0,nan,nan,nan,nan,nan,nan,nan,nan,4.19070291519165,7.0,0.0,22.75,21.48,820.0,2.14,0.45,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.784630298614502,52.0,0.0
NGC3303,159.250416667,18.1358888889,37.8179931640625,83.65,31.63,860.0,32.11,1.77,500.0,35.21,2.58,380.0,31.37,5.92,7.458241939544678,104.0,39.0,-16.15,20.75,860.0,nan,nan,nan,nan,nan,nan,nan,nan,1.5,1.14,1.68,1.66,4.386457443237305,20.0,0.0
NGC3381,162.103333333,34.7114166667,9.887134552001953,-21.22,42.26,800.0,15.77,1.74,120.0,21.65,3.42,160.0,12.2,9.93,8.444050788879395,180.0,58.0,-22.86,18.34,800.0,nan,nan,nan,nan,nan,nan,nan,nan,2.17,0.74,2.27,1.45,3.8867995738983154,0.0,0.0
NGC3687,172.0025,29.5110555556,4.918911457061768,1.08,44.68,860.0,nan,nan,nan,16.94,3.52,180.0,17.88,10.65,4.7972002029418945,52.0,0.0,-17.14,20.17,860.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.08,1.55,4.2789130210876465,18.0,0.0
NGC3811,175.319166667,47.6908055556,67.29547119140625,62.42,34.36,860.0,95.97,3.14,320.0,91.85,5.12,380.0,45.31,13.25,18.574071884155273,715.0,463.0,2.8,17.77,860.0,nan,nan,nan,nan,nan,nan,nan,nan,6.92,1.58,2.98,2.58,4.4563775062561035,8.0,0.0
NGC3815,175.41375,24.8005,11.804953575134277,28.59,32.57,860.0,44.65,2.03,400.0,52.02,3.82,420.0,32.87,9.68,10.911457061767578,378.0,224.0,11.94,19.02,860.0,nan,nan,nan,nan,nan,nan,nan,nan,4.66,1.15,5.87,2.18,3.903979539871216,0.0,0.0
NGC3994,179.40375,32.2776111111,42.31049346923828,29.08,35.69,860.0,77.52,2.61,500.0,85.59,4.46,520.0,56.92,9.19,16.507234573364258,323.0,242.0,24.42,18.51,860.0,nan,nan,nan,nan,nan,nan,nan,nan,7.66,1.32,7.08,2.25,4.752906322479248,44.0,0.0
NGC4047,180.71125,48.6361944444,44.52153778076172,133.75,37.18,860.0,197.68,3.38,340.0,185.95,5.58,440.0,158.94,12.42,28.818912506103516,1188.0,1015.0,5.9,20.29,860.0,16.66,1.08,340.0,19.08,1.75,380.0,13.29,4.34,17.51,1.8,11.66,2.97,6.827280521392822,199.0,82.0
NGC4149,182.636666667,58.3041388889,53.842525482177734,81.32,35.31,860.0,77.26,2.27,500.0,78.58,4.04,540.0,74.68,8.02,15.909369468688965,342.0,285.0,-14.22,17.37,860.0,2.01,0.35,100.0,5.19,0.99,480.0,6.82,2.41,6.32,1.09,4.51,1.93,5.208427429199219,43.0,4.0
NGC4185,183.3425,28.5109722222,-1.1543505191802979,-5.7,39.31,860.0,13.12,1.6,120.0,51.85,5.45,420.0,18.91,16.06,6.895175933837891,189.0,41.0,-13.0,22.03,860.0,nan,nan,nan,nan,nan,nan,nan,nan,2.81,0.88,11.0,2.97,5.202144622802734,43.0,2.0
NGC4210,183.815958333,65.9853333333,3.3454487323760986,-12.85,27.67,800.0,49.97,2.46,300.0,46.75,3.79,340.0,15.46,10.41,10.156327247619629,704.0,415.0,1.32,14.86,800.0,nan,nan,nan,nan,nan,nan,nan,nan,3.44,1.29,2.48,1.99,4.165325164794922,11.0,0.0
NGC4211NED02,183.905416667,28.1696111111,33.524383544921875,-24.13,35.05,760.0,17.29,1.34,300.0,24.59,3.1,320.0,20.08,7.34,7.047414779663086,81.0,40.0,7.39,21.0,760.0,nan,nan,nan,nan,nan,nan,nan,nan,1.91,0.78,3.4,1.81,3.8585174083709717,0.0,0.0
