Name,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
ARP220,5340.9,4,7,4.48,3.87,6.2,33,3461,104.75,4.73E+04,06/09/16 07:03:55 CDT
IC0480,4492.9,3.98,7,4.88,3.93,8.8,42.3,792,18.73,8.88E+03,06/08/16 10:40:35 CDT
IC0540,2056.6,3.33,7,6.22,3.63,12.5,51.2,336,6.57,3.30E+03,06/08/16 10:49:37 CDT
IC0944,6843,4.09,7,5.39,4.17,7.9,32.5,278,8.54,9.50E+03,06/08/16 10:59:27 CDT
IC1151,2159.9,2.65,7,5.32,3.78,13.1,60.1,301,5.02,1.53E+03,06/08/16 11:07:49 CDT
IC1199,4663,3.97,7,4.92,4.30,8.5,37.1,266,7.15,4.09E+03,06/08/16 11:16:31 CDT
IC1683,4774.9,4.34,7,4.96,3.79,7.6,37.4,794,21.24,1.00E+04,06/08/16 11:27:22 CDT
IC2247,4261.7,4.01,7,4.79,3.85,6.8,34,416,12.25,7.70E+03,06/08/16 11:37:39 CDT
IC2487,4292.1,3.99,7,6.17,3.90,9.3,35.6,303,8.51,7.54E+03,06/08/16 11:46:48 CDT
IC4566,5479.5,4.01,7,6.01,3.89,8.2,32.4,245,7.54,5.23E+03,06/08/16 11:55:34 CDT
IC5376,4951,4.08,7,4.61,4.07,8.2,40.5,184,4.54,1.15E+03,06/08/16 12:04:00 CDT
NGC0444,4762.1,3.14,7,5.03,4.10,10.2,45.7,202,4.43,2.65E+02,06/08/16 12:12:45 CDT
NGC0447,5489.6,5.09,13,4.52,3.67,6.3,35.1,495,14.11,3.87E+03,06/08/16 12:26:03 CDT
NGC0477,5751.4,4.33,7,5.11,3.93,8.6,39.5,273,6.9,2.27E+03,06/08/16 12:38:12 CDT
NGC0496,5893.8,3.99,7,4.90,3.76,7.2,36.2,339,9.36,5.15E+03,06/08/16 12:47:41 CDT
NGC0523,4683,4.3,7,4.64,3.77,8.3,43.8,572,13.08,1.00E+04,06/08/16 12:57:29 CDT
NGC0528,4745.5,3.99,7,4.92,3.98,8.2,38.8,186,4.79,9.86E+02,06/08/16 13:06:41 CDT
NGC0551,5113.3,3.94,7,4.80,3.79,7.1,35.7,282,7.89,3.25E+03,06/08/16 13:15:46 CDT
NGC1167,4851.2,4.29,7,4.80,3.64,7.8,41.2,222,5.38,2.54E+03,06/08/16 13:24:48 CDT
