# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: Refcode, datatype: string, description: Ref Code for spectrum}
# - {name: Vsys, unit: km / s, datatype: float32, description: 'Vsys from LEDA, optical barycentric'}
# - {name: Deltav, unit: km / s, datatype: float32, description: Velocity channel width}
# - {name: Robust_rms, unit: mJy, datatype: float32, description: rms noise from mad_std over noise region}
# - {name: RefInt, unit: Jy km / s, datatype: float32, description: integrated HI flux over fixed window of +/- 600.0}
# - {name: RefUnc, unit: Jy km / s, datatype: float32, description: uncertainty in RefInt}
# - {name: SigInt, unit: Jy km / s, datatype: float32, description: integrated HI flux over get_signal_range window}
# - {name: SigUnc, unit: Jy km / s, datatype: float32, description: uncertainty in SigInt}
# - {name: SigVmin, unit: km / s, datatype: float32, description: signal start from get_signal_range}
# - {name: SigVmax, unit: km / s, datatype: float32, description: signal end from get_signal_range}
# - {name: BadFlag, datatype: bool, description: True for poor signal}
# delimiter: ','
# schema: astropy-2.0
Name,Refcode,Vsys,Deltav,Robust_rms,RefInt,RefUnc,SigInt,SigUnc,SigVmin,SigVmax,BadFlag
ARP220,edge2015,5427.0,10.5751,1.91981,-15.3759,0.215814,-15.3437,0.337894,3965.65,6919.97,True
IC0480,edge2015,4624.3,10.5147,0.80644,4.56931,0.0901385,4.36842,0.0515789,4429.47,4821.42,False
IC0540,edge2015,2042.4,10.3438,1.36264,1.56644,0.151151,1.29401,0.0845692,1872.13,2250.39,False
IC0944,shg2005,6995.9,8.7,1.57378,2.4278,0.157308,2.50588,0.121696,6666.05,7357.94,False
IC1151,edge2015,2173.2,10.3825,1.74966,7.54567,0.194807,7.97362,0.0978262,2020.98,2317.94,False
IC1199,edge2015,4724.7,10.527,2.61292,-0.478914,0.292395,0.336397,0.327774,4503.26,6022.92,True
IC1256,shg2005,4733.0,8.4,1.35124,8.98001,0.134779,9.05259,0.0989509,4298.77,4939.43,False
IC1683,shg2005,4881.8,8.5,1.21825,0.795644,0.122961,0.768299,0.0746721,4654.58,5101.31,False
IC2247,edge2015,4292.7,10.4984,0.871695,2.83592,0.0972805,3.28419,0.06471,3964.88,4491.97,False
IC2487,edge2015,4339.1,10.5001,1.26765,7.87598,0.142117,7.75092,0.0852285,4124.19,4564.99,False
IC4566,edge2015,5582.0,10.6081,1.73306,5.96048,0.195431,6.5635,0.155998,5577.17,6352.81,False
IC5376,shg2005,5029.9,8.6,5.02024,5.37981,0.50718,5.55047,0.323085,4802.84,5286.48,False
NGC0444,shg2005,4837.0,8.6,2.0024,5.12449,0.203029,5.23137,0.104749,4693.84,5010.57,False
NGC0447,edge2015,5595.0,10.5871,1.11413,3.48317,0.12483,2.90734,0.0601447,5458.68,5734.89,False
NGC0477,shg2005,5858.4,11.4,4.30147,14.5175,0.502478,14.709,0.294221,5671.71,6072.1,False
NGC0496,shg2005,6005.1,8.6,2.48736,5.57268,0.243898,5.65621,0.138632,5847.9,6216.17,False
NGC0523,shg2005,4760.7,8.4,3.06928,11.4603,0.306144,11.358,0.203008,4496.82,5022.66,False
NGC0528,edge2015,4751.2,10.534,1.13639,-0.765486,0.12725,-0.69423,0.183507,3566.24,6062.36,True
NGC0551,shg2005,5189.2,8.5,5.88208,2.55018,0.593689,2.74421,0.339101,4991.88,5383.54,False
NGC1093,shg2005,5281.4,8.5,2.01412,9.70965,0.202566,9.53941,0.11984,5074.22,5491.37,False
NGC1167,shg2005,4952.4,8.6,3.35646,5.07061,0.34032,5.32649,0.221721,4703.16,5219.04,False
NGC2253,edge2015,3565.0,10.4481,1.77975,12.313,0.198541,11.2781,0.11157,3376.57,3761.71,False
NGC2347,edge2015,4423.8,10.508,1.13334,10.0763,0.126595,9.67749,0.0816445,4172.81,4668.03,False
NGC2410,edge2015,4678.4,10.5544,1.0414,6.8566,0.116839,6.8125,0.0800179,4395.17,4960.89,False
NGC2449,edge2015,4880.6,10.5379,0.948937,2.62187,0.105828,2.2979,0.0556763,4608.3,4933.7,False
NGC2480,edge2015,2343.2,10.3936,1.07868,1.70772,0.120229,1.91774,0.065373,2084.2,2443.46,False
NGC2481,edge2015,2180.4,10.3834,0.715657,1.85549,0.0793405,1.80943,0.0420356,2088.7,2423.39,False
NGC2486,edge2015,4637.3,10.5201,0.939007,4.11237,0.10501,4.35152,0.0739238,4411.29,5008.63,False
NGC2487,edge2015,4830.4,10.5334,0.90233,6.62416,0.100587,5.82395,0.0537663,4669.48,5010.44,False
NGC2604,edge2015,2083.5,10.3448,0.874217,15.7766,0.0969817,16.7192,0.0394201,1987.64,2190.61,False
NGC2623,edge2015,5499.0,10.7746,0.94324,0.0124283,0.106591,0.186989,0.165754,4118.32,7018.04,True
NGC2639,edge2015,3225.0,10.425,0.911295,2.24647,0.101435,2.16036,0.0865511,2849.11,3727.43,False
NGC2730,edge2015,3826.1,10.4968,2.26756,2.86691,0.254138,4.09345,0.109075,3728.87,3947.64,False
NGC2805,edge2015,1733.0,10.3272,0.86739,69.3863,0.0960611,67.177,0.0346932,1656.95,1813.83,False
NGC2880,edge2015,1481.0,10.3079,0.959782,-0.181061,0.106555,0.159904,0.0442444,2422.25,2629.87,True
NGC2906,edge2015,2283.0,10.3486,1.00738,4.00664,0.111795,3.84824,0.0651036,1941.4,2350.66,False
NGC2916,edge2015,3715.8,10.4572,1.01966,9.5179,0.113848,9.66184,0.0715287,3465.43,3946.22,False
NGC3057,edge2015,1525.1,10.3383,0.862788,10.5573,0.0960691,10.5427,0.0398905,1421.84,1629.13,False
NGC3106,edge2015,6193.4,10.6604,1.0388,6.7529,0.116672,6.28258,0.0585983,6051.42,6351.8,False
NGC3158,edge2015,6921.1,10.7,1.5991,0.226984,0.180269,0.351259,0.245581,5850.48,8078.43,True
NGC3303,edge2015,6275.7,10.6291,0.843895,2.82491,0.0949279,2.55569,0.0552938,6043.56,6461.9,False
NGC3381,edge2015,1628.1,10.3134,0.913291,14.8994,0.101009,13.9771,0.0364803,1551.61,1711.67,False
