# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: float64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: Bbarolo second round results for run natv_fitvd_dilmsk}
# - {date: '2023-12-03'}
# schema: astropy-2.0
Name,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
IC0480,1.5,69.111,-4.571,3.683,28.091,-4.07,3.631,63.455,69.29,4555.566,349.404,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,2.25,16.76,0.904
IC0480,4.5,80.181,-2.769,3.362,28.938,-2.517,2.957,63.455,69.29,4555.566,349.404,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,7.5,14.52,2.142
IC0480,7.5,113.17,-5.3,4.451,30.747,-4.216,3.244,63.455,69.29,4555.566,349.404,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,14.0,11.19,3.171
IC0480,10.5,130.56,-5.594,6.237,23.672,-4.673,5.344,63.455,69.29,4555.566,349.404,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,17.25,8.833,3.539
IC0480,13.5,138.209,-5.446,5.912,23.64,-6.138,5.68,63.455,69.29,4555.566,349.404,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,22.25,7.444,3.312
IC0480,16.5,152.085,-5.974,5.835,19.227,-7.163,7.476,63.455,69.29,4555.566,349.404,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,27.75,6.104,3.287
IC0480,19.5,166.455,-8.402,7.949,18.405,-7.553,10.184,63.455,69.29,4555.566,349.404,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,33.25,4.793,3.034
IC0480,22.5,181.864,-9.068,10.125,14.97,-11.318,8.847,63.455,69.29,4555.566,349.404,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,38.5,3.535,2.85
IC0944,1.5,199.868,-12.152,15.215,60.255,-9.155,8.258,64.478,63.577,6842.07,283.278,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,13.0,15.15,2.164
IC0944,4.5,196.966,-16.333,17.198,50.702,-10.236,8.55,64.478,63.577,6842.07,283.278,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,37.5,9.216,2.536
IC0944,7.5,172.16,-23.063,25.786,39.999,-9.927,12.936,64.478,63.577,6842.07,283.278,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,62.75,4.951,1.457
IC0944,10.5,243.24,-23.163,21.266,27.216,-8.343,11.46,64.478,63.577,6842.07,283.278,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,87.0,3.087,0.8048
IC0944,13.5,271.324,-33.103,37.311,32.556,-10.762,12.79,64.478,63.577,6842.07,283.278,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,112.2,2.237,1.045
IC0944,16.5,304.926,-8.269,9.683,6.932,-11.163,11.163,64.478,63.577,6842.07,283.278,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,133.8,1.571,0.9768
IC0944,19.5,306.384,-10.29,7.853,0.291,-7.752,7.752,64.478,63.577,6842.07,283.278,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,133.0,1.012,0.7859
