# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# meta: !!omap
# - {comments: Bbarolo first round results for run natv_fitvd_dilmsk}
# - {date: '2023-12-03'}
# schema: astropy-2.0
Name,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
IC0480,1.5,200.024,-10.952,14.269,10.442,-4.778,3.424,63.455,69.29,4667.236,-11.842,15.952,346.457,-0.737,0.565,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,4.5,199.969,-11.769,9.536,9.544,-7.281,4.099,63.455,69.29,4634.665,-4.848,3.506,346.498,-0.343,0.388,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,7.5,174.786,-25.15,16.985,12.786,-3.864,3.02,63.455,69.29,4504.622,-7.253,5.001,352.383,-9.067,6.252,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,10.5,140.626,-5.178,4.607,14.434,-4.988,4.988,63.455,69.29,4556.702,-3.882,3.739,343.997,-5.36,5.36,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,13.5,142.266,-5.714,6.923,16.339,-2.21,2.208,63.455,69.29,4554.43,-2.667,2.843,352.9,-2.915,2.915,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,16.5,168.258,-13.804,9.717,33.031,-6.44,6.44,63.455,69.29,4551.103,-5.325,4.254,350.28,-1.055,0.858,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,19.5,164.502,-10.972,13.135,21.645,-9.458,9.06,63.455,69.29,4544.338,-7.201,7.642,352.9,-8.373,8.373,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,22.5,203.493,-15.671,18.683,12.372,-8.568,8.568,63.455,69.29,4560.88,-6.37,7.252,347.907,-1.241,1.758,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0944,1.5,203.478,-11.286,12.243,54.595,-7.754,11.186,64.478,63.577,6850.444,-16.385,11.791,288.3,-6.623,6.623,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,4.5,201.483,-15.978,16.634,45.297,-8.806,10.973,64.478,63.577,6845.143,-11.93,15.475,280.7,-9.179,10.771,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,7.5,175.089,-20.692,23.282,38.769,-9.013,10.723,64.478,63.577,6834.238,-12.147,14.878,287.398,-2.458,2.458,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,10.5,234.346,-22.29,26.556,29.758,-9.939,11.453,64.478,63.577,6838.998,-24.681,22.837,280.7,-14.228,15.212,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,13.5,294.198,-22.986,17.395,31.467,-10.287,10.287,64.478,63.577,6859.525,-28.292,29.876,281.885,-3.934,3.934,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,16.5,205.971,-11.421,11.421,12.376,-3.652,2.853,64.478,63.577,6833.409,-41.117,37.417,285.709,-3.096,3.19,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,19.5,314.119,-9.586,8.371,2.902,-3.916,3.916,64.478,63.577,6851.153,-3.727,3.423,280.7,-1.405,1.405,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,22.5,224.111,-17.368,13.273,13.276,-2.923,3.762,64.478,63.577,6758.929,-28.115,25.844,281.454,-1.409,1.409,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,25.5,281.915,-9.069,7.083,8.635,-2.785,3.611,64.478,63.577,6805.432,-82.822,66.922,280.973,-1.022,1.022,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,28.5,204.205,-15.66,12.76,11.464,-8.43,7.72,64.478,63.577,6943.545,-228.091,271.386,287.402,-4.771,3.192,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC1199,1.5,185.475,-13.943,15.738,12.192,-7.132,7.132,63.407,64.2,4737.688,-52.934,42.081,158.929,-2.259,2.259,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,4.5,135.127,-10.412,8.015,3.924,-4.971,4.971,63.407,64.2,4678.114,-20.828,16.638,162.491,-2.111,1.658,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,7.5,176.937,-12.568,13.162,1.495,-3.686,3.686,63.407,64.2,4676.326,-20.848,18.619,164.3,-4.079,4.079,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,10.5,186.914,-7.617,6.261,4.043,-5.181,5.181,63.407,64.2,4663.986,-4.107,3.768,163.073,-3.63,3.63,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,13.5,183.809,-4.853,4.422,7.539,-3.1,2.152,63.407,64.2,4662.269,-2.362,2.375,162.175,-2.927,2.927,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,16.5,188.016,-5.459,4.982,3.162,-2.279,3.054,63.407,64.2,4662.306,-1.934,2.009,163.409,-2.418,2.511,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,19.5,195.612,-5.127,5.094,0.56,-4.829,4.829,63.407,64.2,4668.346,-4.176,4.168,164.299,-6.747,6.747,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,22.5,201.217,-5.751,6.183,2.336,-3.119,3.029,63.407,64.2,4670.072,-2.441,2.468,161.013,-2.637,1.947,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1683,1.5,141.349,-3.822,5.602,37.291,-4.541,4.74,64.495,63.6,4784.331,-2.091,2.585,191.829,-2.614,3.232,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,4.5,171.225,-8.711,9.619,37.857,-7.706,8.741,64.495,63.6,4786.446,-4.104,4.59,191.955,-5.13,5.738,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,7.5,193.7,-11.753,8.803,13.527,-9.6,9.6,64.495,63.6,4782.662,-6.324,5.586,196.293,-3.941,3.941,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,10.5,181.2,-9.414,7.828,5.943,-5.569,6.11,64.495,63.6,4771.127,-3.746,3.485,200.6,-4.682,4.356,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,13.5,230.484,-37.666,28.717,0.593,-6.354,6.354,64.495,63.6,4778.25,-17.535,23.8,199.38,-5.236,5.236,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,16.5,213.309,-27.99,23.39,9.001,-2.271,2.926,64.495,63.6,4797.509,-23.227,17.187,195.91,-3.37,2.501,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,19.5,227.531,-22.774,30.453,0.986,-4.651,4.651,64.495,63.6,4795.074,-8.252,10.172,200.6,-5.584,5.584,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,22.5,251.74,-30.864,28.154,1.698,-5.487,5.487,64.495,63.6,4792.788,-9.75,9.063,197.795,-2.648,2.613,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC2247,1.5,58.084,-7.244,6.311,37.821,-2.239,2.485,64.858,63.458,4220.486,-2.371,2.01,153.5,-2.963,2.512,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,4.5,88.035,-6.852,8.016,16.386,-2.181,2.496,64.858,63.458,4223.828,-2.317,2.593,150.93,-0.967,1.195,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,7.5,196.854,-12.102,9.967,12.632,-6.257,4.335,64.858,63.458,4164.197,-12.323,15.549,145.396,-0.822,0.789,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,10.5,161.044,-4.669,4.015,11.315,-6.24,5.028,64.858,63.458,4218.919,-3.108,2.641,152.718,-1.521,1.521,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,13.5,177.252,-5.031,4.82,11.251,-10.106,10.106,64.858,63.458,4219.792,-3.784,3.732,153.496,-4.73,4.664,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,16.5,183.958,-6.715,7.953,13.448,-4.519,3.521,64.858,63.458,4224.211,-4.234,4.294,153.203,-5.704,5.704,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,19.5,198.317,-8.112,7.685,10.848,-3.704,2.822,64.858,63.458,4225.605,-3.814,3.487,153.011,-3.44,3.44,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,22.5,224.398,-12.833,13.125,12.126,-5.446,3.917,64.858,63.458,4237.669,-5.502,5.193,143.66,-3.731,3.731,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2487,1.5,185.618,-13.094,16.666,13.573,-10.786,11.886,64.079,64.28,4146.967,-31.768,35.396,347.9,-13.912,15.987,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC2487,4.5,191.663,-14.098,12.447,12.873,-6.061,6.551,64.079,64.28,4340.688,-13.017,17.417,344.35,-0.731,0.964,79.821,0.333,1,1,0,0,1,1,0,1,1,0
