# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
ARP220,1.5,392.512,-73.033,66.393,8.0,88.318,87.104,5347.66,151.62,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,24,8.647,2.561
ARP220,4.5,387.542,-98.864,79.666,8.0,88.318,87.104,5347.66,151.62,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,73,2.185,1.533
ARP220,7.5,435.267,-90.924,90.924,8.0,88.318,87.104,5347.66,151.62,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,123,0.321,0.2979
ARP220,10.5,269.735,-56.165,56.165,8.0,88.318,87.104,5347.66,151.62,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,151,0.08049,0.09301
ARP220,13.5,14.577,0.0,0.0,8.0,88.318,87.104,5347.66,151.62,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,51,0.01825,0.01635
ARP220,16.5,221.185,-47.297,68.723,8.0,88.318,87.104,5347.66,151.62,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,26,0.01152,0.004819
ARP220,19.5,7.982,0.0,0.0,8.0,88.318,87.104,5347.66,151.62,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,25,0.0147,0.00554
ARP220,22.5,20.0,0.0,0.0,8.0,88.318,87.104,5347.66,151.62,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,25,0.01706,0.008188
IC0480,1.5,168.784,-26.783,21.379,8.0,88.455,94.29,4582.407,351.93,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,6,0.7628,0.04062
IC0480,4.5,80.938,-8.034,12.462,8.0,88.455,94.29,4582.407,351.93,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,19,0.6147,0.08298
IC0480,7.5,111.406,-7.718,6.702,8.0,88.455,94.29,4582.407,351.93,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,34,0.4324,0.1042
IC0480,10.5,123.263,-4.866,6.211,8.0,88.455,94.29,4582.407,351.93,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,44,0.2837,0.0802
IC0480,13.5,136.066,-10.619,14.482,8.0,88.455,94.29,4582.407,351.93,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,59,0.1802,0.0573
IC0480,16.5,195.105,-19.716,14.537,8.0,88.455,94.29,4582.407,351.93,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,73,0.1025,0.04747
IC0480,19.5,195.06,-6.919,7.609,8.0,88.455,94.29,4582.407,351.93,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,77,0.05855,0.04016
IC0480,22.5,206.601,-7.992,7.496,8.0,88.455,94.29,4582.407,351.93,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,77,0.03287,0.03065
