# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
ARP220,1.5,272.512,-26.461,21.027,8.0,88.318,87.104,5313.032,-39.172,39.172,146.801,-8.742,8.742,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,4.5,342.542,-38.084,29.87,8.0,88.318,87.104,5239.335,-52.064,73.022,142.704,-5.008,5.008,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,7.5,270.267,-34.181,34.181,8.0,88.318,87.104,5358.276,-69.216,69.216,143.259,-3.17,3.17,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,10.5,224.735,-46.541,38.27,8.0,88.318,87.104,5237.436,-86.704,109.599,157.265,-8.403,9.039,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,13.5,202.077,-21.933,29.976,8.0,88.318,87.104,6093.644,-7.697,10.469,146.583,-1.159,1.432,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,16.5,207.357,-48.849,45.457,8.0,88.318,87.104,6050.687,-16.283,15.152,160.455,-21.71,20.203,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,19.5,199.232,-14.132,18.049,8.0,88.318,87.104,5354.421,-455.653,434.089,158.11,-2.171,3.302,29.7,0.265,1,0,0,0,1,1,0,1,1,0
IC0480,1.5,176.284,-43.493,32.683,8.0,88.455,94.29,4641.08,-15.537,11.792,355.066,-3.119,2.694,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,10.5,139.2,-5.278,4.318,8.0,88.455,94.29,4557.076,-1.759,1.439,359.762,-2.346,1.919,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,13.5,214.816,-5.298,6.102,8.0,88.455,94.29,4629.19,-1.766,2.034,355.548,-2.354,2.712,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,16.5,194.168,-8.23,7.742,8.0,88.455,94.29,4594.164,-3.434,3.124,349.315,-2.073,1.63,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,19.5,186.623,-10.955,7.962,8.0,88.455,94.29,4574.201,-4.799,3.64,355.852,-3.443,2.957,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,22.5,223.476,-13.433,9.931,8.0,88.455,94.29,4590.614,-4.828,3.587,337.119,-1.051,0.831,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0540,1.5,66.686,-6.6,5.589,8.0,89.846,88.051,2013.48,-12.05,12.188,172.258,-10.313,10.053,68.3,0.69,1,0,0,0,1,1,0,1,1,0
IC0540,4.5,136.108,-26.476,36.797,8.0,89.846,88.051,2444.538,-45.27,45.27,161.301,-5.593,7.723,68.3,0.69,1,0,0,0,1,1,0,1,1,0
