# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: float64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: Bbarolo second round results for run natv_fixvd_dilmsk}
# - {date: '2023-12-03'}
# schema: astropy-2.0
Name,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
IC0480,1.5,197.577,-31.272,24.918,8.0,63.455,69.29,4558.109,350.468,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,2.5,16.54,1.107
IC0480,4.5,88.295,-6.939,5.464,8.0,63.455,69.29,4558.109,350.468,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,7.25,14.58,2.049
IC0480,7.5,129.29,-5.919,6.402,8.0,63.455,69.29,4558.109,350.468,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,12.25,11.44,3.197
IC0480,10.5,140.775,-4.604,4.475,8.0,63.455,69.29,4558.109,350.468,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,18.5,8.95,3.431
IC0480,13.5,143.305,-4.969,4.872,8.0,63.455,69.29,4558.109,350.468,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,23.0,7.298,3.317
IC0480,16.5,155.376,-6.876,7.653,8.0,63.455,69.29,4558.109,350.468,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,28.5,5.856,3.374
IC0480,19.5,168.858,-8.598,6.252,8.0,63.455,69.29,4558.109,350.468,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,33.25,4.756,3.111
IC0480,22.5,185.1,-10.33,13.516,8.0,63.455,69.29,4558.109,350.468,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,37.75,3.506,2.863
IC0944,1.5,247.17,-14.565,10.848,8.0,64.478,63.577,6835.364,284.396,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,13.0,15.09,2.23
IC0944,4.5,218.299,-13.12,13.383,8.0,64.478,63.577,6835.364,284.396,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,37.25,9.279,2.557
IC0944,7.5,187.317,-11.06,14.395,8.0,64.478,63.577,6835.364,284.396,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,62.0,4.958,1.43
IC0944,10.5,264.715,-10.964,9.153,8.0,64.478,63.577,6835.364,284.396,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,88.25,3.122,0.8097
IC0944,13.5,264.464,-28.166,38.078,8.0,64.478,63.577,6835.364,284.396,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,113.0,2.255,1.012
IC0944,16.5,298.261,-17.049,12.413,8.0,64.478,63.577,6835.364,284.396,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,135.5,1.578,0.9562
IC0944,19.5,296.342,-11.738,8.374,8.0,64.478,63.577,6835.364,284.396,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,133.2,0.971,0.7588
IC0944,22.5,319.808,-10.656,6.958,8.0,64.478,63.577,6835.364,284.396,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,119.0,0.8086,0.6386
