# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# meta: !!omap
# - {comments: Bbarolo first round results for run natv_fixvd_dilmsk}
# - {date: '2020-07-15'}
# schema: astropy-2.0
Name,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
IC0480,4.5,184.647,-8.089,8.041,8.0,63.455,69.29,4617.534,-2.8,2.798,346.676,-0.311,0.353,84.9,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,7.5,123.074,-4.41,4.41,8.0,63.455,69.29,4550.544,-2.503,2.503,346.579,-3.099,3.099,84.9,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,10.5,138.799,-4.031,4.516,8.0,63.455,69.29,4556.544,-1.805,1.869,349.167,-1.383,1.093,84.9,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,13.5,145.385,-5.034,4.167,8.0,63.455,69.29,4556.348,-2.478,2.189,352.9,-2.401,2.401,84.9,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,16.5,222.667,-7.098,6.466,8.0,63.455,69.29,4599.677,-8.123,8.505,345.74,-1.604,2.206,84.9,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,19.5,158.218,-5.839,6.803,8.0,63.455,69.29,4545.411,-5.026,5.347,352.9,-9.238,9.238,84.9,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,22.5,193.625,-6.149,4.87,8.0,63.455,69.29,4563.795,-2.837,2.229,350.312,-2.363,1.817,84.9,0.311,1,0,0,0,1,1,0,1,1,0
IC0944,1.5,242.492,-13.009,11.126,8.0,64.478,63.577,6833.776,-14.894,21.646,284.891,-5.488,5.488,63.7,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,4.5,218.95,-11.041,11.914,8.0,64.478,63.577,6837.136,-8.567,10.216,289.387,-6.536,7.377,63.7,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,7.5,229.266,-44.421,54.468,8.0,64.478,63.577,6823.824,-28.154,38.637,280.7,-3.042,3.042,63.7,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,10.5,223.119,-25.497,33.813,8.0,64.478,63.577,6845.304,-9.39,12.162,280.7,-2.673,2.673,63.7,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,13.5,220.414,-7.902,7.513,8.0,64.478,63.577,6882.174,-12.902,10.876,290.326,-4.168,4.168,63.7,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,16.5,273.155,-6.72,5.769,8.0,64.478,63.577,6815.604,-2.948,2.809,284.503,-2.123,2.657,63.7,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,19.5,222.577,-6.003,10.194,8.0,64.478,63.577,6782.768,-11.748,11.353,289.34,-0.918,0.918,63.7,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,22.5,241.103,-14.474,21.784,8.0,64.478,63.577,6834.757,-175.964,129.354,286.6,-2.796,2.796,63.7,0.205,1,0,0,0,1,1,0,1,1,0
IC0944,25.5,319.907,-3.899,2.808,8.0,64.478,63.577,6836.98,-1.543,1.179,280.7,-0.729,0.729,63.7,0.205,1,0,0,0,1,1,0,1,1,0
