# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
ARP220,1.5,1.094,-2.943,3.342,167.668,-6.882,8.159,79.318,78.104,5321.661,-2.355,2.674,168.585,-2.536,2.536,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,4.5,286.88,-45.368,45.368,7.878,-2.761,2.878,79.318,78.104,5331.283,-66.465,53.814,142.769,-4.939,4.939,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,7.5,223.556,-27.909,27.909,8.858,-3.09,2.362,79.318,78.104,5225.639,-67.817,80.097,158.379,-11.054,11.054,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,10.5,230.178,-37.03,58.006,18.796,-2.915,2.238,79.318,78.104,5335.191,-11.569,16.643,152.736,-6.329,6.329,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,13.5,178.03,-35.968,35.968,9.225,-2.707,2.314,79.318,78.104,5295.778,-372.503,349.928,145.149,-4.54,4.54,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,19.5,201.928,-16.078,20.985,8.33,-2.691,2.667,79.318,78.104,5257.746,-506.425,546.962,157.46,-4.027,2.72,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,22.5,191.857,-56.998,56.998,7.125,-12.643,12.643,79.318,78.104,6091.629,-347.375,347.375,159.706,-2.86,2.742,29.7,0.265,1,1,0,0,1,1,0,1,1,0
IC0480,1.5,146.109,-14.297,13.724,8.67,-4.498,3.093,79.455,85.29,4617.299,-4.937,4.518,355.766,-0.954,1.254,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,4.5,214.124,-16.071,22.93,8.873,-6.759,3.506,79.455,85.29,4436.643,-24.728,31.926,342.854,-7.259,7.259,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,7.5,207.782,-15.944,23.586,7.827,-4.719,2.892,79.455,85.29,4461.995,-21.69,24.803,359.794,-10.588,12.82,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,10.5,197.829,-19.82,15.069,8.36,-5.674,3.236,79.455,85.29,4505.344,-34.226,47.347,359.867,-14.93,16.413,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,13.5,141.427,-3.785,3.28,9.021,-4.892,6.255,79.455,85.29,4557.253,-3.603,3.493,353.949,-5.737,4.438,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,16.5,215.819,-7.641,8.686,7.94,-6.901,6.901,79.455,85.29,4614.498,-4.847,5.203,349.385,-4.847,5.226,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,19.5,196.345,-7.307,6.926,8.311,-2.981,3.828,79.455,85.29,4582.776,-3.22,3.209,356.268,-2.592,2.08,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,22.5,199.853,-10.655,8.182,8.426,-2.392,2.154,79.455,85.29,4578.363,-5.418,4.401,347.165,-9.545,7.535,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC1199,1.5,182.989,-20.519,14.877,8.183,-4.776,6.361,79.279,79.996,4727.445,-58.543,49.703,171.388,-2.176,1.953,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,4.5,48.84,-8.078,7.429,6.517,-3.673,2.328,79.279,79.996,4608.455,-4.308,4.436,154.688,-5.482,7.988,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,7.5,18.366,-4.393,4.104,7.701,-3.338,3.338,79.279,79.996,4627.881,-66.849,78.562,164.078,-7.49,7.49,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,10.5,193.368,-10.507,8.859,8.197,-2.354,3.016,79.279,79.996,4664.381,-9.341,10.07,158.72,-6.2,5.723,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,13.5,192.132,-6.966,5.984,8.357,-3.079,2.392,79.279,79.996,4663.087,-3.421,3.631,153.563,-4.866,6.15,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,16.5,192.918,-5.591,5.624,8.081,-2.548,2.134,79.279,79.996,4668.067,-3.192,3.228,155.882,-5.421,5.155,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,19.5,199.425,-5.728,6.378,7.699,-3.046,2.211,79.279,79.996,4671.947,-3.141,3.051,168.149,-5.84,4.596,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1199,22.5,204.271,-5.698,7.39,7.295,-3.093,2.167,79.279,79.996,4672.162,-76.776,65.294,170.59,-7.81,7.81,64.5,0.302,1,1,0,0,1,1,0,1,1,0
IC1683,1.5,150.139,-4.422,7.414,13.772,-2.477,2.975,79.897,80.032,4777.698,-5.386,6.134,184.244,-16.122,16.122,54.8,0.296,1,1,0,0,1,1,0,1,1,0
IC1683,4.5,180.07,-9.963,10.357,11.519,-2.471,2.208,79.897,80.032,4764.862,-4.578,5.197,187.938,-6.946,9.344,54.8,0.296,1,1,0,0,1,1,0,1,1,0
IC1683,7.5,194.008,-7.224,5.873,9.005,-6.693,7.894,79.897,80.032,4771.265,-4.778,5.167,194.356,-5.196,6.9,54.8,0.296,1,1,0,0,1,1,0,1,1,0
IC1683,10.5,189.689,-8.897,9.104,8.144,-5.873,3.442,79.897,80.032,4775.79,-5.907,4.671,199.375,-8.858,6.138,54.8,0.296,1,1,0,0,1,1,0,1,1,0
IC1683,13.5,189.76,-22.533,26.636,7.833,-2.184,2.958,79.897,80.032,4783.529,-6.987,8.224,206.162,-3.791,4.168,54.8,0.296,1,1,0,0,1,1,0,1,1,0
IC1683,16.5,203.735,-45.198,38.912,7.439,-2.836,3.672,79.897,80.032,4787.284,-20.098,23.572,210.222,-17.033,16.539,54.8,0.296,1,1,0,0,1,1,0,1,1,0
IC1683,19.5,196.794,-15.489,20.008,7.533,-4.349,5.605,79.897,80.032,5155.158,-142.534,142.534,210.596,-40.593,42.037,54.8,0.296,1,1,0,0,1,1,0,1,1,0
IC1683,22.5,159.721,-15.11,19.346,7.033,-2.398,2.241,79.897,80.032,5196.363,-4.542,5.694,196.528,-1.688,1.688,54.8,0.296,1,1,0,0,1,1,0,1,1,0
IC2247,1.5,201.572,-13.106,10.154,9.93,-4.176,4.176,80.858,79.458,4252.17,-27.48,33.904,137.977,-2.967,3.746,77.7,0.333,1,1,0,0,1,1,0,1,1,0
IC2247,4.5,187.953,-14.508,11.683,8.652,-4.925,3.159,80.858,79.458,4167.89,-40.635,51.956,154.338,-10.24,6.755,77.7,0.333,1,1,0,0,1,1,0,1,1,0
IC2247,10.5,154.658,-6.0,5.32,8.649,-4.585,7.233,80.858,79.458,4213.708,-2.646,3.138,159.682,-3.308,3.923,77.7,0.333,1,1,0,0,1,1,0,1,1,0
IC2247,13.5,170.352,-4.414,4.192,8.365,-4.755,7.065,80.858,79.458,4221.192,-4.406,4.928,143.086,-8.455,8.455,77.7,0.333,1,1,0,0,1,1,0,1,1,0
IC2247,16.5,179.68,-5.602,5.923,9.384,-7.216,6.395,80.858,79.458,4222.609,-4.509,4.085,156.581,-5.219,4.023,77.7,0.333,1,1,0,0,1,1,0,1,1,0
IC2247,19.5,190.846,-5.82,4.861,8.701,-6.835,6.289,80.858,79.458,4224.941,-5.557,4.86,151.412,-9.573,8.289,77.7,0.333,1,1,0,0,1,1,0,1,1,0
IC2247,22.5,219.791,-7.703,8.696,8.111,-6.298,6.298,80.858,79.458,4247.508,-5.401,4.872,149.731,-7.604,4.493,77.7,0.333,1,1,0,0,1,1,0,1,1,0
NGC0447,1.5,189.127,-7.964,7.964,8.767,-2.841,2.27,79.628,79.792,5502.332,-5.466,5.415,48.276,-12.085,12.085,29.1,0.259,1,1,0,0,1,1,0,1,1,0
NGC0447,4.5,199.87,-5.48,4.301,9.831,-3.228,3.909,79.628,79.792,5500.003,-3.988,4.052,45.916,-7.245,7.997,29.1,0.259,1,1,0,0,1,1,0,1,1,0
NGC0447,7.5,190.561,-26.498,22.666,8.633,-2.559,3.301,79.628,79.792,5498.024,-15.465,15.465,51.062,-9.569,9.038,29.1,0.259,1,1,0,0,1,1,0,1,1,0
NGC0447,16.5,213.33,-3.423,3.098,6.46,-2.709,2.592,79.628,79.792,5919.416,-2.528,1.869,42.122,-6.363,4.015,29.1,0.259,1,1,0,0,1,1,0,1,1,0
NGC0447,19.5,209.784,-40.99,36.051,7.797,-2.188,2.687,79.628,79.792,5672.354,-85.738,85.738,42.373,-31.891,30.712,29.1,0.259,1,1,0,0,1,1,0,1,1,0
NGC0447,22.5,200.368,-15.691,12.199,5.589,-2.842,2.242,79.628,79.792,5919.124,-5.512,4.731,55.839,-5.129,5.129,29.1,0.259,1,1,0,0,1,1,0,1,1,0
NGC0496,1.5,221.829,-15.176,15.781,8.384,-6.692,6.692,80.01,79.612,5760.43,-108.119,147.049,216.846,-12.184,12.184,57.0,0.236,1,1,0,0,1,1,0,1,1,0
NGC0496,4.5,232.703,-12.368,10.496,7.604,-6.11,5.576,80.01,79.612,6014.71,-7.814,7.549,220.871,-4.259,4.259,57.0,0.236,1,1,0,0,1,1,0,1,1,0
NGC0496,7.5,212.388,-12.275,12.418,8.506,-7.821,7.526,80.01,79.612,5813.721,-10.414,11.165,223.743,-8.596,6.521,57.0,0.236,1,1,0,0,1,1,0,1,1,0
NGC0496,10.5,219.365,-13.449,11.035,8.713,-5.172,6.749,80.01,79.612,5976.533,-40.534,33.567,216.717,-10.109,10.109,57.0,0.236,1,1,0,0,1,1,0,1,1,0
NGC0496,13.5,132.332,-7.841,6.814,8.245,-3.098,2.645,80.01,79.612,5895.528,-5.94,6.818,209.783,-5.428,7.718,57.0,0.236,1,1,0,0,1,1,0,1,1,0
NGC0496,16.5,152.178,-22.979,17.906,7.651,-2.222,2.182,80.01,79.612,5900.885,-18.708,19.602,221.41,-7.895,7.895,57.0,0.236,1,1,0,0,1,1,0,1,1,0
NGC0496,19.5,170.239,-26.062,16.219,7.588,-2.23,2.221,80.01,79.612,5915.375,-203.71,150.02,201.527,-3.753,3.753,57.0,0.236,1,1,0,0,1,1,0,1,1,0
NGC0496,22.5,177.988,-28.764,17.492,6.41,-2.937,2.695,80.01,79.612,5884.428,-160.939,189.214,231.467,-47.814,52.179,57.0,0.236,1,1,0,0,1,1,0,1,1,0
NGC0523,1.5,86.606,-6.81,5.679,9.361,-7.128,5.997,80.187,80.875,4716.426,-11.808,10.371,101.14,-5.604,4.289,71.6,0.304,1,1,0,0,1,1,0,1,1,0
NGC0523,4.5,174.435,-16.699,14.659,8.474,-8.259,7.115,80.187,80.875,4814.997,-43.716,34.655,101.183,-4.052,6.022,71.6,0.304,1,1,0,0,1,1,0,1,1,0
NGC0523,7.5,165.079,-27.638,16.226,8.362,-5.642,8.046,80.187,80.875,4715.742,-14.613,17.986,98.033,-9.385,9.385,71.6,0.304,1,1,0,0,1,1,0,1,1,0
NGC0523,10.5,168.0,-13.894,13.894,9.171,-5.038,6.562,80.187,80.875,4714.487,-22.927,28.774,105.452,-12.318,12.318,71.6,0.304,1,1,0,0,1,1,0,1,1,0
NGC0523,13.5,223.893,-28.512,21.651,7.184,-3.321,4.307,80.187,80.875,4793.028,-51.765,35.108,112.193,-20.899,15.266,71.6,0.304,1,1,0,0,1,1,0,1,1,0
NGC0523,16.5,158.959,-15.198,19.231,9.08,-3.287,4.215,80.187,80.875,4729.173,-19.986,17.935,110.979,-9.618,10.345,71.6,0.304,1,1,0,0,1,1,0,1,1,0
NGC0523,19.5,206.08,-19.52,21.201,7.554,-3.131,4.01,80.187,80.875,4732.46,-20.45,19.591,112.149,-10.775,11.201,71.6,0.304,1,1,0,0,1,1,0,1,1,0
NGC0523,22.5,229.539,-16.385,14.346,7.501,-3.102,3.976,80.187,80.875,4731.5,-4.872,4.58,110.674,-6.09,5.725,71.6,0.304,1,1,0,0,1,1,0,1,1,0
NGC0551,4.5,135.601,-18.108,22.153,6.865,-3.185,4.158,79.273,79.812,5537.359,-7.997,8.515,136.596,-10.695,7.749,64.2,0.277,1,1,0,0,1,1,0,1,1,0
NGC0551,7.5,3.257,-5.805,5.923,7.163,-2.729,3.022,79.273,79.812,5230.707,-8.863,9.042,137.214,-11.628,11.628,64.2,0.277,1,1,0,0,1,1,0,1,1,0
