# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: float64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: Bbarolo second round results for run smo7_fitvd_dilmsk}
# - {date: '2023-12-03'}
# schema: astropy-2.0
Name,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
IC0480,1.5,73.695,-5.817,4.602,31.476,-4.582,5.222,63.455,69.29,4551.514,351.429,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,2.5,26.13,0.9158
IC0480,4.5,82.271,-5.314,4.335,33.556,-3.726,3.863,63.455,69.29,4551.514,351.429,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,7.5,23.45,2.617
IC0480,7.5,107.942,-3.946,4.173,30.621,-3.515,2.972,63.455,69.29,4551.514,351.429,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,13.25,19.52,4.385
IC0480,10.5,128.657,-5.59,4.032,25.353,-4.627,4.207,63.455,69.29,4551.514,351.429,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,17.25,15.88,5.429
IC0480,13.5,140.358,-3.972,3.557,15.133,-4.19,4.124,63.455,69.29,4551.514,351.429,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,22.5,13.32,6.024
IC0480,16.5,152.51,-4.421,4.485,10.813,-6.232,5.96,63.455,69.29,4551.514,351.429,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,27.5,11.17,6.209
IC0480,19.5,159.819,-5.03,5.216,11.553,-7.64,6.324,63.455,69.29,4551.514,351.429,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,32.75,9.108,6.093
IC0480,22.5,178.425,-9.352,10.461,14.946,-9.79,9.79,63.455,69.29,4551.514,351.429,84.87,0.314,1,1,0,0,-1,-1,0,1,1,0,38.0,7.478,6.158
IC0944,1.5,199.76,-14.576,12.064,63.589,-7.179,7.634,64.478,63.577,6841.703,281.899,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,13.0,23.23,1.582
IC0944,4.5,205.189,-16.085,13.493,50.964,-9.357,11.312,64.478,63.577,6841.703,281.899,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,37.5,17.2,2.985
IC0944,7.5,194.633,-14.95,19.391,51.261,-9.592,9.418,64.478,63.577,6841.703,281.899,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,62.0,11.36,2.398
IC0944,10.5,227.723,-33.94,37.094,72.948,-16.97,18.547,64.478,63.577,6841.703,281.899,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,87.5,7.443,1.755
IC0944,13.5,279.904,-20.302,25.859,34.621,-8.752,8.752,64.478,63.577,6841.703,281.899,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,111.8,4.944,1.83
IC0944,16.5,309.907,-7.754,7.259,6.221,-3.877,3.63,64.478,63.577,6841.703,281.899,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,137.5,3.213,1.789
IC0944,19.5,311.823,-9.646,8.794,8.652,-8.463,8.463,64.478,63.577,6841.703,281.899,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,152.0,2.244,1.579
IC0944,22.5,320.351,-7.86,5.85,5.208,-6.256,6.256,64.478,63.577,6841.703,281.899,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,149.2,1.73,1.335
IC0944,25.5,319.155,-7.538,6.96,4.713,-5.488,5.488,64.478,63.577,6841.703,281.899,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,153.0,1.415,1.164
IC0944,28.5,214.093,-41.698,51.87,25.246,-12.099,8.988,64.478,63.577,6841.703,281.899,63.707,0.204,1,1,0,0,-1,-1,0,1,1,0,163.8,1.083,0.9386
IC1199,1.5,115.587,-5.843,9.08,20.573,-5.178,5.561,63.407,64.2,4665.568,162.578,72.01,0.303,1,1,0,0,-1,-1,0,1,1,0,8.5,9.559,1.001
IC1199,4.5,126.862,-10.218,12.452,18.764,-6.926,7.245,63.407,64.2,4665.568,162.578,72.01,0.303,1,1,0,0,-1,-1,0,1,1,0,26.5,6.983,2.057
IC1199,7.5,181.63,-10.164,7.775,5.677,-4.909,6.424,63.407,64.2,4665.568,162.578,72.01,0.303,1,1,0,0,-1,-1,0,1,1,0,43.75,4.86,2.18
IC1199,10.5,186.345,-5.06,4.355,0.233,-5.433,5.433,63.407,64.2,4665.568,162.578,72.01,0.303,1,1,0,0,-1,-1,0,1,1,0,61.0,4.079,1.62
IC1199,13.5,185.028,-3.949,2.539,1.367,-3.17,3.17,63.407,64.2,4665.568,162.578,72.01,0.303,1,1,0,0,-1,-1,0,1,1,0,79.0,3.651,1.18
IC1199,16.5,187.968,-5.529,4.411,3.186,-4.576,4.576,63.407,64.2,4665.568,162.578,72.01,0.303,1,1,0,0,-1,-1,0,1,1,0,94.75,3.151,0.9875
IC1199,19.5,193.885,-4.919,4.785,1.242,-3.973,3.973,63.407,64.2,4665.568,162.578,72.01,0.303,1,1,0,0,-1,-1,0,1,1,0,113.8,2.576,0.742
IC1199,22.5,200.052,-7.369,5.531,4.767,-2.977,2.674,63.407,64.2,4665.568,162.578,72.01,0.303,1,1,0,0,-1,-1,0,1,1,0,130.5,1.933,0.6036
IC1683,1.5,143.913,-4.138,3.776,43.003,-4.436,5.17,64.495,63.6,4785.342,197.075,66.401,0.297,1,1,0,0,-1,-1,0,1,1,0,12.0,43.66,4.889
IC1683,4.5,155.206,-6.62,5.315,53.22,-6.73,4.995,64.495,63.6,4785.342,197.075,66.401,0.297,1,1,0,0,-1,-1,0,1,1,0,34.0,31.18,9.107
IC1683,7.5,172.33,-10.043,8.993,37.762,-11.22,9.546,64.495,63.6,4785.342,197.075,66.401,0.297,1,1,0,0,-1,-1,0,1,1,0,56.0,17.99,9.874
IC1683,10.5,178.477,-8.601,7.894,12.846,-12.027,11.332,64.495,63.6,4785.342,197.075,66.401,0.297,1,1,0,0,-1,-1,0,1,1,0,79.75,9.945,7.784
IC1683,13.5,194.788,-21.685,18.902,1.369,-8.301,8.301,64.495,63.6,4785.342,197.075,66.401,0.297,1,1,0,0,-1,-1,0,1,1,0,98.75,5.355,5.406
IC1683,16.5,183.787,-17.776,26.626,1.814,-4.136,4.136,64.495,63.6,4785.342,197.075,66.401,0.297,1,1,0,0,-1,-1,0,1,1,0,89.25,3.92,3.746
IC1683,19.5,217.216,-28.51,25.774,0.305,-5.284,5.284,64.495,63.6,4785.342,197.075,66.401,0.297,1,1,0,0,-1,-1,0,1,1,0,70.75,3.221,2.456
IC1683,22.5,215.371,-27.117,24.065,0.726,-4.043,4.043,64.495,63.6,4785.342,197.075,66.401,0.297,1,1,0,0,-1,-1,0,1,1,0,63.75,2.433,1.723
IC2247,1.5,61.932,-5.871,6.445,35.829,-3.314,4.833,64.858,63.458,4222.534,150.867,86.503,0.338,1,1,0,0,-1,-1,0,1,1,0,1.25,15.88,0.5655
IC2247,4.5,103.304,-8.19,6.621,39.236,-5.209,6.51,64.858,63.458,4222.534,150.867,86.503,0.338,1,1,0,0,-1,-1,0,1,1,0,5.25,14.3,1.296
IC2247,7.5,132.901,-8.76,7.492,37.627,-6.714,7.455,64.858,63.458,4222.534,150.867,86.503,0.338,1,1,0,0,-1,-1,0,1,1,0,9.0,12.98,1.82
IC2247,10.5,155.373,-5.379,5.286,23.476,-5.659,6.68,64.858,63.458,4222.534,150.867,86.503,0.338,1,1,0,0,-1,-1,0,1,1,0,11.75,11.64,2.24
IC2247,13.5,168.517,-4.51,5.146,18.708,-4.971,6.271,64.858,63.458,4222.534,150.867,86.503,0.338,1,1,0,0,-1,-1,0,1,1,0,16.25,10.36,2.516
IC2247,16.5,181.174,-5.232,4.821,16.948,-7.476,7.842,64.858,63.458,4222.534,150.867,86.503,0.338,1,1,0,0,-1,-1,0,1,1,0,18.5,9.333,2.956
IC2247,19.5,191.786,-5.193,5.54,14.401,-7.812,9.278,64.858,63.458,4222.534,150.867,86.503,0.338,1,1,0,0,-1,-1,0,1,1,0,22.5,8.06,3.39
IC2247,22.5,197.104,-7.643,7.632,17.803,-14.274,11.769,64.858,63.458,4222.534,150.867,86.503,0.338,1,1,0,0,-1,-1,0,1,1,0,27.0,7.029,3.572
IC2487,1.5,111.761,-12.738,9.422,23.753,-7.754,9.152,64.079,64.28,4280.511,346.26,79.821,0.333,1,1,0,0,-1,-1,0,1,1,0,5.0,8.498,0.877
IC2487,4.5,97.955,-11.27,10.053,25.517,-9.83,6.738,64.079,64.28,4280.511,346.26,79.821,0.333,1,1,0,0,-1,-1,0,1,1,0,15.25,7.423,1.293
IC2487,7.5,113.985,-8.0,7.858,20.976,-6.115,6.463,64.079,64.28,4280.511,346.26,79.821,0.333,1,1,0,0,-1,-1,0,1,1,0,24.5,7.028,0.9559
IC2487,10.5,128.66,-7.413,6.346,22.484,-6.044,5.181,64.079,64.28,4280.511,346.26,79.821,0.333,1,1,0,0,-1,-1,0,1,1,0,34.75,6.61,0.751
IC2487,13.5,143.819,-5.536,6.55,17.665,-4.468,6.149,64.079,64.28,4280.511,346.26,79.821,0.333,1,1,0,0,-1,-1,0,1,1,0,46.5,5.915,0.8329
IC2487,16.5,157.172,-9.042,5.602,14.253,-6.312,5.359,64.079,64.28,4280.511,346.26,79.821,0.333,1,1,0,0,-1,-1,0,1,1,0,53.25,4.984,1.091
IC2487,19.5,165.178,-5.435,5.81,7.391,-4.489,4.489,64.079,64.28,4280.511,346.26,79.821,0.333,1,1,0,0,-1,-1,0,1,1,0,64.25,4.083,1.437
IC2487,22.5,165.245,-5.78,5.594,6.76,-3.923,3.923,64.079,64.28,4280.511,346.26,79.821,0.333,1,1,0,0,-1,-1,0,1,1,0,76.5,3.266,1.462
IC2487,25.5,164.283,-5.06,6.118,2.796,-4.677,4.677,64.079,64.28,4280.511,346.26,79.821,0.333,1,1,0,0,-1,-1,0,1,1,0,85.0,2.688,1.285
IC2487,28.5,170.716,-7.024,8.418,3.873,-5.464,5.464,64.079,64.28,4280.511,346.26,79.821,0.333,1,1,0,0,-1,-1,0,1,1,0,91.75,2.23,1.078
IC4566,1.5,57.506,-13.092,10.122,2.027,-2.642,2.642,64.428,64.109,5496.337,325.639,50.164,0.256,1,1,0,0,-1,-1,0,1,1,0,15.5,0.9076,0.6384
IC4566,4.5,114.788,-7.482,10.066,0.215,-4.466,4.466,64.428,64.109,5496.337,325.639,50.164,0.256,1,1,0,0,-1,-1,0,1,1,0,52.0,1.23,0.7913
IC4566,7.5,131.79,-13.937,17.151,9.826,-8.943,8.943,64.428,64.109,5496.337,325.639,50.164,0.256,1,1,0,0,-1,-1,0,1,1,0,90.25,1.42,0.8865
IC4566,10.5,220.571,-14.513,12.507,10.793,-6.826,6.826,64.428,64.109,5496.337,325.639,50.164,0.256,1,1,0,0,-1,-1,0,1,1,0,126.2,2.137,0.9767
IC4566,13.5,232.06,-7.614,6.292,1.658,-8.32,8.32,64.428,64.109,5496.337,325.639,50.164,0.256,1,1,0,0,-1,-1,0,1,1,0,163.8,2.681,0.9127
IC4566,16.5,235.187,-7.558,7.455,6.186,-4.731,4.731,64.428,64.109,5496.337,325.639,50.164,0.256,1,1,0,0,-1,-1,0,1,1,0,200.2,2.592,1.011
IC4566,19.5,235.898,-7.414,6.124,0.512,-7.878,7.878,64.428,64.109,5496.337,325.639,50.164,0.256,1,1,0,0,-1,-1,0,1,1,0,234.2,1.959,1.123
IC4566,22.5,231.05,-12.051,10.401,1.523,-6.289,6.289,64.428,64.109,5496.337,325.639,50.164,0.256,1,1,0,0,-1,-1,0,1,1,0,250.0,1.244,0.933
NGC0447,1.5,340.172,-20.769,20.789,28.374,-6.286,5.658,64.002,63.5,5519.673,46.594,13.841,0.259,1,1,0,0,-1,-1,0,1,1,0,28.0,14.42,1.935
NGC0447,4.5,334.588,-24.074,22.687,27.466,-6.569,6.333,64.002,63.5,5519.673,46.594,13.841,0.259,1,1,0,0,-1,-1,0,1,1,0,82.0,8.307,2.789
NGC0447,7.5,315.239,-60.43,46.257,26.151,-9.619,7.588,64.002,63.5,5519.673,46.594,13.841,0.259,1,1,0,0,-1,-1,0,1,1,0,137.2,2.581,1.608
NGC0447,10.5,309.113,-57.749,58.063,1.05,-3.634,3.634,64.002,63.5,5519.673,46.594,13.841,0.259,1,1,0,0,-1,-1,0,1,1,0,124.2,0.6216,0.4456
NGC0447,13.5,119.051,-23.174,22.087,3.22,-2.866,2.603,64.002,63.5,5519.673,46.594,13.841,0.259,1,1,0,0,-1,-1,0,1,1,0,48.25,0.3171,0.1946
NGC0477,1.5,254.977,-30.007,27.509,2.918,-11.519,11.519,65.645,64.273,5767.429,319.513,71.011,0.242,1,1,0,0,-1,-1,0,1,1,0,9.0,2.281,1.013
NGC0477,4.5,113.003,-8.661,11.125,1.373,-5.693,5.693,65.645,64.273,5767.429,319.513,71.011,0.242,1,1,0,0,-1,-1,0,1,1,0,28.0,2.231,1.218
NGC0477,7.5,112.399,-11.116,16.258,2.048,-6.601,6.601,65.645,64.273,5767.429,319.513,71.011,0.242,1,1,0,0,-1,-1,0,1,1,0,46.75,1.767,0.9215
NGC0477,10.5,138.547,-10.078,10.624,0.844,-4.937,4.937,65.645,64.273,5767.429,319.513,71.011,0.242,1,1,0,0,-1,-1,0,1,1,0,56.25,1.459,0.8218
NGC0477,13.5,132.417,-11.068,8.767,3.219,-5.37,5.37,65.645,64.273,5767.429,319.513,71.011,0.242,1,1,0,0,-1,-1,0,1,1,0,67.0,1.328,0.7129
NGC0477,16.5,5.79,-2.992,3.903,17.102,-5.984,7.805,65.645,64.273,5767.429,319.513,71.011,0.242,1,1,0,0,-1,-1,0,1,1,0,82.25,1.057,0.6399
NGC0477,19.5,165.559,-19.563,14.947,0.985,-3.512,3.512,65.645,64.273,5767.429,319.513,71.011,0.242,1,1,0,0,-1,-1,0,1,1,0,95.75,0.9252,0.5853
NGC0477,22.5,175.933,-10.702,8.842,0.374,-3.185,3.185,65.645,64.273,5767.429,319.513,71.011,0.242,1,1,0,0,-1,-1,0,1,1,0,113.8,0.9307,0.6174
NGC0496,1.5,51.605,-4.358,3.621,19.696,-4.751,3.466,64.01,63.612,5894.09,218.743,70.301,0.236,1,1,0,0,-1,-1,0,1,1,0,9.75,9.589,0.3912
NGC0496,4.5,72.805,-3.371,3.059,15.97,-3.138,2.421,64.01,63.612,5894.09,218.743,70.301,0.236,1,1,0,0,-1,-1,0,1,1,0,28.25,8.304,0.9196
NGC0496,7.5,91.346,-3.267,2.442,11.597,-3.796,3.174,64.01,63.612,5894.09,218.743,70.301,0.236,1,1,0,0,-1,-1,0,1,1,0,48.0,6.486,1.4
NGC0496,10.5,106.214,-4.064,2.459,0.601,-6.997,6.997,64.01,63.612,5894.09,218.743,70.301,0.236,1,1,0,0,-1,-1,0,1,1,0,66.25,4.684,1.662
NGC0496,13.5,117.51,-3.72,4.488,0.252,-3.651,3.651,64.01,63.612,5894.09,218.743,70.301,0.236,1,1,0,0,-1,-1,0,1,1,0,85.75,3.303,1.627
NGC0496,16.5,128.279,-4.829,4.82,1.777,-3.391,3.391,64.01,63.612,5894.09,218.743,70.301,0.236,1,1,0,0,-1,-1,0,1,1,0,104.8,2.346,1.373
NGC0496,19.5,133.877,-5.323,4.743,1.149,-2.798,2.798,64.01,63.612,5894.09,218.743,70.301,0.236,1,1,0,0,-1,-1,0,1,1,0,123.2,1.717,1.146
NGC0496,22.5,137.546,-6.437,9.122,1.95,-3.028,2.475,64.01,63.612,5894.09,218.743,70.301,0.236,1,1,0,0,-1,-1,0,1,1,0,121.5,1.335,0.9404
NGC0523,1.5,26.546,-8.649,8.649,67.97,-12.135,6.526,63.642,63.984,4729.457,101.448,76.459,0.3,1,1,0,0,-1,-1,0,1,1,0,7.0,12.38,1.559
NGC0523,4.5,96.311,-13.085,11.003,35.298,-7.991,10.685,63.642,63.984,4729.457,101.448,76.459,0.3,1,1,0,0,-1,-1,0,1,1,0,20.0,9.797,2.863
NGC0523,7.5,105.873,-17.81,20.505,38.272,-9.086,11.614,63.642,63.984,4729.457,101.448,76.459,0.3,1,1,0,0,-1,-1,0,1,1,0,30.75,7.514,3.387
NGC0523,10.5,139.271,-17.58,19.017,31.488,-11.006,10.545,63.642,63.984,4729.457,101.448,76.459,0.3,1,1,0,0,-1,-1,0,1,1,0,48.0,6.098,2.963
