# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# meta: !!omap
# - {comments: Bbarolo first round results for run smo7_fitvd_dilmsk}
# - {date: '2023-12-03'}
# schema: astropy-2.0
Name,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
IC0480,1.5,202.724,-10.142,12.2,17.134,-4.755,4.755,63.455,69.29,4665.626,-16.976,15.64,352.9,-7.968,8.149,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,4.5,174.9,-22.632,15.046,15.371,-7.096,5.06,63.455,69.29,4504.11,-20.443,15.476,346.899,-0.509,0.668,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,7.5,106.028,-5.744,4.43,33.068,-3.411,3.679,63.455,69.29,4548.897,-2.289,2.027,352.9,-2.861,2.534,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,10.5,186.632,-9.479,11.161,11.436,-5.617,5.617,63.455,69.29,4603.339,-11.29,9.661,349.021,-1.364,1.141,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,13.5,144.036,-4.299,4.233,12.242,-5.119,7.103,63.455,69.29,4553.266,-3.308,3.787,352.9,-3.814,3.814,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,16.5,152.202,-5.128,5.111,12.205,-5.21,7.211,63.455,69.29,4549.761,-3.364,3.702,349.959,-3.118,2.488,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,19.5,161.306,-5.653,6.925,10.013,-9.183,11.583,63.455,69.29,4547.146,-3.709,4.627,352.9,-4.636,5.784,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0480,22.5,184.577,-10.534,13.446,7.051,-5.042,5.042,63.455,69.29,4556.06,-4.724,5.452,350.896,-3.319,3.319,84.87,0.314,1,1,0,0,1,1,0,1,1,0
IC0944,1.5,195.291,-9.67,10.889,60.993,-7.333,10.312,64.478,63.577,6846.755,-13.359,13.471,281.953,-5.206,5.206,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,4.5,197.338,-10.588,13.573,51.062,-7.723,9.1,64.478,63.577,6842.785,-4.578,5.668,280.713,-5.722,7.085,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,7.5,199.523,-17.131,18.129,49.5,-8.31,10.187,64.478,63.577,6843.75,-23.2,15.714,282.95,-12.16,11.007,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,10.5,227.723,-33.776,33.033,62.948,-10.066,10.066,64.478,63.577,6840.621,-25.6,28.355,284.521,-3.011,3.011,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,13.5,312.845,-10.946,9.086,16.172,-5.2,4.619,64.478,63.577,6852.793,-4.16,3.695,281.266,-5.695,5.695,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,16.5,274.238,-12.155,9.361,12.777,-8.029,8.029,64.478,63.577,6820.791,-11.35,14.128,284.065,-2.345,3.439,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,19.5,315.249,-8.544,6.873,5.424,-4.692,5.929,64.478,63.577,6850.59,-3.795,3.686,280.7,-1.943,1.943,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,22.5,222.099,-13.637,13.965,13.513,-6.079,6.079,64.478,63.577,6766.699,-18.55,18.55,282.704,-1.42,1.79,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,25.5,210.799,-11.048,9.047,13.571,-5.683,5.683,64.478,63.577,6747.25,-4.566,4.066,280.7,-1.532,1.532,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC0944,28.5,258.156,-6.646,8.088,6.106,-3.581,4.546,64.478,63.577,6789.216,-10.707,10.052,280.838,-1.468,1.468,63.707,0.204,1,1,0,0,1,1,0,1,1,0
IC1199,1.5,118.172,-4.405,3.507,12.103,-4.357,7.346,63.407,64.2,4654.289,-2.19,2.713,163.544,-2.738,3.391,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,4.5,154.433,-10.327,8.528,15.09,-8.68,9.642,63.407,64.2,4665.609,-19.492,22.386,163.166,-2.658,2.658,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,7.5,182.34,-17.76,13.656,10.313,-4.441,5.729,63.407,64.2,4670.966,-19.623,13.287,156.978,-2.655,3.581,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,10.5,187.048,-6.25,5.263,7.403,-6.651,4.4,63.407,64.2,4665.527,-5.416,4.606,164.295,-8.762,8.762,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,13.5,185.819,-4.408,3.693,7.101,-3.113,2.199,63.407,64.2,4664.116,-1.445,1.377,161.739,-1.806,1.721,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,16.5,187.426,-3.467,4.611,8.145,-2.338,2.873,63.407,64.2,4664.194,-1.208,1.618,163.503,-1.51,2.022,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,19.5,194.823,-4.036,3.292,1.139,-3.757,3.757,63.407,64.2,4667.569,-2.609,2.423,161.392,-2.642,2.642,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1199,22.5,200.638,-6.151,4.575,5.011,-2.524,2.467,63.407,64.2,4666.865,-2.586,2.165,162.125,-2.307,1.618,72.01,0.303,1,1,0,0,1,1,0,1,1,0
IC1683,1.5,140.779,-2.725,3.534,42.451,-3.313,3.461,64.495,63.6,4779.768,-1.509,1.749,190.716,-1.887,2.186,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,4.5,158.736,-7.209,6.685,46.854,-6.351,7.253,64.495,63.6,4785.181,-3.39,3.484,194.16,-4.237,4.355,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,7.5,172.713,-7.676,8.347,26.57,-6.787,6.787,64.495,63.6,4779.416,-4.153,4.508,193.689,-2.15,2.899,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,10.5,177.628,-6.511,6.3,12.897,-6.553,6.553,64.495,63.6,4774.602,-4.484,4.431,196.14,-4.871,4.871,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,13.5,193.96,-18.942,18.644,7.739,-4.11,5.407,64.495,63.6,4785.503,-13.69,14.776,199.009,-9.185,9.707,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,16.5,213.787,-23.21,26.964,1.614,-4.484,4.484,64.495,63.6,4802.926,-8.5,9.439,200.6,-6.307,6.307,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,19.5,216.513,-26.552,28.892,0.107,-6.827,6.827,64.495,63.6,4794.908,-8.345,8.93,198.851,-10.431,11.162,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC1683,22.5,222.871,-24.447,31.011,0.801,-4.776,4.776,64.495,63.6,4790.856,-9.196,7.37,200.6,-9.605,10.789,66.401,0.297,1,1,0,0,1,1,0,1,1,0
IC2247,1.5,166.97,-12.77,9.776,11.497,-3.715,2.882,64.858,63.458,4282.741,-17.237,14.394,152.933,-8.431,6.763,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,4.5,97.057,-9.781,15.339,18.322,-2.982,3.029,64.858,63.458,4226.285,-3.596,4.902,143.541,-2.864,2.864,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,7.5,137.348,-8.93,7.475,30.8,-6.879,10.402,64.858,63.458,4221.743,-8.893,10.311,146.3,-0.418,0.323,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,10.5,157.333,-4.534,4.622,11.514,-3.07,3.021,64.858,63.458,4216.683,-2.187,1.997,149.668,-2.51,2.071,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,13.5,169.445,-4.364,4.214,12.838,-5.284,7.193,64.858,63.458,4220.808,-2.899,3.339,152.49,-1.947,1.947,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,16.5,182.003,-5.379,5.11,11.423,-6.259,10.928,64.858,63.458,4222.117,-2.91,4.01,153.5,-3.637,5.012,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,19.5,191.83,-6.009,5.152,14.319,-7.691,7.399,64.858,63.458,4222.952,-4.382,4.095,153.5,-3.829,3.829,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2247,22.5,195.126,-7.542,8.595,20.535,-10.963,9.699,64.858,63.458,4223.09,-5.226,5.009,150.309,-2.401,1.74,86.503,0.338,1,1,0,0,1,1,0,1,1,0
IC2487,1.5,200.516,-14.984,11.524,8.94,-8.629,9.811,64.079,64.28,4340.977,-6.806,6.013,344.423,-3.613,2.715,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC2487,4.5,198.678,-12.527,11.076,10.532,-9.79,9.702,64.079,64.28,4341.147,-12.769,14.579,346.83,-8.772,8.839,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC2487,7.5,116.47,-7.178,5.999,19.694,-5.858,5.827,64.079,64.28,4272.272,-10.238,10.885,341.269,-5.819,5.678,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC2487,10.5,129.81,-6.394,6.539,19.297,-6.476,5.892,64.079,64.28,4272.815,-3.218,3.108,344.888,-4.022,3.885,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC2487,13.5,146.012,-5.709,6.542,18.703,-4.076,5.31,64.079,64.28,4274.897,-3.766,4.282,345.948,-5.278,5.278,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC2487,16.5,162.783,-8.806,6.469,16.412,-9.202,4.954,64.079,64.28,4277.828,-4.502,2.856,347.9,-5.628,3.57,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC2487,19.5,166.672,-6.499,6.552,10.059,-3.169,3.169,64.079,64.28,4280.803,-3.36,3.373,346.823,-3.772,3.772,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC2487,22.5,168.76,-8.995,6.785,13.498,-3.04,2.668,64.079,64.28,4284.982,-3.915,3.481,345.956,-5.255,5.255,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC2487,25.5,170.179,-9.72,7.598,8.4,-2.631,3.32,64.079,64.28,4280.311,-4.563,4.205,347.9,-5.902,5.902,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC2487,28.5,171.507,-8.035,8.721,6.951,-3.913,4.429,64.079,64.28,4280.712,-2.987,3.288,347.314,-3.734,4.109,79.821,0.333,1,1,0,0,1,1,0,1,1,0
IC4566,1.5,101.442,-9.413,11.972,12.103,-4.266,3.912,64.428,64.109,5479.615,-97.016,130.062,320.052,-2.402,2.402,50.164,0.256,1,1,0,0,1,1,0,1,1,0
IC4566,4.5,1.272,-0.331,0.331,19.628,-5.973,4.828,64.428,64.109,5575.491,-2.035,1.749,325.743,-1.837,1.837,50.164,0.256,1,1,0,0,1,1,0,1,1,0
