# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
ARP220,1.5,383.558,-52.608,62.627,8.0,79.318,78.104,5342.77,151.791,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,24,4.88,0.584
ARP220,4.5,410.827,-86.626,67.808,8.0,79.318,78.104,5342.77,151.791,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,73,2.493,0.8261
ARP220,7.5,262.219,-37.955,34.03,8.0,79.318,78.104,5342.77,151.791,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,123,0.7065,0.3808
ARP220,10.5,368.279,-35.522,46.652,8.0,79.318,78.104,5342.77,151.791,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,172,0.1432,0.1089
ARP220,13.5,249.784,-22.144,17.846,8.0,79.318,78.104,5342.77,151.791,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,215,0.03035,0.03093
ARP220,16.5,241.085,-25.941,32.783,8.0,79.318,78.104,5342.77,151.791,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,154,0.01585,0.01766
ARP220,19.5,315.341,-101.538,101.538,8.0,79.318,78.104,5342.77,151.791,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,52,0.02406,0.01753
ARP220,22.5,250.56,0.0,0.0,8.0,79.318,78.104,5342.77,151.791,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,35,0.01839,0.009967
IC0480,1.5,61.997,-7.082,5.64,8.0,79.455,85.29,4571.644,355.887,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,6,0.4551,0.01509
IC0480,4.5,276.074,-49.059,53.023,8.0,79.455,85.29,4571.644,355.887,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,21,0.4034,0.04002
IC0480,7.5,276.868,-65.535,68.941,8.0,79.455,85.29,4571.644,355.887,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,30,0.3138,0.0673
IC0480,10.5,133.911,-5.92,5.716,8.0,79.455,85.29,4571.644,355.887,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,48,0.2362,0.0724
IC0480,13.5,140.096,-5.622,4.855,8.0,79.455,85.29,4571.644,355.887,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,56,0.1619,0.06557
IC0480,16.5,146.941,-4.626,6.116,8.0,79.455,85.29,4571.644,355.887,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,73,0.1188,0.06518
IC0480,19.5,173.592,-14.376,10.677,8.0,79.455,85.29,4571.644,355.887,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,82,0.0757,0.05218
IC0480,22.5,194.336,-15.801,10.993,8.0,79.455,85.29,4571.644,355.887,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,80,0.05414,0.03732
