# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: float64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: Bbarolo second round results for run smo7_fixvd_dilmsk}
# - {date: '2023-12-03'}
# schema: astropy-2.0
Name,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
IC0480,1.5,63.731,-5.649,5.094,8.0,63.455,69.29,4551.514,349.953,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,2.5,26.13,0.9158
IC0480,4.5,89.161,-9.751,8.45,8.0,63.455,69.29,4551.514,349.953,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,7.25,23.66,2.529
IC0480,7.5,293.809,-47.224,49.35,8.0,63.455,69.29,4551.514,349.953,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,12.5,19.62,4.467
IC0480,10.5,137.224,-5.479,4.773,8.0,63.455,69.29,4551.514,349.953,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,18.75,15.91,5.344
IC0480,13.5,142.373,-3.552,4.059,8.0,63.455,69.29,4551.514,349.953,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,23.0,13.21,5.904
IC0480,16.5,151.814,-4.011,6.357,8.0,63.455,69.29,4551.514,349.953,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,27.75,11.06,6.121
IC0480,19.5,162.027,-4.869,4.129,8.0,63.455,69.29,4551.514,349.953,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,32.0,9.51,6.191
IC0480,22.5,171.937,-6.689,7.469,8.0,63.455,69.29,4551.514,349.953,84.87,0.314,1,0,0,0,-1,-1,0,1,1,0,36.5,7.679,6.042
IC0944,1.5,235.279,-17.102,14.29,8.0,64.478,63.577,6826.139,284.588,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,13.0,23.17,1.665
IC0944,4.5,220.318,-19.962,19.281,8.0,64.478,63.577,6826.139,284.588,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,37.25,17.35,2.907
IC0944,7.5,194.404,-15.964,22.16,8.0,64.478,63.577,6826.139,284.588,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,62.0,11.32,2.286
IC0944,10.5,275.619,-21.815,15.857,8.0,64.478,63.577,6826.139,284.588,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,88.75,7.575,1.663
IC0944,13.5,276.141,-10.772,12.162,8.0,64.478,63.577,6826.139,284.588,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,112.0,5.023,1.622
IC0944,16.5,341.713,-23.161,13.175,8.0,64.478,63.577,6826.139,284.588,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,139.0,3.285,1.635
IC0944,19.5,286.431,-16.112,13.095,8.0,64.478,63.577,6826.139,284.588,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,153.8,2.179,1.473
IC0944,22.5,297.068,-12.734,11.241,8.0,64.478,63.577,6826.139,284.588,63.707,0.204,1,0,0,0,-1,-1,0,1,1,0,153.0,1.668,1.268
