# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# meta: !!omap
# - {comments: Bbarolo first round results for run smo7_fixvd_dilmsk}
# - {date: '2023-12-03'}
# schema: astropy-2.0
Name,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
IC0480,1.5,209.981,-17.409,22.973,8.0,63.455,69.29,4683.245,-24.912,19.345,346.445,-0.899,0.64,84.87,0.314,1,0,0,0,1,1,0,1,1,0
IC0480,4.5,203.068,-36.786,26.928,8.0,63.455,69.29,4461.391,-29.65,29.65,346.915,-0.54,0.693,84.87,0.314,1,0,0,0,1,1,0,1,1,0
IC0480,7.5,226.309,-16.95,12.754,8.0,63.455,69.29,4467.511,-19.454,13.777,352.9,-12.135,8.844,84.87,0.314,1,0,0,0,1,1,0,1,1,0
IC0480,10.5,197.458,-13.119,9.834,8.0,63.455,69.29,4605.49,-4.468,3.368,349.012,-0.284,0.27,84.87,0.314,1,0,0,0,1,1,0,1,1,0
IC0480,13.5,145.655,-4.288,3.926,8.0,63.455,69.29,4554.788,-2.693,2.572,352.9,-3.79,3.79,84.87,0.314,1,0,0,0,1,1,0,1,1,0
IC0480,16.5,151.931,-3.881,4.928,8.0,63.455,69.29,4551.627,-2.176,2.317,349.929,-2.648,2.024,84.87,0.314,1,0,0,0,1,1,0,1,1,0
IC0480,19.5,162.964,-6.603,6.07,8.0,63.455,69.29,4546.683,-2.201,2.023,352.9,-2.935,2.698,84.87,0.314,1,0,0,0,1,1,0,1,1,0
IC0480,22.5,208.969,-21.058,15.979,8.0,63.455,69.29,4551.4,-7.968,6.275,348.064,-2.847,2.847,84.87,0.314,1,0,0,0,1,1,0,1,1,0
IC0944,1.5,227.779,-13.788,18.398,8.0,64.478,63.577,6830.036,-13.987,20.624,288.32,-7.136,7.136,63.707,0.204,1,0,0,0,1,1,0,1,1,0
IC0944,4.5,217.506,-13.695,13.602,8.0,64.478,63.577,6838.575,-16.733,15.457,290.7,-10.142,9.686,63.707,0.204,1,0,0,0,1,1,0,1,1,0
IC0944,7.5,198.154,-15.702,19.891,8.0,64.478,63.577,6831.531,-17.076,19.622,290.618,-10.926,13.171,63.707,0.204,1,0,0,0,1,1,0,1,1,0
IC0944,10.5,213.276,-19.895,27.807,8.0,64.478,63.577,6847.174,-11.543,14.419,282.18,-4.031,4.031,63.707,0.204,1,0,0,0,1,1,0,1,1,0
IC0944,13.5,279.423,-11.335,9.149,8.0,64.478,63.577,6822.242,-11.34,13.279,280.7,-4.408,4.408,63.707,0.204,1,0,0,0,1,1,0,1,1,0
IC0944,16.5,311.713,-4.183,4.183,8.0,64.478,63.577,6853.184,-2.627,2.627,280.971,-3.698,3.698,63.707,0.204,1,0,0,0,1,1,0,1,1,0
IC0944,19.5,223.619,-10.866,11.224,8.0,64.478,63.577,6772.54,-4.264,4.383,280.871,-1.925,1.925,63.707,0.204,1,0,0,0,1,1,0,1,1,0
