# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_smo7, unit: km / s, datatype: float64}
# - {name: coNomaskSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coNomaskUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coDilatedSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coDilatedUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coSmoothSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coSmoothUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coMask2dSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coMask2dUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# delimiter: ','
# schema: astropy-2.0
Name,coVlsr_smo7,coNomaskSpec_smo7,coNomaskUnc_smo7,coDilatedSpec_smo7,coDilatedUnc_smo7,coSmoothSpec_smo7,coSmoothUnc_smo7,coMask2dSpec_smo7,coMask2dUnc_smo7
ARP220,4540.0,0.20519,0.19040,nan,nan,nan,nan,0.06187,0.05526
ARP220,4560.0,-0.18273,0.19038,nan,nan,nan,nan,-0.00320,0.05526
ARP220,4580.0,-0.13305,0.19039,nan,nan,nan,nan,0.04884,0.05526
ARP220,4600.0,0.01663,0.19039,nan,nan,nan,nan,0.03720,0.05526
ARP220,4620.0,0.06509,0.19037,nan,nan,nan,nan,0.00603,0.05526
ARP220,4640.0,-0.03096,0.19037,nan,nan,nan,nan,0.07701,0.05525
ARP220,4660.0,0.08926,0.19037,nan,nan,nan,nan,-0.01244,0.05525
ARP220,4680.0,0.10623,0.19037,nan,nan,nan,nan,-0.01655,0.05525
ARP220,4700.0,0.10017,0.19036,nan,nan,nan,nan,0.01462,0.05525
ARP220,4720.0,0.08705,0.19036,nan,nan,nan,nan,-0.12731,0.05525
ARP220,4740.0,-0.01824,0.19036,nan,nan,nan,nan,0.01136,0.05525
ARP220,4760.0,0.09832,0.19034,nan,nan,nan,nan,0.03387,0.05525
ARP220,4780.0,-0.03327,0.19034,nan,nan,nan,nan,0.05040,0.05524
ARP220,4800.0,-0.02034,0.19035,nan,nan,nan,nan,0.02119,0.05524
ARP220,4820.0,0.01006,0.19035,nan,nan,nan,nan,-0.00598,0.05524
ARP220,4840.0,0.14750,0.19035,nan,nan,nan,nan,-0.06231,0.05524
ARP220,4860.0,-0.05202,0.19033,nan,nan,nan,nan,0.02677,0.05524
ARP220,4880.0,0.00887,0.19033,nan,nan,nan,nan,0.02067,0.05524
ARP220,4900.0,-0.22718,0.19031,nan,nan,0.00361,0.01802,0.05141,0.05524
ARP220,4920.0,-0.15709,0.19032,0.01034,0.01287,0.01209,0.01912,0.14497,0.05524
ARP220,4940.0,0.00788,0.19032,0.04807,0.01364,0.04854,0.03205,0.04896,0.05523
ARP220,4960.0,0.08696,0.19032,0.03321,0.01868,0.01908,0.03254,-0.02500,0.05523
ARP220,4980.0,0.10132,0.19032,0.14570,0.01856,0.19542,0.03388,0.19451,0.05523
ARP220,5000.0,0.22310,0.19033,0.16126,0.02023,0.15855,0.03410,0.16721,0.05523
ARP220,5020.0,0.26632,0.19033,0.24473,0.01851,0.26899,0.03515,0.21140,0.05523
ARP220,5040.0,0.18754,0.19033,0.24541,0.01932,0.24691,0.04072,0.26730,0.05523
ARP220,5060.0,0.33489,0.19033,0.33277,0.02010,0.37744,0.04370,0.34563,0.05523
ARP220,5080.0,0.26037,0.19033,0.38289,0.02069,0.44061,0.04389,0.40207,0.05523
ARP220,5100.0,0.40484,0.19031,0.42585,0.02084,0.47918,0.04581,0.45511,0.05522
ARP220,5120.0,0.56273,0.19032,0.47808,0.02435,0.43175,0.04873,0.39935,0.05522
ARP220,5140.0,0.53592,0.19032,0.63910,0.02740,0.59797,0.04732,0.60795,0.05522
ARP220,5160.0,0.80367,0.19030,0.76129,0.02933,0.75895,0.04309,0.74430,0.05522
ARP220,5180.0,0.86707,0.19030,0.87634,0.03189,0.84244,0.04360,0.86383,0.05522
ARP220,5200.0,0.87344,0.19030,0.98960,0.03191,0.94140,0.04424,0.95740,0.05522
ARP220,5220.0,1.12113,0.19026,1.07806,0.03485,1.04203,0.04472,0.98084,0.05522
ARP220,5240.0,0.73983,0.19027,1.16776,0.03527,1.13416,0.04488,1.06889,0.05521
ARP220,5260.0,0.93826,0.19025,1.04885,0.03537,0.98826,0.04467,0.99757,0.05521
ARP220,5280.0,1.04242,0.19023,1.00447,0.03297,0.97974,0.04501,0.93838,0.05521
ARP220,5300.0,1.19540,0.19023,0.98931,0.03215,0.94908,0.04465,0.96928,0.05521
