# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=233.7388 deg DEC=23.5027 deg PA=337.7 INC=29.7}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 77.97 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=33.20 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times ARP220.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.378,0.030,12,12,729.123,289.22577,10072.717,10072.717,14.972,1.4394e+09,3135.230,6.1894e+09
3.0,1.134,0.090,31,31,477.498,342.24588,17041.102,27113.818,9.292,3.8745e+09,2053.241,1.6661e+10
5.0,1.890,0.151,56,56,174.085,152.94963,11223.100,38336.918,6.823,5.4783e+09,748.564,2.3557e+10
7.0,2.646,0.211,75,75,43.668,40.081295,3770.387,42107.305,5.803,6.0171e+09,187.770,2.5874e+10
9.0,3.402,0.271,102,102,14.470,14.172608,1699.129,43806.434,4.846,6.2599e+09,62.220,2.6918e+10
11.0,4.158,0.331,122,122,6.226,8.699895,874.391,44680.824,4.147,6.3849e+09,26.770,2.7455e+10
13.0,4.914,0.392,136,136,1.426,6.6493845,223.180,44904.004,3.482,6.4168e+09,6.130,2.7592e+10
15.0,5.670,0.452,166,136,-0.472,4.8962317,-90.297,44813.707,2.712,6.4038e+09,-2.032,2.7537e+10
17.0,6.426,0.512,186,120,0.737,3.7378047,157.723,44971.43,2.228,6.4264e+09,3.167,2.7633e+10
19.0,7.182,0.572,208,111,2.082,5.060945,498.547,45469.977,1.971,6.4976e+09,8.953,2.7940e+10
