# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=233.7388 deg DEC=23.5027 deg PA=337.7 INC=29.7}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 77.97 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=33.20 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times ARP220.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.567,0.045,25,25,398.733,97.927216,11475.898,11475.898,8.037,1.6399e+09,1714.552,7.0516e+09
4.5,1.701,0.136,74,74,223.592,118.65766,19048.131,30524.03,4.672,4.3619e+09,961.445,1.8756e+10
7.5,2.835,0.226,125,125,72.398,53.31096,10418.318,40942.348,3.579,5.8506e+09,311.309,2.5158e+10
10.5,3.969,0.316,174,174,14.124,13.196211,2829.203,43771.55,2.987,6.2549e+09,60.732,2.6896e+10
13.5,5.103,0.407,213,213,0.454,5.595395,111.383,43882.934,2.647,6.2708e+09,1.952,2.6965e+10
16.5,6.237,0.497,275,275,-0.990,5.575442,-313.480,43569.453,2.164,6.2260e+09,-4.258,2.6772e+10
19.5,7.371,0.587,322,304,1.692,5.014644,627.188,44196.64,1.673,6.3157e+09,7.275,2.7157e+10
22.5,8.505,0.678,362,300,1.989,3.8649008,828.793,45025.434,1.339,6.4341e+09,8.552,2.7667e+10
25.5,9.640,0.768,418,261,1.120,2.3403893,538.973,45564.406,1.136,6.5111e+09,4.816,2.7998e+10
28.5,10.774,0.858,467,146,0.541,1.3445102,290.609,45855.016,1.080,6.5527e+09,2.324,2.8176e+10
31.5,11.908,0.949,511,83,0.176,0.7105766,103.707,45958.723,1.070,6.5675e+09,0.758,2.8240e+10
34.5,13.042,1.039,568,29,nan,nan,0.000,45958.723,1.063,6.5675e+09,nan,2.8240e+10
37.5,14.176,1.130,615,0,nan,nan,0.000,45958.723,1.079,6.5675e+09,nan,2.8240e+10
40.5,15.310,1.220,661,0,nan,nan,0.000,45958.723,1.104,6.5675e+09,nan,2.8240e+10
43.5,16.444,1.310,717,0,nan,nan,0.000,45958.723,1.130,6.5675e+09,nan,2.8240e+10
46.5,17.578,1.401,763,0,nan,nan,0.000,45958.723,1.176,6.5675e+09,nan,2.8240e+10
49.5,18.712,1.491,805,0,nan,nan,0.000,45958.723,1.235,6.5675e+09,nan,2.8240e+10
52.5,19.846,1.581,865,0,nan,nan,0.000,45958.723,1.297,6.5675e+09,nan,2.8240e+10
55.5,20.980,1.672,910,0,nan,nan,0.000,45958.723,1.430,6.5675e+09,nan,2.8240e+10
58.5,22.114,1.762,955,0,nan,nan,0.000,45958.723,1.571,6.5675e+09,nan,2.8240e+10
