# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=20.6619 deg DEC=34.4370 deg PA=15.6 INC=54.8}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 69.73 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=39.46 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times IC1683.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.507,0.038,17,17,46.948,4.690633,1384.567,1384.5674,6.029,1.5822e+08,201.875,6.8034e+08
4.5,1.521,0.114,49,49,31.311,8.162348,2661.575,4046.1426,3.538,4.6237e+08,134.635,1.9882e+09
7.5,2.535,0.190,82,82,16.070,6.948882,2286.031,6332.1733,2.697,7.2360e+08,69.101,3.1115e+09
10.5,3.549,0.266,109,109,7.514,4.520577,1420.809,7752.9824,2.270,8.8596e+08,32.309,3.8096e+09
13.5,4.564,0.342,150,150,3.416,2.806858,888.978,8641.96,1.822,9.8755e+08,14.690,4.2464e+09
16.5,5.578,0.418,178,178,1.877,1.6882154,579.586,9221.546,1.518,1.0538e+09,8.071,4.5312e+09
19.5,6.592,0.494,214,207,1.234,1.0076352,458.113,9679.659,1.292,1.1061e+09,5.306,4.7563e+09
22.5,7.606,0.570,243,191,0.885,0.45004842,373.113,10052.772,1.158,1.1488e+09,3.806,4.9397e+09
25.5,8.620,0.646,276,141,0.766,0.15649785,366.723,10419.495,1.048,1.1907e+09,3.293,5.1199e+09
28.5,9.634,0.722,300,106,0.757,0.1309628,394.083,10813.578,1.002,1.2357e+09,3.256,5.3135e+09
31.5,10.648,0.798,350,86,0.798,0.16658074,484.405,11297.983,0.953,1.2911e+09,3.431,5.5516e+09
34.5,11.663,0.874,378,42,0.836,0.14453399,548.425,11846.408,0.952,1.3537e+09,3.596,5.8210e+09
37.5,12.677,0.950,413,10,nan,nan,0.000,11846.408,0.948,1.3537e+09,nan,5.8210e+09
40.5,13.691,1.026,442,0,nan,nan,0.000,11846.408,0.960,1.3537e+09,nan,5.8210e+09
43.5,14.705,1.102,472,0,nan,nan,0.000,11846.408,0.976,1.3537e+09,nan,5.8210e+09
46.5,15.719,1.179,500,0,nan,nan,0.000,11846.408,1.003,1.3537e+09,nan,5.8210e+09
49.5,16.733,1.255,532,0,nan,nan,0.000,11846.408,1.033,1.3537e+09,nan,5.8210e+09
