# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=123.9962 deg DEC=23.1996 deg PA=328.5 INC=77.7}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 62.03 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=54.72 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times IC2247.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.301,0.018,3,3,11.235,0.27864403,158.210,158.21014,5.602,1.4308e+07,48.308,6.1523e+07
3.0,0.902,0.055,8,8,8.996,1.4418836,337.832,496.04242,3.443,4.4859e+07,38.683,1.9290e+08
5.0,1.504,0.091,12,12,7.885,2.0344322,444.173,940.2156,2.779,8.5028e+07,33.906,3.6562e+08
7.0,2.105,0.128,19,19,6.814,1.7947853,607.691,1547.9061,2.095,1.3998e+08,29.298,6.0193e+08
9.0,2.707,0.164,23,23,5.961,1.4991313,643.582,2191.4885,1.857,1.9819e+08,25.632,8.5220e+08
11.0,3.308,0.201,31,31,5.265,1.520114,766.202,2957.6907,1.564,2.6748e+08,22.641,1.1502e+09
13.0,3.909,0.238,32,32,4.287,1.247724,644.018,3601.709,1.489,3.2572e+08,18.436,1.4006e+09
15.0,4.511,0.274,45,45,3.670,1.2647686,775.173,4376.8823,1.235,3.9582e+08,15.780,1.7020e+09
17.0,5.112,0.311,45,45,3.097,1.2241843,654.273,5031.1553,1.204,4.5499e+08,13.319,1.9565e+09
19.0,5.714,0.347,51,51,2.599,1.2702698,622.182,5653.337,1.114,5.1126e+08,11.175,2.1984e+09
21.0,6.315,0.384,53,53,1.980,1.1833457,492.528,6145.8647,1.080,5.5580e+08,8.513,2.3899e+09
