# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=191.5420 deg DEC=30.7321 deg PA=185.3 INC=50.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 96.61 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=64.88 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times NGC4676A.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.468,0.015,9,9,88.056,4.7448926,1232.917,1232.917,13.368,2.7045e+08,378.641,1.1630e+09
3.0,1.405,0.046,24,24,66.078,9.59138,2467.169,3700.0864,8.196,8.1166e+08,284.134,3.4901e+09
5.0,2.342,0.077,42,42,38.299,10.856842,2502.458,6202.5444,6.163,1.3606e+09,164.685,5.8506e+09
7.0,3.279,0.108,55,55,16.880,7.618073,1444.303,7646.847,5.368,1.6774e+09,72.582,7.2129e+09
9.0,4.215,0.139,73,73,4.759,4.369054,540.431,8187.2783,4.431,1.7960e+09,20.462,7.7227e+09
11.0,5.152,0.170,88,88,0.177,2.5045636,24.211,8211.489,3.747,1.8013e+09,0.760,7.7455e+09
13.0,6.089,0.200,105,105,-0.566,1.9163789,-92.480,8119.009,3.179,1.7810e+09,-2.434,7.6583e+09
15.0,7.025,0.231,123,119,-0.071,1.4954871,-13.649,8105.36,2.470,1.7780e+09,-0.307,7.6454e+09
17.0,7.962,0.262,136,110,0.036,1.0942035,7.641,8113.001,2.172,1.7797e+09,0.155,7.6526e+09
19.0,8.899,0.293,154,101,0.190,0.84827644,45.495,8158.496,2.014,1.7897e+09,0.817,7.6955e+09
21.0,9.836,0.324,166,58,0.072,0.51749516,18.496,8176.992,1.966,1.7937e+09,0.308,7.7130e+09
23.0,10.772,0.354,190,56,0.087,0.5692793,25.616,8202.608,1.863,1.7993e+09,0.373,7.7371e+09
25.0,11.709,0.385,204,28,-0.001,0.33891797,-0.320,8202.288,1.830,1.7993e+09,-0.004,7.7368e+09
27.0,12.646,0.416,213,23,0.041,0.40672776,13.515,8215.803,1.824,1.8022e+09,0.175,7.7496e+09
29.0,13.582,0.447,235,27,0.045,0.46512598,16.303,8232.105,1.772,1.8058e+09,0.192,7.7650e+09
31.0,14.519,0.478,251,17,nan,nan,0.000,8232.105,1.753,1.8058e+09,nan,7.7650e+09
33.0,15.456,0.509,270,12,nan,nan,0.000,8232.105,1.731,1.8058e+09,nan,7.7650e+09
35.0,16.393,0.539,281,14,nan,nan,0.000,8232.105,1.741,1.8058e+09,nan,7.7650e+09
37.0,17.329,0.570,300,22,nan,nan,0.000,8232.105,1.732,1.8058e+09,nan,7.7650e+09
39.0,18.266,0.601,314,12,nan,nan,0.000,8232.105,1.745,1.8058e+09,nan,7.7650e+09
41.0,19.203,0.632,333,12,nan,nan,0.000,8232.105,1.751,1.8058e+09,nan,7.7650e+09
43.0,20.139,0.663,344,20,nan,nan,0.000,8232.105,1.781,1.8058e+09,nan,7.7650e+09
45.0,21.076,0.694,366,9,nan,nan,0.000,8232.105,1.791,1.8058e+09,nan,7.7650e+09
47.0,22.013,0.724,383,0,nan,nan,0.000,8232.105,1.817,1.8058e+09,nan,7.7650e+09
49.0,22.950,0.755,387,0,nan,nan,0.000,8232.105,1.885,1.8058e+09,nan,7.7650e+09
51.0,23.886,0.786,411,0,nan,nan,0.000,8232.105,1.914,1.8058e+09,nan,7.7650e+09
53.0,24.823,0.817,368,0,nan,nan,0.000,8232.105,2.062,1.8058e+09,nan,7.7650e+09
55.0,25.760,0.848,338,0,nan,nan,0.000,8232.105,2.193,1.8058e+09,nan,7.7650e+09
57.0,26.697,0.879,339,0,nan,nan,0.000,8232.105,2.257,1.8058e+09,nan,7.7650e+09
59.0,27.633,0.909,318,0,nan,nan,0.000,8232.105,2.403,1.8058e+09,nan,7.7650e+09
61.0,28.570,0.940,323,0,nan,nan,0.000,8232.105,2.489,1.8058e+09,nan,7.7650e+09
63.0,29.507,0.971,310,0,nan,nan,0.000,8232.105,2.632,1.8058e+09,nan,7.7650e+09
65.0,30.443,1.002,307,0,nan,nan,0.000,8232.105,2.786,1.8058e+09,nan,7.7650e+09
67.0,31.380,1.033,304,0,nan,nan,0.000,8232.105,2.952,1.8058e+09,nan,7.7650e+09
69.0,32.317,1.063,293,0,nan,nan,0.000,8232.105,3.217,1.8058e+09,nan,7.7650e+09
71.0,33.254,1.094,302,0,nan,nan,0.000,8232.105,3.372,1.8058e+09,nan,7.7650e+09
73.0,34.190,1.125,298,0,nan,nan,0.000,8232.105,3.744,1.8058e+09,nan,7.7650e+09
75.0,35.127,1.156,288,0,nan,nan,0.000,8232.105,4.368,1.8058e+09,nan,7.7650e+09
77.0,36.064,1.187,294,0,nan,nan,0.000,8232.105,5.078,1.8058e+09,nan,7.7650e+09
79.0,37.000,1.218,253,0,nan,nan,0.000,8232.105,9.104,1.8058e+09,nan,7.7650e+09
81.0,37.937,1.248,199,0,nan,nan,0.000,8232.105,nan,1.8058e+09,nan,7.7650e+09
83.0,38.874,1.279,153,0,nan,nan,0.000,8232.105,nan,1.8058e+09,nan,7.7650e+09
85.0,39.811,1.310,117,0,nan,nan,0.000,8232.105,nan,1.8058e+09,nan,7.7650e+09
87.0,40.747,1.341,88,0,nan,nan,0.000,8232.105,nan,1.8058e+09,nan,7.7650e+09
89.0,41.684,1.372,64,0,nan,nan,0.000,8232.105,nan,1.8058e+09,nan,7.7650e+09
91.0,42.621,1.403,41,0,nan,nan,0.000,8232.105,nan,1.8058e+09,nan,7.7650e+09
93.0,43.557,1.433,28,0,nan,nan,0.000,8232.105,nan,1.8058e+09,nan,7.7650e+09
95.0,44.494,1.464,16,0,nan,nan,0.000,8232.105,nan,1.8058e+09,nan,7.7650e+09
97.0,45.431,1.495,7,0,nan,nan,0.000,8232.105,nan,1.8058e+09,nan,7.7650e+09
99.0,46.368,1.526,1,0,nan,nan,0.000,8232.105,nan,1.8058e+09,nan,7.7650e+09
