# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=191.5420 deg DEC=30.7321 deg PA=185.3 INC=50.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 96.61 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=64.88 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times NGC4676A.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.703,0.023,19,19,54.339,3.1914752,1606.194,1606.1942,8.232,3.5234e+08,233.658,1.5150e+09
4.5,2.108,0.069,56,56,36.504,6.9189734,3180.225,4786.4194,4.791,1.0500e+09,156.966,4.5148e+09
7.5,3.513,0.116,92,92,15.985,5.767715,2287.880,7074.3,3.729,1.5518e+09,68.736,6.6729e+09
10.5,4.918,0.162,124,124,4.103,2.5687816,791.604,7865.9043,3.144,1.7255e+09,17.645,7.4195e+09
13.5,6.323,0.208,164,164,1.499,0.35993314,382.348,8248.252,2.496,1.8093e+09,6.444,7.7802e+09
16.5,7.728,0.254,200,197,1.189,0.2885131,369.838,8618.09,1.994,1.8905e+09,5.111,8.1290e+09
19.5,9.133,0.301,236,203,1.009,0.31267983,370.399,8988.489,1.616,1.9717e+09,4.338,8.4784e+09
22.5,10.538,0.347,274,177,1.003,0.35358566,427.541,9416.03,1.422,2.0655e+09,4.313,8.8817e+09
25.5,11.943,0.393,312,153,1.029,0.36716062,499.247,9915.277,1.345,2.1750e+09,4.423,9.3526e+09
28.5,13.348,0.439,340,134,1.024,0.2117978,541.441,10456.719,1.312,2.2938e+09,4.402,9.8633e+09
