# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=231.5330 deg DEC=41.6761 deg PA=155.0 INC=45.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 37.23 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=55.48 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times NGC5930.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.271,0.027,18,18,112.456,7.9277964,2862.661,2862.6606,8.713,9.3274e+07,483.560,4.0108e+08
4.5,0.812,0.081,61,61,67.686,17.159273,5839.066,8701.727,4.766,2.8353e+08,291.050,1.2192e+09
7.5,1.354,0.135,103,103,25.449,11.804479,3706.978,12408.704,3.672,4.0431e+08,109.430,1.7386e+09
10.5,1.895,0.189,137,137,6.777,4.994415,1313.089,13721.793,3.166,4.4710e+08,29.143,1.9225e+09
13.5,2.437,0.243,183,183,0.466,2.5082881,120.607,13842.4,2.662,4.5103e+08,2.004,1.9394e+09
16.5,2.978,0.297,220,220,-1.518,2.5151286,-472.218,13370.183,2.156,4.3564e+08,-6.526,1.8733e+09
19.5,3.520,0.351,258,209,-0.705,2.0402894,-257.391,13112.792,1.689,4.2726e+08,-3.033,1.8372e+09
22.5,4.061,0.406,295,155,0.186,1.0067892,77.406,13190.198,1.476,4.2978e+08,0.798,1.8480e+09
25.5,4.603,0.460,344,105,0.190,0.644298,92.649,13282.848,1.389,4.3280e+08,0.819,1.8610e+09
28.5,5.144,0.514,383,47,0.083,0.27379996,44.865,13327.713,1.359,4.3426e+08,0.356,1.8673e+09
31.5,5.686,0.568,418,28,nan,nan,0.000,13327.713,1.349,4.3426e+08,nan,1.8673e+09
34.5,6.228,0.622,460,0,nan,nan,0.000,13327.713,1.340,4.3426e+08,nan,1.8673e+09
37.5,6.769,0.676,500,0,nan,nan,0.000,13327.713,1.345,4.3426e+08,nan,1.8673e+09
40.5,7.311,0.730,537,0,nan,nan,0.000,13327.713,1.365,4.3426e+08,nan,1.8673e+09
43.5,7.852,0.784,576,0,nan,nan,0.000,13327.713,1.391,4.3426e+08,nan,1.8673e+09
46.5,8.394,0.838,626,0,nan,nan,0.000,13327.713,1.420,4.3426e+08,nan,1.8673e+09
49.5,8.935,0.892,660,0,nan,nan,0.000,13327.713,1.480,4.3426e+08,nan,1.8673e+09
52.5,9.477,0.946,698,0,nan,nan,0.000,13327.713,1.543,4.3426e+08,nan,1.8673e+09
55.5,10.018,1.000,742,0,nan,nan,0.000,13327.713,1.618,4.3426e+08,nan,1.8673e+09
58.5,10.560,1.054,779,0,nan,nan,0.000,13327.713,1.772,4.3426e+08,nan,1.8673e+09
61.5,11.101,1.109,819,0,nan,nan,0.000,13327.713,1.952,4.3426e+08,nan,1.8673e+09
64.5,11.643,1.163,851,0,nan,nan,0.000,13327.713,2.130,4.3426e+08,nan,1.8673e+09
67.5,12.184,1.217,903,0,nan,nan,0.000,13327.713,2.333,4.3426e+08,nan,1.8673e+09
70.5,12.726,1.271,946,0,nan,nan,0.000,13327.713,2.606,4.3426e+08,nan,1.8673e+09
73.5,13.267,1.325,978,0,nan,nan,0.000,13327.713,2.937,4.3426e+08,nan,1.8673e+09
76.5,13.809,1.379,1028,0,nan,nan,0.000,13327.713,3.489,4.3426e+08,nan,1.8673e+09
79.5,14.350,1.433,1056,0,nan,nan,0.000,13327.713,5.050,4.3426e+08,nan,1.8673e+09
82.5,14.892,1.487,1091,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
85.5,15.433,1.541,1010,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
88.5,15.975,1.595,932,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
91.5,16.516,1.649,894,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
94.5,17.058,1.703,882,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
97.5,17.600,1.757,852,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
100.5,18.141,1.812,836,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
103.5,18.683,1.866,818,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
106.5,19.224,1.920,639,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
109.5,19.766,1.974,510,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
112.5,20.307,2.028,438,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
115.5,20.849,2.082,362,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
118.5,21.390,2.136,292,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
121.5,21.932,2.190,252,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
124.5,22.473,2.244,219,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
127.5,23.015,2.298,204,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
130.5,23.556,2.352,175,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
133.5,24.098,2.406,151,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
136.5,24.639,2.460,128,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
139.5,25.181,2.515,110,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
142.5,25.722,2.569,87,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
145.5,26.264,2.623,63,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
148.5,26.805,2.677,46,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
151.5,27.347,2.731,25,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
154.5,27.888,2.785,5,0,nan,nan,0.000,13327.713,nan,4.3426e+08,nan,1.8673e+09
