# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=235.3766 deg DEC=15.7876 deg PA=15.0 INC=66.2}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 59.36 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=48.99 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times NGC5980.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.288,0.020,4,4,28.087,3.4907112,278.404,278.40378,10.196,2.3054e+07,120.775,9.9134e+07
3.0,0.863,0.061,15,15,22.512,4.949435,836.790,1115.1935,5.270,9.2348e+07,96.802,3.9710e+08
5.0,1.439,0.102,26,26,16.280,4.0542746,1048.897,2164.09,3.976,1.7921e+08,70.004,7.7059e+08
7.0,2.014,0.143,36,36,13.332,3.1777928,1189.307,3353.3975,3.333,2.7769e+08,57.326,1.1941e+09
9.0,2.590,0.184,45,45,11.359,4.1664653,1266.607,4620.0044,2.873,3.8258e+08,48.842,1.6451e+09
11.0,3.165,0.225,57,57,9.214,4.1459246,1301.485,5921.4893,2.406,4.9035e+08,39.621,2.1085e+09
13.0,3.741,0.265,68,68,7.419,3.6155708,1250.111,7171.6,2.116,5.9387e+08,31.901,2.5537e+09
15.0,4.316,0.306,77,77,6.336,2.954503,1209.048,8380.648,1.909,6.9399e+08,27.247,2.9842e+09
17.0,4.892,0.347,84,84,5.698,2.981857,1186.132,9566.78,1.767,7.9221e+08,24.503,3.4065e+09
19.0,5.468,0.388,98,98,4.703,2.554863,1142.219,10708.999,1.599,8.8680e+08,20.225,3.8132e+09
21.0,6.043,0.429,108,108,3.652,2.035759,977.437,11686.436,1.472,9.6774e+08,15.704,4.1613e+09
23.0,6.619,0.469,113,113,2.751,1.4619181,770.382,12456.817,1.395,1.0315e+09,11.830,4.4356e+09
25.0,7.194,0.510,128,128,2.198,1.1678847,697.111,13153.929,1.286,1.0893e+09,9.451,4.6838e+09
27.0,7.770,0.551,134,134,1.785,0.8905983,592.834,13746.763,1.241,1.1384e+09,7.677,4.8949e+09
29.0,8.345,0.592,147,147,1.301,0.536754,473.928,14220.69,1.175,1.1776e+09,5.594,5.0637e+09
31.0,8.921,0.633,154,154,1.098,0.36944938,419.001,14639.691,1.155,1.2123e+09,4.721,5.2129e+09
33.0,9.496,0.674,162,162,1.043,0.36127636,418.710,15058.401,1.141,1.2470e+09,4.485,5.3620e+09
35.0,10.072,0.714,184,176,0.973,0.2922376,443.874,15502.275,1.092,1.2837e+09,4.186,5.5200e+09
37.0,10.647,0.755,191,165,0.971,0.3440697,459.768,15962.043,1.097,1.3218e+09,4.177,5.6837e+09
39.0,11.223,0.796,198,135,0.965,0.31914645,473.654,16435.697,1.096,1.3610e+09,4.151,5.8524e+09
41.0,11.798,0.837,206,101,1.039,0.30777314,530.396,16966.094,1.114,1.4049e+09,4.468,6.0413e+09
43.0,12.374,0.878,225,73,1.093,0.27128717,609.221,17575.314,1.094,1.4554e+09,4.698,6.2582e+09
45.0,12.949,0.919,228,35,1.157,0.25108257,653.762,18229.076,1.131,1.5095e+09,4.976,6.4910e+09
47.0,13.525,0.959,233,11,nan,nan,0.000,18229.076,1.150,1.5095e+09,nan,6.4910e+09
49.0,14.101,1.000,249,7,nan,nan,0.000,18229.076,1.159,1.5095e+09,nan,6.4910e+09
51.0,14.676,1.041,264,0,nan,nan,0.000,18229.076,1.185,1.5095e+09,nan,6.4910e+09
53.0,15.252,1.082,234,0,nan,nan,0.000,18229.076,1.253,1.5095e+09,nan,6.4910e+09
