# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=115.3096 deg DEC=27.6141 deg PA=134.3 INC=70.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 118.40 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=38.03 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times UGC03969.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.861,0.039,11,11,7.295,0.32150277,234.636,234.63646,3.977,7.7308e+07,31.371,3.3242e+08
4.5,2.583,0.118,28,28,6.616,0.5882637,541.603,776.2393,2.481,2.5576e+08,28.447,1.0997e+09
7.5,4.305,0.197,47,47,5.542,0.7725739,761.599,1537.8387,1.885,5.0669e+08,23.831,2.1788e+09
10.5,6.027,0.276,65,65,4.336,0.9607351,823.981,2361.82,1.545,7.7817e+08,18.643,3.3461e+09
13.5,7.749,0.355,91,91,3.413,1.0073259,908.194,3270.0142,1.266,1.0774e+09,14.678,4.6328e+09
16.5,9.471,0.434,108,108,2.522,0.95569044,796.374,4066.3882,1.107,1.3398e+09,10.845,5.7611e+09
19.5,11.193,0.513,123,123,1.575,0.8811529,566.454,4632.8423,1.007,1.5264e+09,6.773,6.5636e+09
22.5,12.915,0.592,146,146,0.760,0.64789695,324.515,4957.357,0.888,1.6333e+09,3.269,7.0234e+09
25.5,14.637,0.671,162,159,0.233,0.55873764,110.327,5067.684,0.822,1.6697e+09,1.002,7.1797e+09
28.5,16.359,0.749,187,155,-0.024,0.44562367,-13.123,5054.5615,0.746,1.6654e+09,-0.103,7.1611e+09
31.5,18.081,0.828,204,147,-0.109,0.48774695,-64.869,4989.693,0.714,1.6440e+09,-0.468,7.0692e+09
34.5,19.803,0.907,223,125,-0.016,0.40791133,-10.237,4979.456,0.690,1.6406e+09,-0.068,7.0547e+09
37.5,21.525,0.986,237,84,0.028,0.28633055,19.745,4999.2007,0.682,1.6471e+09,0.123,7.0827e+09
40.5,23.247,1.065,268,60,0.053,0.19960824,41.625,5040.825,0.667,1.6609e+09,0.228,7.1417e+09
43.5,24.969,1.144,274,42,0.038,0.122997016,30.505,5071.33,0.694,1.6709e+09,0.164,7.1849e+09
46.5,26.691,1.223,299,32,0.028,0.09639749,24.784,5096.1143,0.690,1.6791e+09,0.122,7.2200e+09
49.5,28.413,1.302,318,24,nan,nan,0.000,5096.1143,0.711,1.6791e+09,nan,7.2200e+09
52.5,30.135,1.381,336,20,nan,nan,0.000,5096.1143,0.731,1.6791e+09,nan,7.2200e+09
55.5,31.857,1.459,366,18,nan,nan,0.000,5096.1143,0.753,1.6791e+09,nan,7.2200e+09
58.5,33.579,1.538,380,13,nan,nan,0.000,5096.1143,0.789,1.6791e+09,nan,7.2200e+09
61.5,35.301,1.617,393,8,nan,nan,0.000,5096.1143,0.809,1.6791e+09,nan,7.2200e+09
64.5,37.023,1.696,412,0,nan,nan,0.000,5096.1143,0.820,1.6791e+09,nan,7.2200e+09
67.5,38.745,1.775,439,0,nan,nan,0.000,5096.1143,0.834,1.6791e+09,nan,7.2200e+09
70.5,40.467,1.854,453,0,nan,nan,0.000,5096.1143,0.856,1.6791e+09,nan,7.2200e+09
73.5,42.189,1.933,474,0,nan,nan,0.000,5096.1143,0.854,1.6791e+09,nan,7.2200e+09
