# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=153.0153 deg DEC=23.0854 deg PA=61.8 INC=81.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 91.75 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=47.00 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times UGC05498NED01.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.445,0.021,1,0,nan,nan,0.000,0.0,6.826,0.0000e+00,nan,0.0000e+00
3.0,1.334,0.064,6,0,nan,nan,0.000,0.0,2.788,0.0000e+00,nan,0.0000e+00
5.0,2.224,0.106,9,0,nan,nan,0.000,0.0,2.281,0.0000e+00,nan,0.0000e+00
7.0,3.114,0.149,13,0,nan,nan,0.000,0.0,1.903,0.0000e+00,nan,0.0000e+00
9.0,4.003,0.191,18,0,nan,nan,0.000,0.0,1.624,0.0000e+00,nan,0.0000e+00
11.0,4.893,0.234,24,0,nan,nan,0.000,0.0,1.412,0.0000e+00,nan,0.0000e+00
13.0,5.783,0.277,24,0,nan,nan,0.000,0.0,1.424,0.0000e+00,nan,0.0000e+00
15.0,6.672,0.319,29,0,nan,nan,0.000,0.0,1.302,0.0000e+00,nan,0.0000e+00
17.0,7.562,0.362,35,0,nan,nan,0.000,0.0,1.194,0.0000e+00,nan,0.0000e+00
19.0,8.452,0.404,36,0,nan,nan,0.000,0.0,1.189,0.0000e+00,nan,0.0000e+00
21.0,9.341,0.447,41,0,nan,nan,0.000,0.0,1.127,0.0000e+00,nan,0.0000e+00
23.0,10.231,0.489,50,0,nan,nan,0.000,0.0,1.031,0.0000e+00,nan,0.0000e+00
25.0,11.121,0.532,44,0,nan,nan,0.000,0.0,1.115,0.0000e+00,nan,0.0000e+00
27.0,12.010,0.574,54,0,nan,nan,0.000,0.0,1.020,0.0000e+00,nan,0.0000e+00
29.0,12.900,0.617,56,0,nan,nan,0.000,0.0,1.018,0.0000e+00,nan,0.0000e+00
31.0,13.790,0.660,63,0,nan,nan,0.000,0.0,0.976,0.0000e+00,nan,0.0000e+00
33.0,14.679,0.702,63,0,nan,nan,0.000,0.0,1.003,0.0000e+00,nan,0.0000e+00
35.0,15.569,0.745,69,0,nan,nan,0.000,0.0,0.972,0.0000e+00,nan,0.0000e+00
37.0,16.459,0.787,76,0,nan,nan,0.000,0.0,0.945,0.0000e+00,nan,0.0000e+00
39.0,17.348,0.830,76,0,nan,nan,0.000,0.0,0.983,0.0000e+00,nan,0.0000e+00
41.0,18.238,0.872,80,0,nan,nan,0.000,0.0,0.965,0.0000e+00,nan,0.0000e+00
43.0,19.128,0.915,86,0,nan,nan,0.000,0.0,0.965,0.0000e+00,nan,0.0000e+00
45.0,20.017,0.957,86,0,nan,nan,0.000,0.0,0.995,0.0000e+00,nan,0.0000e+00
47.0,20.907,1.000,93,0,nan,nan,0.000,0.0,0.996,0.0000e+00,nan,0.0000e+00
49.0,21.797,1.042,96,0,nan,nan,0.000,0.0,1.015,0.0000e+00,nan,0.0000e+00
51.0,22.686,1.085,103,0,nan,nan,0.000,0.0,1.007,0.0000e+00,nan,0.0000e+00
53.0,23.576,1.128,99,0,nan,nan,0.000,0.0,1.096,0.0000e+00,nan,0.0000e+00
55.0,24.465,1.170,111,0,nan,nan,0.000,0.0,1.043,0.0000e+00,nan,0.0000e+00
57.0,25.355,1.213,105,0,nan,nan,0.000,0.0,1.076,0.0000e+00,nan,0.0000e+00
59.0,26.245,1.255,102,0,nan,nan,0.000,0.0,1.061,0.0000e+00,nan,0.0000e+00
61.0,27.134,1.298,95,0,nan,nan,0.000,0.0,1.077,0.0000e+00,nan,0.0000e+00
63.0,28.024,1.340,86,0,nan,nan,0.000,0.0,1.126,0.0000e+00,nan,0.0000e+00
65.0,28.914,1.383,88,0,nan,nan,0.000,0.0,1.066,0.0000e+00,nan,0.0000e+00
67.0,29.803,1.425,83,0,nan,nan,0.000,0.0,1.131,0.0000e+00,nan,0.0000e+00
69.0,30.693,1.468,84,0,nan,nan,0.000,0.0,1.095,0.0000e+00,nan,0.0000e+00
71.0,31.583,1.511,87,0,nan,nan,0.000,0.0,1.098,0.0000e+00,nan,0.0000e+00
73.0,32.472,1.553,82,0,nan,nan,0.000,0.0,1.104,0.0000e+00,nan,0.0000e+00
75.0,33.362,1.596,77,0,nan,nan,0.000,0.0,1.170,0.0000e+00,nan,0.0000e+00
77.0,34.252,1.638,79,0,nan,nan,0.000,0.0,1.131,0.0000e+00,nan,0.0000e+00
79.0,35.141,1.681,87,0,nan,nan,0.000,0.0,1.063,0.0000e+00,nan,0.0000e+00
81.0,36.031,1.723,75,0,nan,nan,0.000,0.0,1.186,0.0000e+00,nan,0.0000e+00
83.0,36.921,1.766,75,0,nan,nan,0.000,0.0,1.137,0.0000e+00,nan,0.0000e+00
85.0,37.810,1.808,84,0,nan,nan,0.000,0.0,1.108,0.0000e+00,nan,0.0000e+00
87.0,38.700,1.851,79,0,nan,nan,0.000,0.0,1.123,0.0000e+00,nan,0.0000e+00
89.0,39.590,1.894,74,0,nan,nan,0.000,0.0,1.170,0.0000e+00,nan,0.0000e+00
91.0,40.479,1.936,80,0,nan,nan,0.000,0.0,1.149,0.0000e+00,nan,0.0000e+00
93.0,41.369,1.979,82,0,nan,nan,0.000,0.0,1.104,0.0000e+00,nan,0.0000e+00
95.0,42.259,2.021,69,0,nan,nan,0.000,0.0,1.222,0.0000e+00,nan,0.0000e+00
97.0,43.148,2.064,76,0,nan,nan,0.000,0.0,1.162,0.0000e+00,nan,0.0000e+00
99.0,44.038,2.106,80,0,nan,nan,0.000,0.0,1.138,0.0000e+00,nan,0.0000e+00
101.0,44.928,2.149,76,0,nan,nan,0.000,0.0,1.165,0.0000e+00,nan,0.0000e+00
103.0,45.817,2.191,72,0,nan,nan,0.000,0.0,1.170,0.0000e+00,nan,0.0000e+00
105.0,46.707,2.234,77,0,nan,nan,0.000,0.0,1.186,0.0000e+00,nan,0.0000e+00
107.0,47.596,2.276,77,0,nan,nan,0.000,0.0,1.144,0.0000e+00,nan,0.0000e+00
109.0,48.486,2.319,71,0,nan,nan,0.000,0.0,1.233,0.0000e+00,nan,0.0000e+00
111.0,49.376,2.362,73,0,nan,nan,0.000,0.0,1.205,0.0000e+00,nan,0.0000e+00
113.0,50.265,2.404,84,0,nan,nan,0.000,0.0,1.111,0.0000e+00,nan,0.0000e+00
115.0,51.155,2.447,71,0,nan,nan,0.000,0.0,1.228,0.0000e+00,nan,0.0000e+00
117.0,52.045,2.489,74,0,nan,nan,0.000,0.0,1.188,0.0000e+00,nan,0.0000e+00
119.0,52.934,2.532,73,0,nan,nan,0.000,0.0,1.220,0.0000e+00,nan,0.0000e+00
121.0,53.824,2.574,78,0,nan,nan,0.000,0.0,1.170,0.0000e+00,nan,0.0000e+00
123.0,54.714,2.617,71,0,nan,nan,0.000,0.0,1.238,0.0000e+00,nan,0.0000e+00
125.0,55.603,2.659,71,0,nan,nan,0.000,0.0,1.256,0.0000e+00,nan,0.0000e+00
127.0,56.493,2.702,79,0,nan,nan,0.000,0.0,1.153,0.0000e+00,nan,0.0000e+00
129.0,57.383,2.745,75,0,nan,nan,0.000,0.0,1.221,0.0000e+00,nan,0.0000e+00
131.0,58.272,2.787,72,0,nan,nan,0.000,0.0,1.230,0.0000e+00,nan,0.0000e+00
133.0,59.162,2.830,75,0,nan,nan,0.000,0.0,1.241,0.0000e+00,nan,0.0000e+00
135.0,60.052,2.872,78,0,nan,nan,0.000,0.0,1.187,0.0000e+00,nan,0.0000e+00
137.0,60.941,2.915,69,0,nan,nan,0.000,0.0,1.286,0.0000e+00,nan,0.0000e+00
139.0,61.831,2.957,69,0,nan,nan,0.000,0.0,1.285,0.0000e+00,nan,0.0000e+00
141.0,62.721,3.000,79,0,nan,nan,0.000,0.0,1.181,0.0000e+00,nan,0.0000e+00
143.0,63.610,3.042,70,0,nan,nan,0.000,0.0,1.302,0.0000e+00,nan,0.0000e+00
145.0,64.500,3.085,75,0,nan,nan,0.000,0.0,1.236,0.0000e+00,nan,0.0000e+00
147.0,65.390,3.127,76,0,nan,nan,0.000,0.0,1.230,0.0000e+00,nan,0.0000e+00
149.0,66.279,3.170,75,0,nan,nan,0.000,0.0,1.250,0.0000e+00,nan,0.0000e+00
151.0,67.169,3.213,69,0,nan,nan,0.000,0.0,1.322,0.0000e+00,nan,0.0000e+00
153.0,68.059,3.255,70,0,nan,nan,0.000,0.0,1.286,0.0000e+00,nan,0.0000e+00
155.0,68.948,3.298,76,0,nan,nan,0.000,0.0,1.238,0.0000e+00,nan,0.0000e+00
157.0,69.838,3.340,66,0,nan,nan,0.000,0.0,1.349,0.0000e+00,nan,0.0000e+00
159.0,70.728,3.383,69,0,nan,nan,0.000,0.0,1.294,0.0000e+00,nan,0.0000e+00
161.0,71.617,3.425,70,0,nan,nan,0.000,0.0,1.289,0.0000e+00,nan,0.0000e+00
163.0,72.507,3.468,73,0,nan,nan,0.000,0.0,1.258,0.0000e+00,nan,0.0000e+00
165.0,73.396,3.510,66,0,nan,nan,0.000,0.0,1.350,0.0000e+00,nan,0.0000e+00
167.0,74.286,3.553,65,0,nan,nan,0.000,0.0,1.334,0.0000e+00,nan,0.0000e+00
169.0,75.176,3.596,70,0,nan,nan,0.000,0.0,1.276,0.0000e+00,nan,0.0000e+00
171.0,76.065,3.638,62,0,nan,nan,0.000,0.0,1.389,0.0000e+00,nan,0.0000e+00
173.0,76.955,3.681,67,0,nan,nan,0.000,0.0,1.314,0.0000e+00,nan,0.0000e+00
175.0,77.845,3.723,65,0,nan,nan,0.000,0.0,1.353,0.0000e+00,nan,0.0000e+00
177.0,78.734,3.766,64,0,nan,nan,0.000,0.0,1.352,0.0000e+00,nan,0.0000e+00
179.0,79.624,3.808,65,0,nan,nan,0.000,0.0,1.330,0.0000e+00,nan,0.0000e+00
181.0,80.514,3.851,61,0,nan,nan,0.000,0.0,1.402,0.0000e+00,nan,0.0000e+00
