# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=227.6704 deg DEC=55.3504 deg PA=49.7 INC=66.8}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 49.25 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=40.01 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times UGC09759.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.239,0.025,5,5,23.412,6.6322384,297.149,297.14886,9.583,1.6941e+07,100.671,7.2845e+07
3.0,0.716,0.075,13,13,19.074,11.254136,629.454,926.6028,5.919,5.2826e+07,82.020,2.2715e+08
5.0,1.194,0.125,28,28,13.306,11.993473,945.749,1872.3513,4.011,1.0674e+08,57.216,4.5900e+08
7.0,1.671,0.175,33,33,9.703,11.011251,812.777,2685.1287,3.648,1.5308e+08,41.721,6.5825e+08
9.0,2.149,0.225,44,44,6.607,7.508275,737.948,3423.0764,3.091,1.9515e+08,28.410,8.3916e+08
11.0,2.626,0.275,55,55,4.447,4.6186175,620.854,4043.93,2.636,2.3055e+08,19.122,9.9136e+08
13.0,3.104,0.325,67,67,2.824,2.3142855,480.330,4524.26,2.236,2.5793e+08,12.144,1.1091e+09
15.0,3.582,0.375,72,72,1.292,1.9414732,236.134,4760.3936,2.076,2.7139e+08,5.555,1.1670e+09
17.0,4.059,0.425,81,81,0.540,1.8354049,110.940,4871.334,1.885,2.7772e+08,2.320,1.1942e+09
19.0,4.537,0.475,96,96,0.372,1.4868315,90.618,4961.952,1.671,2.8289e+08,1.599,1.2164e+09
21.0,5.014,0.525,101,97,0.047,1.2706412,12.063,4974.0156,1.600,2.8357e+08,0.202,1.2194e+09
23.0,5.492,0.575,117,107,-0.064,1.1209648,-19.153,4954.8623,1.467,2.8248e+08,-0.277,1.2147e+09
25.0,5.969,0.625,128,88,-0.180,0.7370459,-58.427,4896.4355,1.408,2.7915e+08,-0.773,1.2003e+09
27.0,6.447,0.675,129,68,-0.121,0.6403143,-39.520,4856.9155,1.415,2.7690e+08,-0.519,1.1907e+09
29.0,6.924,0.725,149,49,-0.068,0.48315898,-25.674,4831.241,1.343,2.7543e+08,-0.292,1.1844e+09
31.0,7.402,0.775,146,19,0.046,0.27010593,17.073,4848.314,1.381,2.7641e+08,0.198,1.1885e+09
33.0,7.879,0.825,167,8,nan,nan,0.000,4848.314,1.323,2.7641e+08,nan,1.1885e+09
35.0,8.357,0.875,171,5,nan,nan,0.000,4848.314,1.333,2.7641e+08,nan,1.1885e+09
37.0,8.834,0.925,183,4,nan,nan,0.000,4848.314,1.323,2.7641e+08,nan,1.1885e+09
39.0,9.312,0.975,196,0,nan,nan,0.000,4848.314,1.314,2.7641e+08,nan,1.1885e+09
41.0,9.790,1.025,200,0,nan,nan,0.000,4848.314,1.333,2.7641e+08,nan,1.1885e+09
43.0,10.267,1.075,217,0,nan,nan,0.000,4848.314,1.331,2.7641e+08,nan,1.1885e+09
45.0,10.745,1.125,218,0,nan,nan,0.000,4848.314,1.362,2.7641e+08,nan,1.1885e+09
47.0,11.222,1.175,233,0,nan,nan,0.000,4848.314,1.381,2.7641e+08,nan,1.1885e+09
49.0,11.700,1.225,243,0,nan,nan,0.000,4848.314,1.398,2.7641e+08,nan,1.1885e+09
51.0,12.177,1.275,254,0,nan,nan,0.000,4848.314,1.432,2.7641e+08,nan,1.1885e+09
53.0,12.655,1.325,261,0,nan,nan,0.000,4848.314,1.501,2.7641e+08,nan,1.1885e+09
55.0,13.132,1.375,274,0,nan,nan,0.000,4848.314,1.482,2.7641e+08,nan,1.1885e+09
57.0,13.610,1.425,283,0,nan,nan,0.000,4848.314,1.538,2.7641e+08,nan,1.1885e+09
59.0,14.087,1.475,294,0,nan,nan,0.000,4848.314,1.570,2.7641e+08,nan,1.1885e+09
61.0,14.565,1.525,289,0,nan,nan,0.000,4848.314,1.610,2.7641e+08,nan,1.1885e+09
63.0,15.042,1.575,277,0,nan,nan,0.000,4848.314,1.643,2.7641e+08,nan,1.1885e+09
65.0,15.520,1.625,285,0,nan,nan,0.000,4848.314,1.618,2.7641e+08,nan,1.1885e+09
67.0,15.998,1.675,232,0,nan,nan,0.000,4848.314,1.658,2.7641e+08,nan,1.1885e+09
69.0,16.475,1.725,220,0,nan,nan,0.000,4848.314,1.683,2.7641e+08,nan,1.1885e+09
71.0,16.953,1.775,204,0,nan,nan,0.000,4848.314,1.698,2.7641e+08,nan,1.1885e+09
73.0,17.430,1.825,191,0,nan,nan,0.000,4848.314,1.761,2.7641e+08,nan,1.1885e+09
75.0,17.908,1.875,193,0,nan,nan,0.000,4848.314,1.793,2.7641e+08,nan,1.1885e+09
77.0,18.385,1.925,170,0,nan,nan,0.000,4848.314,1.816,2.7641e+08,nan,1.1885e+09
79.0,18.863,1.975,163,0,nan,nan,0.000,4848.314,1.834,2.7641e+08,nan,1.1885e+09
81.0,19.340,2.025,153,0,nan,nan,0.000,4848.314,1.879,2.7641e+08,nan,1.1885e+09
83.0,19.818,2.075,152,0,nan,nan,0.000,4848.314,1.898,2.7641e+08,nan,1.1885e+09
85.0,20.295,2.125,145,0,nan,nan,0.000,4848.314,1.914,2.7641e+08,nan,1.1885e+09
87.0,20.773,2.175,141,0,nan,nan,0.000,4848.314,1.960,2.7641e+08,nan,1.1885e+09
89.0,21.250,2.225,133,0,nan,nan,0.000,4848.314,2.032,2.7641e+08,nan,1.1885e+09
91.0,21.728,2.275,127,0,nan,nan,0.000,4848.314,2.075,2.7641e+08,nan,1.1885e+09
93.0,22.206,2.325,120,0,nan,nan,0.000,4848.314,2.159,2.7641e+08,nan,1.1885e+09
95.0,22.683,2.375,126,0,nan,nan,0.000,4848.314,2.133,2.7641e+08,nan,1.1885e+09
97.0,23.161,2.425,116,0,nan,nan,0.000,4848.314,2.231,2.7641e+08,nan,1.1885e+09
99.0,23.638,2.475,119,0,nan,nan,0.000,4848.314,2.245,2.7641e+08,nan,1.1885e+09
101.0,24.116,2.525,111,0,nan,nan,0.000,4848.314,2.319,2.7641e+08,nan,1.1885e+09
103.0,24.593,2.575,105,0,nan,nan,0.000,4848.314,2.434,2.7641e+08,nan,1.1885e+09
105.0,25.071,2.625,102,0,nan,nan,0.000,4848.314,2.517,2.7641e+08,nan,1.1885e+09
107.0,25.548,2.675,98,0,nan,nan,0.000,4848.314,2.597,2.7641e+08,nan,1.1885e+09
109.0,26.026,2.725,101,0,nan,nan,0.000,4848.314,2.678,2.7641e+08,nan,1.1885e+09
111.0,26.503,2.775,92,0,nan,nan,0.000,4848.314,2.842,2.7641e+08,nan,1.1885e+09
113.0,26.981,2.825,89,0,nan,nan,0.000,4848.314,2.970,2.7641e+08,nan,1.1885e+09
115.0,27.458,2.875,96,0,nan,nan,0.000,4848.314,2.985,2.7641e+08,nan,1.1885e+09
117.0,27.936,2.925,83,0,nan,nan,0.000,4848.314,3.401,2.7641e+08,nan,1.1885e+09
119.0,28.414,2.975,80,0,nan,nan,0.000,4848.314,3.752,2.7641e+08,nan,1.1885e+09
121.0,28.891,3.025,77,0,nan,nan,0.000,4848.314,3.869,2.7641e+08,nan,1.1885e+09
123.0,29.369,3.075,75,0,nan,nan,0.000,4848.314,4.125,2.7641e+08,nan,1.1885e+09
125.0,29.846,3.125,74,0,nan,nan,0.000,4848.314,4.194,2.7641e+08,nan,1.1885e+09
127.0,30.324,3.175,72,0,nan,nan,0.000,4848.314,4.470,2.7641e+08,nan,1.1885e+09
129.0,30.801,3.225,70,0,nan,nan,0.000,4848.314,4.680,2.7641e+08,nan,1.1885e+09
131.0,31.279,3.275,66,0,nan,nan,0.000,4848.314,5.148,2.7641e+08,nan,1.1885e+09
133.0,31.756,3.325,62,0,nan,nan,0.000,4848.314,5.426,2.7641e+08,nan,1.1885e+09
135.0,32.234,3.375,60,0,nan,nan,0.000,4848.314,6.272,2.7641e+08,nan,1.1885e+09
137.0,32.711,3.425,55,0,nan,nan,0.000,4848.314,8.229,2.7641e+08,nan,1.1885e+09
139.0,33.189,3.475,54,0,nan,nan,0.000,4848.314,28.729,2.7641e+08,nan,1.1885e+09
141.0,33.667,3.525,50,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
143.0,34.144,3.574,47,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
145.0,34.622,3.624,48,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
147.0,35.099,3.674,43,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
149.0,35.577,3.724,40,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
151.0,36.054,3.774,40,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
153.0,36.532,3.824,36,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
155.0,37.009,3.874,32,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
157.0,37.487,3.924,30,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
159.0,37.964,3.974,28,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
161.0,38.442,4.024,27,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
163.0,38.919,4.074,21,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
165.0,39.397,4.124,19,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
167.0,39.875,4.174,18,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
169.0,40.352,4.224,15,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
171.0,40.830,4.274,12,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
173.0,41.307,4.324,12,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
175.0,41.785,4.374,10,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
177.0,42.262,4.424,10,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
179.0,42.740,4.474,7,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
181.0,43.217,4.524,7,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
183.0,43.695,4.574,5,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
185.0,44.172,4.624,4,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
187.0,44.650,4.674,3,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
189.0,45.127,4.724,1,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
191.0,45.605,4.774,0,0,nan,nan,0.000,4848.314,nan,2.7641e+08,nan,1.1885e+09
