# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: r_arcs, unit: arcsec, datatype: float64, description: outer radius of ring in arcsec}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: outer radius of ring in kpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: outer radius of ring as frac of opt radius}
# - {name: npix, datatype: int64, description: number of available pixels in the ring}
# - {name: ngood, datatype: int64, description: number of unmasked pixels in the ring}
# - {name: ico_avg, unit: K km / s, datatype: float64, format: 10.3f, description: average face-on intensity in ring if ngood/npix > 0.1
#     and setting blanks to zero}
# - {name: ico_rms, unit: K km / s, datatype: float32, description: rms face-on intensity in ring for unmasked pixels}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f, description: 3 sigma detection limit based on emom0max}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f, description: average face-on surface density including He with
#     alphaco=4.3}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e, description: total CO luminosity within the given radius}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e, description: total molecular gas mass within the given radius}
# delimiter: ','
# schema: astropy-2.0
Name,r_arcs,r_kpc,r_r25,npix,ngood,ico_avg,ico_rms,detlim,sigmol,cumlum,cummass
ARP220,1.5,0.567,0.045,25,25,398.733,97.927216,8.037,1714.552,1.6399e+09,7.0516e+09
ARP220,4.5,1.701,0.136,74,74,223.592,118.65766,4.672,961.445,4.3619e+09,1.8756e+10
ARP220,7.5,2.835,0.226,125,125,72.398,53.31096,3.579,311.309,5.8506e+09,2.5158e+10
ARP220,10.5,3.969,0.316,174,174,14.124,13.196211,2.987,60.732,6.2549e+09,2.6896e+10
ARP220,13.5,5.103,0.407,213,213,0.454,5.595395,2.647,1.952,6.2708e+09,2.6965e+10
ARP220,16.5,6.237,0.497,275,275,-0.990,5.575442,2.164,-4.258,6.2260e+09,2.6772e+10
ARP220,19.5,7.371,0.587,322,304,1.692,5.014644,1.673,7.275,6.3157e+09,2.7157e+10
ARP220,22.5,8.505,0.678,362,300,1.989,3.8649008,1.339,8.552,6.4341e+09,2.7667e+10
ARP220,25.5,9.640,0.768,418,261,1.120,2.3403893,1.136,4.816,6.5111e+09,2.7998e+10
ARP220,28.5,10.774,0.858,467,146,0.541,1.3445102,1.080,2.324,6.5527e+09,2.8176e+10
ARP220,31.5,11.908,0.949,511,83,0.176,0.7105766,1.070,0.758,6.5675e+09,2.8240e+10
ARP220,34.5,13.042,1.039,568,29,nan,nan,1.063,nan,6.5675e+09,2.8240e+10
IC0480,1.5,0.482,0.029,6,6,11.040,0.7046355,3.868,47.471,2.9518e+07,1.2693e+08
IC0480,4.5,1.446,0.086,17,17,10.209,1.1681514,2.291,43.900,1.0686e+08,4.5950e+08
IC0480,7.5,2.410,0.143,34,34,8.149,1.5278702,1.594,35.040,2.3033e+08,9.9040e+08
IC0480,10.5,3.374,0.200,46,46,6.065,1.5254343,1.330,26.078,3.5465e+08,1.5250e+09
IC0480,13.5,4.338,0.257,63,63,4.454,1.3829411,1.110,19.150,4.7968e+08,2.0626e+09
IC0480,16.5,5.302,0.314,72,72,3.325,1.1333597,1.017,14.298,5.8637e+08,2.5214e+09
IC0480,19.5,6.267,0.371,86,86,2.271,0.9687324,0.899,9.767,6.7342e+08,2.8957e+09
IC0480,22.5,7.231,0.429,97,97,1.543,0.7715859,0.840,6.635,7.4012e+08,3.1825e+09
IC0480,25.5,8.195,0.486,113,113,1.000,0.53865904,0.780,4.300,7.9047e+08,3.3990e+09
IC0480,28.5,9.159,0.543,128,124,0.559,0.38571557,0.737,2.402,8.2234e+08,3.5361e+09
IC0480,31.5,10.123,0.600,132,106,0.208,0.3330434,0.739,0.894,8.3456e+08,3.5886e+09
IC0480,34.5,11.087,0.657,150,95,-0.001,0.28457668,0.708,-0.005,8.3449e+08,3.5883e+09
IC0480,37.5,12.051,0.714,159,87,-0.099,0.27508757,0.704,-0.426,8.2747e+08,3.5581e+09
IC0480,40.5,13.015,0.771,179,87,-0.135,0.27214345,0.688,-0.579,8.1673e+08,3.5119e+09
IC0480,43.5,13.979,0.829,186,79,-0.150,0.27911702,0.697,-0.644,8.0432e+08,3.4586e+09
IC0480,46.5,14.943,0.886,206,69,-0.124,0.2599227,0.699,-0.535,7.9290e+08,3.4095e+09
