# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrot_bsc, unit: km / s, datatype: float64, description: Beam smearing corrected rotation curve}
# - {name: e_Vrot_bsc, unit: km / s, datatype: float64, description: Error in corrected rotation curve}
# delimiter: ','
# meta: !!omap
# - {comments: CO Rotation Curves from 2018MNRAS.477..254L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrot_bsc,e_Vrot_bsc
IC0480,4.84955,79.8054,1.54311,80.6049,3.05366
IC0480,8.14117,116.276,1.37539,126.788,2.81586
IC0480,10.2355,129.76,1.88094,126.528,3.5234
IC0480,12.2187,138.863,1.95231,144.319,3.78567
IC0480,14.1951,143.975,1.80043,141.988,2.57329
IC0480,16.3079,159.559,2.62623,160.465,6.25332
IC0480,18.3531,166.255,2.74534,165.624,8.96912
IC0480,20.4284,176.632,4.6523,170.131,7.27917
IC0480,22.3296,182.739,11.6548,183.414,18.6276
IC0944,3.75052,163.649,3.6821,228.182,8.84173
IC0944,6.65309,197.449,4.52984,221.569,9.73917
IC0944,8.81198,229.585,8.41246,255.246,8.35673
IC0944,11.0693,244.968,4.16837,257.781,6.27185
IC0944,13.3766,265.211,3.72029,271.123,4.03532
IC0944,15.6214,277.874,3.25298,275.955,4.40497
IC0944,17.7791,282.705,3.73898,278.074,4.28826
IC0944,19.9054,297.058,4.95324,291.471,6.72179
IC0944,22.1306,306.66,8.36288,297.689,9.36784
IC0944,24.414,312.436,8.20999,317.837,12.3063
IC1199,3.30326,114.98,5.23692,158.555,6.79433
IC1199,5.92327,190.511,8.39587,222.167,8.89469
IC1199,8.02264,208.386,6.43918,225.193,8.29067
IC1199,10.2271,202.05,5.67338,210.84,6.03533
