# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrad, datatype: float64, description: Expansion velocity}
# - {name: e_Vrad, unit: km / s, datatype: float64, description: Error in expansion velocity}
# - {name: dVsys, unit: km / s, datatype: float64, description: Systemic velocity offset}
# - {name: e_dVsys, unit: km / s, datatype: float64, description: Error in systemic velocity offset}
# delimiter: ','
# meta: !!omap
# - {comments: CO_natv Rotation Curves from 2018ApJ...860...92L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrad,e_Vrad,dVsys,e_dVsys
ARP220,2.172046,-75.092701,13.702022,119.730978,20.026463,193.372161,59.776728
ARP220,4.602326,-123.618052,22.632448,243.572256,27.147805,243.772883,63.27561
ARP220,7.126968,-159.658048,25.329975,298.102299,24.800697,258.738149,76.266807
ARP220,9.815177,-146.401589,46.148512,249.564794,40.461994,321.374662,92.236443
ARP220,12.9618,138.85157,242.717298,291.516465,354.245669,275.692,373.441052
ARP220,15.92814,197.56735,159.084496,209.617097,177.600057,227.552783,211.516654
ARP220,20.306016,-65.108145,122.273359,59.246823,111.221787,89.369993,88.693564
IC0480,4.22148,66.716688,3.053311,-1.082266,2.616466,8.888584,7.519518
IC0480,7.684101,108.974541,2.602117,-1.398549,2.885732,7.090458,4.329679
IC0480,11.02344,133.00969,3.181404,-0.251858,3.753643,4.558369,1.638983
IC0480,14.269917,140.106746,3.446636,-0.107654,5.861162,1.354524,2.707578
IC0480,17.549954,154.224524,3.476558,-1.344128,7.624201,-0.142765,3.678762
IC0480,21.295954,161.909269,8.853467,-4.372296,12.140561,-9.557512,9.520027
IC0540,7.05963,31.59114,4.007739,6.748244,16.028076,1.6683,4.645731
IC0540,11.902275,65.475588,23.4695,49.605465,21.880086,-25.461183,28.395294
IC0944,3.984672,141.974492,13.70143,-9.912061,9.089687,-24.705159,19.912652
