# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrad, datatype: float64, description: Expansion velocity}
# - {name: e_Vrad, unit: km / s, datatype: float64, description: Error in expansion velocity}
# - {name: dVsys, unit: km / s, datatype: float64, description: Systemic velocity offset}
# - {name: e_dVsys, unit: km / s, datatype: float64, description: Error in systemic velocity offset}
# delimiter: ','
# meta: !!omap
# - {comments: CO_smo6 Rotation Curves from 2018ApJ...860...92L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrad,e_Vrad,dVsys,e_dVsys
ARP220,2.172046,-56.522418,7.855401,93.612797,13.78302,198.67083,62.652157
ARP220,5.125743,-107.080602,16.470663,217.812771,26.392493,242.062125,64.242796
ARP220,8.190864,-126.624133,24.144836,279.624121,22.652157,269.331444,76.593747
ARP220,11.016536,-4.715938,47.142247,288.663086,26.103318,311.419145,85.920222
ARP220,14.488282,272.707626,77.485482,282.686009,137.951229,309.264594,198.451158
ARP220,18.564812,98.940547,371.000797,214.304692,330.778482,247.323053,314.744486
ARP220,22.926342,-682.72614,226.741614,-20.447048,152.397481,33.250208,154.591056
IC0480,4.20643,65.458595,5.225683,-0.061975,3.056434,-4.457957,8.125381
IC0480,8.911827,117.177246,3.505096,4.365561,5.939238,2.660313,6.601503
IC0480,12.75588,122.268281,9.203465,-14.974444,11.192087,-17.149246,10.412713
IC0480,16.526767,158.987654,8.060527,16.624186,10.191642,7.704404,7.122414
IC0480,20.240689,171.706665,8.453258,6.109036,11.305364,-2.743967,8.031043
IC0480,23.670465,187.982667,14.14986,13.63288,18.545639,0.028244,15.22851
IC0540,7.05963,31.591137,3.823565,6.748244,13.960043,1.668301,4.584438
IC0540,11.902275,65.474451,23.75399,49.605788,21.084004,-25.461078,28.195696
