# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrad, datatype: float64, description: Expansion velocity}
# - {name: e_Vrad, unit: km / s, datatype: float64, description: Error in expansion velocity}
# - {name: dVsys, unit: km / s, datatype: float64, description: Systemic velocity offset}
# - {name: e_dVsys, unit: km / s, datatype: float64, description: Error in systemic velocity offset}
# delimiter: ','
# meta: !!omap
# - {comments: HA_natv Rotation Curves from 2018ApJ...860...92L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrad,e_Vrad,dVsys,e_dVsys
ARP220,2.172064,-69.84788,78.644247,20.617409,83.198066,-147.827635,113.446872
ARP220,4.602363,-112.521456,105.706003,83.509064,108.299055,-32.700152,70.859188
ARP220,6.585575,-106.263547,93.483034,131.155089,88.81847,44.257142,41.535766
ARP220,8.407756,3.928219,56.564475,189.222852,52.954551,104.595595,35.919955
ARP220,10.451356,100.47148,42.161016,162.489508,30.327006,103.057443,31.572539
ARP220,12.420271,141.587875,41.037717,124.252774,22.467473,80.514876,25.584895
ARP220,14.324973,96.803601,30.58609,108.026002,31.052568,104.868945,31.404104
ARP220,16.153867,42.396333,22.992329,130.663066,24.89596,95.608846,40.390174
ARP220,17.970855,51.0808,31.989624,161.511237,45.074902,82.249177,36.297526
ARP220,19.62184,-28.023788,37.667217,93.756613,34.574084,20.45258,42.190836
ARP220,21.285842,-57.984715,39.52992,145.587192,25.006661,29.52935,40.63261
ARP220,22.996262,-69.469807,33.765316,146.185348,24.623095,31.805136,29.671849
ARP220,24.78535,32.960263,34.758518,93.747444,28.744689,33.324225,23.788498
ARP220,26.448438,41.341333,33.8704,122.110461,26.372395,64.572375,30.015486
ARP220,28.140591,154.511618,53.01918,103.700112,30.157779,33.159984,28.301406
ARP220,30.023486,172.685171,55.558808,97.438499,40.913048,86.284811,37.934365
ARP220,31.828196,106.668816,97.66363,47.204115,42.050948,84.83839,39.852603
ARP220,33.656255,75.300541,128.037506,85.461396,47.711428,173.260408,51.29105
IC0480,4.221737,45.510499,9.616435,-4.212349,4.594846,0.772566,12.607413
IC0480,7.688904,84.271037,12.43578,-6.056845,5.738608,8.613259,9.64316
IC0480,10.074355,104.518393,10.894422,-3.16325,6.300758,8.29819,7.965907
IC0480,12.002712,111.424745,8.873794,-5.190727,5.455538,9.976756,6.951087
IC0480,14.252634,124.388442,8.501044,-2.981789,4.223644,9.085626,6.291037
IC0480,16.91477,141.627395,9.979283,2.699579,4.942205,6.550056,5.575501
IC0480,19.248779,156.461587,10.649928,2.722666,6.298702,3.840553,3.96378
IC0480,21.22616,153.551978,8.809088,3.835947,6.652498,5.61808,3.829159
IC0480,23.110276,158.492808,8.135235,11.903127,7.846059,2.84076,4.307855
IC0480,24.845208,144.175592,7.405423,4.191559,7.403346,2.207999,4.308039
IC0480,26.789951,158.616165,6.89248,12.382731,7.169701,-3.975658,5.031155
IC0480,29.069757,161.491681,8.191808,-7.083384,7.309609,-11.151932,6.031443
IC0480,31.132674,164.877371,12.133753,-1.198795,7.586876,-2.415352,5.628005
IC0480,33.127715,164.621918,15.208175,6.534971,8.428015,-8.937226,6.355861
IC0480,35.001401,148.461574,18.164521,-4.067155,8.564721,-5.569145,7.031088
IC0480,36.487168,171.078793,20.771163,3.202425,9.275393,-6.238412,7.748756
IC0480,38.392061,152.241442,24.406922,15.007841,9.32968,7.672012,7.857476
IC0480,40.382066,197.857277,30.265377,7.79274,9.980331,-11.89281,8.622831
IC0480,42.73013,189.789448,35.888443,20.172816,10.540111,5.2947,8.951563
IC0480,45.252443,202.062188,46.381968,12.817953,10.948335,-8.030811,10.062582
IC0480,47.724604,159.633937,55.517708,19.643472,13.102444,3.874371,12.21658
IC0480,50.436624,158.238863,64.989154,29.921096,13.891334,-0.757023,13.70502
IC0480,52.759355,142.05317,85.036729,4.093521,32.175894,2.870637,31.93089
IC0480,54.814233,121.146539,92.491866,18.633841,21.205974,-1.740569,21.506525
IC0480,56.848034,200.522905,109.980541,1.579352,28.226821,-6.514243,28.263744
IC0480,59.684383,221.654374,119.983683,14.13563,20.2115,0.375427,20.688111
IC0540,3.347959,45.539715,17.976496,-1.318076,10.755874,9.234338,12.740059
IC0540,6.107743,58.567754,8.009571,-9.351788,15.848767,6.907799,10.597946
IC0540,8.723637,68.28852,9.181575,-15.866347,18.85224,-2.133056,9.36587
IC0540,11.309913,86.793727,11.335142,-16.974787,19.477288,0.913394,7.222148
IC0540,13.368911,84.006325,9.26298,-23.941381,17.675922,-7.349842,10.554199
IC0540,15.620752,95.071017,12.027229,-23.485295,18.194074,-14.252924,13.457863
IC0540,17.965276,106.291476,17.372589,-32.671317,24.575751,-27.552007,17.964569
IC0540,20.193933,107.255399,22.208936,3.079491,28.866067,-30.75567,16.308067
IC0540,22.266236,70.421097,31.107615,39.276515,41.992878,-26.717371,27.615741
IC0540,24.036086,88.152586,51.283793,-6.898121,49.52041,-39.841159,35.728046
IC0944,3.97565,145.773971,35.848001,2.400528,14.825057,-4.517965,36.54436
IC0944,7.318973,184.581207,31.921075,-4.829482,15.638477,-7.3985,21.971279
IC0944,9.54039,217.011508,28.2186,-5.446731,13.988528,-7.120458,17.876438
IC0944,11.306589,237.543762,24.531973,-10.073956,14.139892,5.905267,14.807246
IC0944,13.516354,262.544365,21.11517,2.854176,11.872698,7.317458,8.718933
IC0944,16.008735,276.673683,18.004867,3.586781,12.787979,5.971291,6.272455
IC0944,18.173778,275.521771,19.286236,-1.628399,14.595919,3.776416,6.598911
IC0944,20.160703,278.649489,25.183781,0.357523,17.889352,10.489209,8.672107
IC0944,21.917291,273.290387,32.403187,-6.335929,20.699014,7.391264,9.663075
IC0944,23.53858,276.698197,30.482698,-3.45226,22.844678,11.897374,11.214643
IC0944,26.891476,289.369703,20.31183,-1.244674,20.779322,8.127316,9.767085
IC0944,28.908592,294.019424,17.058612,5.988223,18.61871,-2.319283,10.796779
IC0944,30.95492,291.044821,17.790934,-2.921965,18.781103,2.231671,13.459395
IC0944,32.565262,305.974733,20.457765,11.274339,19.470841,-15.922936,13.777426
IC0944,34.489163,297.953453,23.24299,-2.183732,21.335396,-14.741516,13.711098
IC0944,36.422835,316.653077,27.574609,9.48147,30.596262,-17.206564,21.041326
IC0944,38.041864,316.590053,34.522254,-17.055905,44.451939,-0.554229,27.897868
IC1151,3.3046,19.33399,4.891457,2.678052,1.614863,3.930506,8.990535
IC1151,6.099926,42.109776,3.861683,5.34591,2.297291,0.564262,12.410951
IC1151,7.916991,71.114723,4.960083,10.84804,3.60544,1.663184,12.094844
IC1151,10.024326,89.395791,7.41723,11.304794,4.238696,3.663918,8.29701
IC1151,12.310703,98.288164,6.466293,11.621199,3.930571,4.65328,4.049663
IC1151,14.24035,97.687929,4.437412,6.997867,3.453238,5.002023,2.794978
IC1151,15.939819,98.347206,3.479388,-0.012125,3.509632,7.897311,2.85871
IC1151,17.465823,100.09514,3.2016,2.205363,3.825771,6.073977,2.732341
IC1151,19.194538,99.899398,2.494319,0.075443,3.932934,6.507309,2.372472
IC1151,21.092521,101.250534,2.217942,1.492475,4.332837,7.035554,2.012952
IC1151,22.836942,106.440044,2.643743,3.469465,4.585414,3.31407,1.988897
IC1151,24.455173,105.381397,2.09849,3.13228,4.737384,3.274968,2.38238
IC1151,25.970998,103.339388,2.261451,3.99218,4.579906,4.147189,2.549091
IC1151,27.629122,105.861512,1.830293,2.487278,4.206099,3.020834,2.875664
IC1151,29.421704,107.35846,1.713718,-3.022202,3.940836,2.759824,2.970314
IC1151,31.104764,107.470853,2.451128,-3.143201,3.718726,2.487343,2.713403
IC1151,32.725307,108.19174,3.292527,-4.690301,3.554089,1.802869,2.297442
IC1151,34.328229,117.092478,4.00828,-4.176624,3.429089,-1.48983,2.122568
IC1151,35.950447,119.379636,3.751954,-3.328581,3.426769,-2.813281,2.098983
IC1151,37.60495,119.728908,3.107779,-4.672343,3.575004,0.192772,1.932371
IC1151,39.234671,124.841708,3.645024,-2.715855,3.706638,-0.699576,1.915989
IC1151,40.84785,128.200079,4.546871,0.0371,3.945514,0.177465,2.264508
IC1151,42.581797,123.555745,5.834261,-2.094972,4.078946,0.200696,2.384586
IC1151,44.388114,119.852265,6.73984,-5.753936,3.952827,-1.964278,2.369966
IC1151,46.089741,128.811495,7.243381,-4.691084,3.815804,-1.646146,2.571785
IC1151,47.699228,129.721145,7.075715,-6.800401,3.733044,-2.952623,2.825207
IC1151,49.351762,134.300217,7.294054,-7.598977,4.002936,-1.367581,3.166112
IC1151,51.015076,129.001524,8.197676,-4.602615,4.332166,-0.83825,3.453506
IC1151,52.755824,144.367591,9.187475,-4.595605,4.626717,-2.477623,3.900386
IC1151,54.563293,143.051142,10.774629,-6.529228,5.327543,-3.312119,4.601898
