# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrad, datatype: float64, description: Expansion velocity}
# - {name: e_Vrad, unit: km / s, datatype: float64, description: Error in expansion velocity}
# - {name: dVsys, unit: km / s, datatype: float64, description: Systemic velocity offset}
# - {name: e_dVsys, unit: km / s, datatype: float64, description: Error in systemic velocity offset}
# delimiter: ','
# meta: !!omap
# - {comments: HA_smo6 Rotation Curves from 2018ApJ...860...92L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrad,e_Vrad,dVsys,e_dVsys
ARP220,2.172064,-102.62691,36.352943,68.347143,35.003848,-73.335156,66.420716
ARP220,5.125784,-172.442469,40.435191,163.483822,45.084,0.040784,32.677977
ARP220,8.376178,-15.762943,27.473045,202.449887,16.850181,55.559939,21.700332
ARP220,11.666901,107.708127,25.989291,177.239993,11.639389,71.294976,15.333824
ARP220,14.970073,74.489848,7.616672,130.816646,10.299628,65.443262,17.525736
ARP220,18.162117,28.836265,6.612347,93.711232,13.522028,53.084623,16.624842
ARP220,21.27101,13.704013,8.779853,113.079996,19.402756,25.617546,18.722925
ARP220,24.427254,-1.7607,17.835338,141.327347,15.968792,39.62995,15.187214
ARP220,27.617728,128.397685,22.041767,108.397374,10.911213,24.403787,15.528127
ARP220,31.014148,181.617119,32.237071,97.583731,11.034029,55.284427,12.426645
ARP220,34.792604,-40.376068,98.839843,84.920743,20.407742,38.836397,35.470529
IC0480,4.221737,48.523771,2.351069,1.326419,2.02905,17.177,7.045506
IC0480,8.88163,92.408359,2.415868,-1.007302,1.70558,18.291661,4.777924
IC0480,12.756215,113.698346,1.647275,0.556947,2.001038,17.771236,3.604475
IC0480,16.275029,131.953858,3.279148,-0.062,2.219253,14.46017,3.535721
IC0480,19.723896,149.424507,4.31673,-0.580615,2.69489,9.481039,3.042536
IC0480,23.088287,155.815184,2.861541,-0.760021,3.621026,4.681026,2.658288
IC0480,26.426466,158.379321,2.655308,0.577901,4.507655,0.110992,2.312538
