# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_e20, unit: km / s, datatype: float64, format: .3f, description: 'Velocity, VRAD, LSRK'}
# - {name: coNomaskSpec_e20, unit: Jy, datatype: float32, format: .5f, description: Unmasked spectrum}
# - {name: coNomaskUnc_e20, unit: Jy, datatype: float32, format: .5f, description: Error in Unmasked spectrum}
# - {name: coDilatedSpec_e20, unit: Jy, datatype: float32, format: .5f, description: Dilated mask spectrum}
# - {name: coDilatedUnc_e20, unit: Jy, datatype: float32, format: .5f, description: Error in Dilated mask spectrum}
# - {name: coSmoothSpec_e20, unit: Jy, datatype: float32, format: .5f, description: Smoothed mask spectrum}
# - {name: coSmoothUnc_e20, unit: Jy, datatype: float32, format: .5f, description: Error in Smoothed mask spectrum}
# - {name: coMask2dSpec_e20, unit: Jy, datatype: float32, format: .5f, description: 2D mask spectrum}
# - {name: coMask2dUnc_e20, unit: Jy, datatype: float32, format: .5f, description: Error in 2D mask spectrum}
# - {name: cottNomaskSpec_e20, unit: Jy, datatype: float32, format: .5f, description: Unmasked spectrum}
# - {name: cottNomaskUnc_e20, unit: Jy, datatype: float32, format: .5f, description: Error in Unmasked spectrum}
# - {name: cottDilatedSpec_e20, unit: Jy, datatype: float32, format: .5f, description: Dilated mask spectrum}
# - {name: cottDilatedUnc_e20, unit: Jy, datatype: float32, format: .5f, description: Error in Dilated mask spectrum}
# - {name: cottSmoothSpec_e20, unit: Jy, datatype: float32, format: .5f, description: Smoothed mask spectrum}
# - {name: cottSmoothUnc_e20, unit: Jy, datatype: float32, format: .5f, description: Error in Smoothed mask spectrum}
# - {name: cottMask2dSpec_e20, unit: Jy, datatype: float32, format: .5f, description: 2D mask spectrum}
# - {name: cottMask2dUnc_e20, unit: Jy, datatype: float32, format: .5f, description: Error in 2D mask spectrum}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-09'}
# - {comments: Integrated CO spectra from e20 cubes}
# schema: astropy-2.0
Name,coVlsr_e20,coNomaskSpec_e20,coNomaskUnc_e20,coDilatedSpec_e20,coDilatedUnc_e20,coSmoothSpec_e20,coSmoothUnc_e20,coMask2dSpec_e20,coMask2dUnc_e20,cottNomaskSpec_e20,cottNomaskUnc_e20,cottDilatedSpec_e20,cottDilatedUnc_e20,cottSmoothSpec_e20,cottSmoothUnc_e20,cottMask2dSpec_e20,cottMask2dUnc_e20
ARP220,4540.000,0.12720,0.26360,nan,nan,nan,nan,0.06400,0.10380,-0.09060,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4560.000,-0.18780,0.26360,nan,nan,nan,nan,0.22380,0.10380,-0.01150,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4580.000,-0.21930,0.26360,nan,nan,nan,nan,0.12690,0.10380,0.10000,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4600.000,-0.10880,0.26360,nan,nan,nan,nan,0.02400,0.10380,-0.03290,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4620.000,-0.20070,0.26360,nan,nan,nan,nan,-0.00720,0.10380,-0.08600,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4640.000,-0.18870,0.26360,nan,nan,nan,nan,0.07210,0.10380,-0.00420,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4660.000,-0.05570,0.26360,nan,nan,nan,nan,0.06630,0.10380,0.00930,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4680.000,0.14490,0.26360,nan,nan,nan,nan,-0.05010,0.10380,0.02110,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4700.000,-0.01810,0.26360,nan,nan,nan,nan,0.03460,0.10380,-0.08280,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4720.000,0.40410,0.26350,nan,nan,nan,nan,-0.13970,0.10370,-0.07770,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4740.000,-0.04260,0.26350,nan,nan,nan,nan,0.07890,0.10370,-0.08260,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4760.000,0.02930,0.26350,nan,nan,nan,nan,0.04260,0.10370,-0.02500,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4780.000,-0.07740,0.26350,nan,nan,nan,nan,0.00500,0.10370,-0.03470,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4800.000,-0.17500,0.26340,nan,nan,nan,nan,0.00570,0.10370,-0.21480,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4820.000,0.10130,0.26340,nan,nan,nan,nan,-0.06980,0.10370,0.05970,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4840.000,0.22330,0.26340,nan,nan,nan,nan,-0.04910,0.10370,-0.04050,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4860.000,0.14290,0.26340,nan,nan,nan,nan,0.00280,0.10370,0.02400,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4880.000,0.10590,0.26340,0.00170,0.01050,nan,nan,0.03310,0.10370,-0.09730,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4900.000,-0.10140,0.26340,0.01750,0.01870,nan,nan,0.02090,0.10370,-0.14760,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4920.000,-0.15420,0.26340,0.06020,0.03000,nan,nan,0.22740,0.10370,-0.14800,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4940.000,-0.40270,0.26340,0.10550,0.03120,0.03490,0.04380,0.12610,0.10370,-0.04940,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4960.000,0.07200,0.26350,0.05300,0.03120,-0.00120,0.05030,-0.01530,0.10370,-0.02610,0.16290,nan,nan,nan,nan,nan,nan
ARP220,4980.000,0.05060,0.26350,0.11160,0.02720,0.21450,0.05540,0.30990,0.10370,0.05470,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5000.000,0.04540,0.26350,0.15220,0.03080,0.21990,0.05780,0.08240,0.10370,-0.05300,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5020.000,0.15200,0.26350,0.22210,0.03990,0.27080,0.06490,0.21160,0.10370,0.00840,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5040.000,0.22790,0.26350,0.31540,0.04260,0.36160,0.06850,0.24540,0.10370,-0.01270,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5060.000,0.07360,0.26350,0.32850,0.04350,0.38560,0.07270,0.37310,0.10370,-0.20420,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5080.000,0.05320,0.26350,0.40140,0.04350,0.45140,0.07220,0.35480,0.10370,0.00560,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5100.000,0.35400,0.26350,0.47390,0.04320,0.48820,0.07220,0.41190,0.10370,-0.06350,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5120.000,0.28530,0.26350,0.48590,0.04430,0.46470,0.07070,0.43450,0.10370,0.04850,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5140.000,0.48410,0.26350,0.66690,0.04490,0.64030,0.07340,0.56620,0.10370,0.15270,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5160.000,0.46120,0.26340,0.77280,0.04910,0.76950,0.07030,0.70410,0.10370,0.05510,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5180.000,0.66070,0.26340,0.87770,0.04890,0.89300,0.07400,0.78550,0.10370,0.01860,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5200.000,0.44250,0.26340,0.92550,0.04780,0.96810,0.07630,0.91970,0.10370,0.00380,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5220.000,0.63430,0.26340,1.05500,0.05130,1.15750,0.08200,1.04040,0.10370,0.11810,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5240.000,0.66280,0.26340,1.15660,0.05550,1.22680,0.08280,1.13910,0.10370,-0.03500,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5260.000,0.70400,0.26340,1.00780,0.05400,1.03490,0.08120,0.99480,0.10370,-0.02050,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5280.000,0.69590,0.26340,0.95290,0.04930,0.99940,0.07780,0.86030,0.10370,-0.03200,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5300.000,0.65880,0.26340,0.96730,0.04700,0.95820,0.07720,0.95120,0.10370,-0.04490,0.16290,nan,nan,nan,nan,nan,nan
ARP220,5320.000,0.94650,0.26340,0.97310,0.04770,0.98040,0.07330,0.85970,0.10370,0.05020,0.16290,nan,nan,nan,nan,nan,nan
