# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_natv, unit: km / s, datatype: float64, format: .3f, description: 'Velocity, VRAD, LSRK'}
# - {name: coNomaskSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Unmasked spectrum}
# - {name: coNomaskUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Unmasked spectrum}
# - {name: coDilatedSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Dilated mask spectrum}
# - {name: coDilatedUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Dilated mask spectrum}
# - {name: coSmoothSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Smoothed mask spectrum}
# - {name: coSmoothUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Smoothed mask spectrum}
# - {name: coMask2dSpec_natv, unit: Jy, datatype: float32, format: .5f, description: 2D mask spectrum}
# - {name: coMask2dUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in 2D mask spectrum}
# - {name: cottNomaskSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Unmasked spectrum}
# - {name: cottNomaskUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Unmasked spectrum}
# - {name: cottDilatedSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Dilated mask spectrum}
# - {name: cottDilatedUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Dilated mask spectrum}
# - {name: cottSmoothSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Smoothed mask spectrum}
# - {name: cottSmoothUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Smoothed mask spectrum}
# - {name: cottMask2dSpec_natv, unit: Jy, datatype: float32, format: .5f, description: 2D mask spectrum}
# - {name: cottMask2dUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in 2D mask spectrum}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-28'}
# - {comments: Integrated CO spectra from de20 cubes}
# schema: astropy-2.0
Name,coVlsr_natv,coNomaskSpec_natv,coNomaskUnc_natv,coDilatedSpec_natv,coDilatedUnc_natv,coSmoothSpec_natv,coSmoothUnc_natv,coMask2dSpec_natv,coMask2dUnc_natv,cottNomaskSpec_natv,cottNomaskUnc_natv,cottDilatedSpec_natv,cottDilatedUnc_natv,cottSmoothSpec_natv,cottSmoothUnc_natv,cottMask2dSpec_natv,cottMask2dUnc_natv
ARP220,4540.000,0.15130,0.18220,nan,nan,nan,nan,0.07500,0.05650,-0.01480,0.10700,nan,nan,nan,nan,0.01610,0.02150
ARP220,4560.000,-0.11410,0.18220,nan,nan,nan,nan,0.02020,0.05650,0.02140,0.10700,nan,nan,nan,nan,-0.00740,0.02150
ARP220,4580.000,-0.04400,0.18220,nan,nan,nan,nan,0.05860,0.05650,-0.01750,0.10700,nan,nan,nan,nan,-0.02590,0.02150
ARP220,4600.000,-0.05940,0.18220,nan,nan,nan,nan,0.04080,0.05650,-0.09130,0.10700,nan,nan,nan,nan,-0.01060,0.02150
ARP220,4620.000,0.03660,0.18220,nan,nan,nan,nan,0.01240,0.05650,-0.06610,0.10700,nan,nan,nan,nan,-0.02070,0.02150
ARP220,4640.000,0.05660,0.18220,nan,nan,nan,nan,0.08780,0.05650,-0.02800,0.10700,nan,nan,nan,nan,0.00850,0.02150
ARP220,4660.000,0.11910,0.18220,nan,nan,nan,nan,0.02150,0.05650,0.05870,0.10700,nan,nan,nan,nan,-0.02860,0.02150
ARP220,4680.000,0.16550,0.18220,nan,nan,nan,nan,0.01320,0.05650,0.07700,0.10700,nan,nan,nan,nan,0.00220,0.02140
ARP220,4700.000,0.17350,0.18220,nan,nan,nan,nan,0.02320,0.05650,-0.02100,0.10700,nan,nan,nan,nan,0.01130,0.02140
ARP220,4720.000,0.21910,0.18220,nan,nan,nan,nan,-0.06560,0.05650,-0.01160,0.10700,nan,nan,0.00100,0.00400,-0.02630,0.02140
ARP220,4740.000,0.18170,0.18220,nan,nan,nan,nan,-0.00410,0.05650,-0.04380,0.10700,0.00290,0.00290,0.00490,0.00620,-0.01230,0.02140
ARP220,4760.000,0.19210,0.18210,nan,nan,nan,nan,0.05580,0.05650,0.00080,0.10700,0.01030,0.00460,0.01470,0.00770,-0.00280,0.02140
ARP220,4780.000,-0.06200,0.18210,nan,nan,nan,nan,0.07390,0.05650,0.03920,0.10700,0.01640,0.00520,0.01690,0.00810,0.01590,0.02140
ARP220,4800.000,0.03070,0.18210,nan,nan,nan,nan,0.03000,0.05650,-0.08080,0.10700,0.00930,0.00460,0.01880,0.00860,0.02850,0.02140
ARP220,4820.000,0.08560,0.18210,nan,nan,nan,nan,0.02580,0.05650,-0.00150,0.10700,0.01830,0.00540,0.01870,0.01030,0.00670,0.02140
