# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_smo7, unit: km / s, datatype: float64, format: .3f, description: 'Velocity, VRAD, LSRK'}
# - {name: coNomaskSpec_smo7, unit: Jy, datatype: float32, format: .5f, description: Unmasked spectrum}
# - {name: coNomaskUnc_smo7, unit: Jy, datatype: float32, format: .5f, description: Error in Unmasked spectrum}
# - {name: coDilatedSpec_smo7, unit: Jy, datatype: float32, format: .5f, description: Dilated mask spectrum}
# - {name: coDilatedUnc_smo7, unit: Jy, datatype: float32, format: .5f, description: Error in Dilated mask spectrum}
# - {name: coSmoothSpec_smo7, unit: Jy, datatype: float32, format: .5f, description: Smoothed mask spectrum}
# - {name: coSmoothUnc_smo7, unit: Jy, datatype: float32, format: .5f, description: Error in Smoothed mask spectrum}
# - {name: coMask2dSpec_smo7, unit: Jy, datatype: float32, format: .5f, description: 2D mask spectrum}
# - {name: coMask2dUnc_smo7, unit: Jy, datatype: float32, format: .5f, description: Error in 2D mask spectrum}
# - {name: cottNomaskSpec_smo7, unit: Jy, datatype: float32, format: .5f, description: Unmasked spectrum}
# - {name: cottNomaskUnc_smo7, unit: Jy, datatype: float32, format: .5f, description: Error in Unmasked spectrum}
# - {name: cottDilatedSpec_smo7, unit: Jy, datatype: float32, format: .5f, description: Dilated mask spectrum}
# - {name: cottDilatedUnc_smo7, unit: Jy, datatype: float32, format: .5f, description: Error in Dilated mask spectrum}
# - {name: cottSmoothSpec_smo7, unit: Jy, datatype: float32, format: .5f, description: Smoothed mask spectrum}
# - {name: cottSmoothUnc_smo7, unit: Jy, datatype: float32, format: .5f, description: Error in Smoothed mask spectrum}
# - {name: cottMask2dSpec_smo7, unit: Jy, datatype: float32, format: .5f, description: 2D mask spectrum}
# - {name: cottMask2dUnc_smo7, unit: Jy, datatype: float32, format: .5f, description: Error in 2D mask spectrum}
# - {name: cottMk12_diSpec_smo7, unit: Jy, datatype: float32, format: .5f, description: 12CO-based Dilated mask spectrum}
# - {name: cottMk12_diUnc_smo7, unit: Jy, datatype: float32, format: .5f, description: Error in 12CO-based Dilated mask spectrum}
# - {name: cottMk12_smSpec_smo7, unit: Jy, datatype: float32, format: .5f, description: 12CO-based Smoothed mask spectrum}
# - {name: cottMk12_smUnc_smo7, unit: Jy, datatype: float32, format: .5f, description: Error in 12CO-based Smoothed mask spectrum}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-28'}
# - {comments: Integrated CO spectra from smo7 cubes}
# schema: astropy-2.0
Name,coVlsr_smo7,coNomaskSpec_smo7,coNomaskUnc_smo7,coDilatedSpec_smo7,coDilatedUnc_smo7,coSmoothSpec_smo7,coSmoothUnc_smo7,coMask2dSpec_smo7,coMask2dUnc_smo7,cottNomaskSpec_smo7,cottNomaskUnc_smo7,cottDilatedSpec_smo7,cottDilatedUnc_smo7,cottSmoothSpec_smo7,cottSmoothUnc_smo7,cottMask2dSpec_smo7,cottMask2dUnc_smo7,cottMk12_diSpec_smo7,cottMk12_diUnc_smo7,cottMk12_smSpec_smo7,cottMk12_smUnc_smo7
ARP220,4540.000,0.20520,0.18780,nan,nan,nan,nan,0.11080,0.07580,-0.17530,0.11290,nan,nan,nan,nan,0.02120,0.01990,nan,nan,nan,nan
ARP220,4560.000,-0.18280,0.18780,nan,nan,nan,nan,0.03220,0.07580,0.03020,0.11290,nan,nan,nan,nan,0.00090,0.01990,nan,nan,nan,nan
ARP220,4580.000,-0.13320,0.18780,nan,nan,nan,nan,0.15010,0.07580,0.04260,0.11290,nan,nan,nan,nan,-0.01780,0.01990,nan,nan,nan,nan
ARP220,4600.000,0.01660,0.18780,nan,nan,nan,nan,0.05150,0.07580,-0.04200,0.11290,nan,nan,nan,nan,0.00860,0.01990,nan,nan,nan,nan
ARP220,4620.000,0.06510,0.18780,nan,nan,nan,nan,0.02040,0.07580,-0.10190,0.11290,nan,nan,nan,nan,-0.01210,0.01990,nan,nan,nan,nan
ARP220,4640.000,-0.03090,0.18780,nan,nan,nan,nan,0.15130,0.07580,-0.04710,0.11290,nan,nan,nan,nan,0.01150,0.01990,nan,nan,nan,nan
ARP220,4660.000,0.08920,0.18780,nan,nan,nan,nan,0.00660,0.07580,0.00390,0.11290,nan,nan,nan,nan,-0.01570,0.01990,nan,nan,nan,nan
ARP220,4680.000,0.10630,0.18780,nan,nan,nan,nan,0.00990,0.07580,0.00700,0.11290,nan,nan,nan,nan,-0.00170,0.01990,nan,nan,nan,nan
ARP220,4700.000,0.10020,0.18780,nan,nan,nan,nan,0.08490,0.07580,-0.04810,0.11290,nan,nan,nan,nan,0.01140,0.01990,nan,nan,nan,nan
ARP220,4720.000,0.08700,0.18780,nan,nan,nan,nan,-0.05360,0.07580,0.03480,0.11290,nan,nan,nan,nan,-0.03500,0.01990,nan,nan,nan,nan
ARP220,4740.000,-0.01830,0.18780,nan,nan,nan,nan,-0.00220,0.07580,-0.03050,0.11280,0.00140,0.00280,nan,nan,-0.00230,0.01990,nan,nan,nan,nan
ARP220,4760.000,0.09830,0.18780,nan,nan,nan,nan,0.04020,0.07580,0.04330,0.11280,0.00710,0.00440,nan,nan,0.00280,0.01990,nan,nan,nan,nan
ARP220,4780.000,-0.03320,0.18780,nan,nan,nan,nan,0.14700,0.07580,-0.04300,0.11280,0.01070,0.00490,nan,nan,0.01660,0.01990,nan,nan,nan,nan
ARP220,4800.000,-0.02040,0.18780,nan,nan,nan,nan,0.06820,0.07580,-0.13570,0.11280,0.00960,0.00480,0.00670,0.00420,0.02930,0.01990,nan,nan,nan,nan
ARP220,4820.000,0.01010,0.18780,nan,nan,nan,nan,-0.02190,0.07580,-0.00270,0.11280,0.01360,0.00520,0.01010,0.00920,0.00880,0.01990,nan,nan,nan,nan
ARP220,4840.000,0.14750,0.18780,nan,nan,nan,nan,-0.01470,0.07580,-0.01570,0.11280,0.01390,0.00550,0.01990,0.01090,-0.00050,0.01990,nan,nan,nan,nan
ARP220,4860.000,-0.05200,0.18780,nan,nan,nan,nan,0.03780,0.07580,-0.08390,0.11280,0.02050,0.00650,0.03220,0.01310,0.03380,0.01990,nan,nan,nan,nan
